AsAt,Score,n,only
02/2025,100,289,181
02/2025,105,27,14
02/2025,40,48,7
02/2025,45,195,36
02/2025,30,4,0
02/2025,25,1,0
02/2025,115,3,0
02/2025,125,1,0
02/2025,35,10,3
02/2025,20,1,0
01/2025,65,13135,5585
01/2025,75,13244,6322
01/2025,70,14158,6429
01/2025,80,9702,4890
01/2025,95,1804,1169
01/2025,90,5014,3053
01/2025,85,7432,4076
01/2025,55,1799,337
01/2025,60,3803,900
01/2025,50,672,113
01/2025,110,7,3
01/2025,100,247,162
01/2025,105,18,7
01/2025,40,35,5
01/2025,45,183,30
01/2025,30,3,0
01/2025,25,1,0
01/2025,115,3,0
01/2025,125,1,0
01/2025,35,7,3
12/2024,65,11435,4827
12/2024,75,9868,4637
12/2024,70,12034,5362
12/2024,80,7739,3848
12/2024,95,583,368
12/2024,90,2949,1804
12/2024,85,6163,3284
12/2024,55,1585,282
12/2024,60,3284,776
12/2024,50,571,95
12/2024,110,2,2
12/2024,100,84,46
12/2024,105,7,5
12/2024,40,29,5
12/2024,45,135,21
12/2024,30,3,0
12/2024,25,1,0
12/2024,125,1,0
12/2024,35,5,2
11/2024,65,9639,4047
11/2024,75,7761,3513
11/2024,70,10095,4438
11/2024,80,6204,3002
11/2024,95,340,206
11/2024,90,2093,1244
11/2024,85,4867,2538
11/2024,55,1310,248
11/2024,60,2663,628
11/2024,50,484,74
11/2024,110,1,1
11/2024,100,36,18
11/2024,105,3,3
11/2024,40,26,4
11/2024,45,112,20
11/2024,30,3,0
11/2024,25,1,0
11/2024,35,6,2
10/2024,65,7046,2861
10/2024,75,6850,3126
10/2024,70,7338,3050
10/2024,80,5159,2469
10/2024,95,682,411
10/2024,90,2088,1171
10/2024,85,3614,1813
10/2024,55,994,177
10/2024,60,1942,450
10/2024,50,370,50
10/2024,110,4,1
10/2024,100,108,66
10/2024,105,12,6
10/2024,40,22,4
10/2024,45,78,13
10/2024,30,1,0
10/2024,115,3,0
10/2024,35,2,0
09/2024,65,4321,1683
09/2024,75,4103,1804
09/2024,70,4484,1767
09/2024,80,3053,1413
09/2024,95,364,221
09/2024,90,1127,604
09/2024,85,2022,976
09/2024,55,625,101
09/2024,60,1252,282
09/2024,50,215,32
09/2024,110,3,0
09/2024,100,51,28
09/2024,105,5,2
09/2024,40,13,3
09/2024,45,43,10
09/2024,30,1,0
09/2024,35,1,0
-,65,41805,16628
-,75,50561,22753
-,70,49569,21089
-,80,42405,20484
-,95,7993,4635
-,90,19757,11086
-,85,32596,16956
-,55,7722,1643
-,60,16523,4264
-,50,3327,668
-,110,53,21
-,100,2381,1569
-,105,350,262
-,40,411,70
-,45,1146,231
-,30,69,18
-,25,30,2
-,120,3,1
-,115,25,2
-,125,2,1
-,35,170,27
-,130,1,0
-,20,11,4
-,15,1,0
