AsAt,Occupation,Score,n,maxsub
08/2026,261313 Software Engineer,60,171,46250.64178935185
08/2026,261313 Software Engineer,50,18,46246.84877427083
08/2026,261313 Software Engineer,110,5,46029.98897653935
08/2026,261313 Software Engineer,100,148,46252.4665158912
08/2026,261313 Software Engineer,105,17,46231.419502627316
08/2026,261313 Software Engineer,45,7,46233.640869016206
08/2026,261313 Software Engineer,30,2,46039.65834603009
08/2026,261313 Software Engineer,25,1,46126.88979386574
08/2026,261313 Software Engineer,35,1,46177.63912908565
08/2026,221111 Accountant (General),65,426,46263.13935107639
08/2026,221111 Accountant (General),75,545,46261.49542519676
08/2026,221111 Accountant (General),70,581,46263.54370949074
08/2026,221111 Accountant (General),80,450,46265.83681403935
08/2026,221111 Accountant (General),95,187,46255.43160084491
08/2026,221111 Accountant (General),90,307,46253.454931712964
08/2026,221111 Accountant (General),85,410,46259.61172511574
08/2026,221111 Accountant (General),55,36,46253.866347766205
08/2026,221111 Accountant (General),60,97,46262.13593984954
08/2026,221111 Accountant (General),50,5,46190.45739571759
08/2026,221111 Accountant (General),110,1,46101.24581180555
08/2026,221111 Accountant (General),100,69,46252.45869197917
08/2026,221111 Accountant (General),105,4,46254.29311875
08/2026,221111 Accountant (General),45,6,46023.80487291666
08/2026,221111 Accountant (General),35,1,45614.67377908565
08/2026,262112 ICT Security Specialist,65,184,46255.99636443287
08/2026,262112 ICT Security Specialist,75,260,46259.70499482639
08/2026,262112 ICT Security Specialist,70,225,46264.60197025463
08/2026,262112 ICT Security Specialist,80,258,46258.75145243056
08/2026,262112 ICT Security Specialist,95,130,46260.87079085648
08/2026,262112 ICT Security Specialist,90,232,46265.63748387732
08/2026,262112 ICT Security Specialist,85,223,46262.72045763889
08/2026,262112 ICT Security Specialist,55,26,46252.58890844908
08/2026,262112 ICT Security Specialist,60,43,46247.86303232639
08/2026,262112 ICT Security Specialist,50,5,45973.632375
08/2026,262112 ICT Security Specialist,100,44,46224.92182739583
08/2026,262112 ICT Security Specialist,105,1,45734.53776064815
08/2026,221213 External Auditor,65,243,46255.509002465275
08/2026,221213 External Auditor,75,317,46252.66813457176
08/2026,221213 External Auditor,70,343,46261.63714348379
08/2026,221213 External Auditor,80,342,46260.709658645836
08/2026,221213 External Auditor,95,51,46243.53895096065
08/2026,221213 External Auditor,90,215,46261.050549340274
08/2026,221213 External Auditor,85,357,46265.59984765046
08/2026,221213 External Auditor,55,10,46247.47139907407
08/2026,221213 External Auditor,60,54,46177.77091103009
08/2026,221213 External Auditor,50,2,46186.58819730324
08/2026,221213 External Auditor,100,11,46141.49199675926
08/2026,234515 Botanist,65,4,46171.83965185185
08/2026,234515 Botanist,75,1,45639.830520868054
08/2026,234515 Botanist,70,1,45752.55801681713
08/2026,234515 Botanist,80,3,46234.672177858796
08/2026,234515 Botanist,60,1,45605.90761469907
08/2026,234515 Botanist,50,1,45786.63971084491
08/2026,233512 Mechanical Engineer,65,556,46265.762849618055
08/2026,233512 Mechanical Engineer,75,633,46264.46141631944
08/2026,233512 Mechanical Engineer,70,555,46265.58808966435
08/2026,233512 Mechanical Engineer,80,508,46259.3016625
08/2026,233512 Mechanical Engineer,95,110,46247.95755972222
08/2026,233512 Mechanical Engineer,90,350,46264.50088885416
08/2026,233512 Mechanical Engineer,85,539,46264.93093275463
08/2026,233512 Mechanical Engineer,55,79,46253.817038657406
08/2026,233512 Mechanical Engineer,60,217,46265.545513425925
08/2026,233512 Mechanical Engineer,50,27,46261.780606712964
08/2026,233512 Mechanical Engineer,100,30,46239.788365625
08/2026,233512 Mechanical Engineer,105,2,45727.532409988424
08/2026,233512 Mechanical Engineer,40,3,45777.39887048611
08/2026,233512 Mechanical Engineer,45,4,46022.63324174769
08/2026,233512 Mechanical Engineer,35,1,45650.08781157408
08/2026,233999 Engineering Professionals nec,65,89,46262.5156125
08/2026,233999 Engineering Professionals nec,75,108,46265.90675887732
08/2026,233999 Engineering Professionals nec,70,87,46262.71880393519
08/2026,233999 Engineering Professionals nec,80,111,46259.55138163194
08/2026,233999 Engineering Professionals nec,95,35,46210.92440150463
08/2026,233999 Engineering Professionals nec,90,61,46236.83187569444
08/2026,233999 Engineering Professionals nec,85,125,46255.91143417824
08/2026,233999 Engineering Professionals nec,55,13,46235.86704424769
08/2026,233999 Engineering Professionals nec,60,20,46260.955693599535
08/2026,233999 Engineering Professionals nec,50,4,46116.67184957176
08/2026,233999 Engineering Professionals nec,100,12,46142.807181331016
08/2026,233999 Engineering Professionals nec,105,4,46111.51361015046
08/2026,233999 Engineering Professionals nec,40,1,45774.72333059028
08/2026,233999 Engineering Professionals nec,45,1,46234.595586111114
08/2026,234111 Agricultural Consultant,65,104,46263.68353920139
08/2026,234111 Agricultural Consultant,75,69,46265.877412037036
08/2026,234111 Agricultural Consultant,70,80,46257.89272484954
08/2026,234111 Agricultural Consultant,80,38,46259.718721956015
08/2026,234111 Agricultural Consultant,95,5,46265.98858984954
08/2026,234111 Agricultural Consultant,90,3,46208.831391168984
08/2026,234111 Agricultural Consultant,85,6,46136.57047118056
08/2026,234111 Agricultural Consultant,55,19,46259.53864950231
08/2026,234111 Agricultural Consultant,60,24,46249.99614513889
08/2026,234111 Agricultural Consultant,50,3,46134.84011238426
08/2026,234111 Agricultural Consultant,45,3,46205.65544120371
08/2026,254418 Registered Nurse (Medical),65,230,46262.78989181713
08/2026,254418 Registered Nurse (Medical),75,129,46261.7396440625
08/2026,254418 Registered Nurse (Medical),70,155,46263.803169479164
08/2026,254418 Registered Nurse (Medical),80,56,46259.901319826386
08/2026,254418 Registered Nurse (Medical),90,2,46177.023791354164
08/2026,254418 Registered Nurse (Medical),85,11,46260.90177982639
08/2026,254418 Registered Nurse (Medical),55,23,46091.659149224535
08/2026,254418 Registered Nurse (Medical),60,58,46260.28503637732
08/2026,254418 Registered Nurse (Medical),50,6,46158.594165625
08/2026,254418 Registered Nurse (Medical),40,1,46175.65039247685
08/2026,254418 Registered Nurse (Medical),45,1,46107.68671998843
08/2026,351311 Chef,65,778,46263.83767418982
08/2026,351311 Chef,75,696,46265.719482754634
08/2026,351311 Chef,70,868,46265.42107306713
08/2026,351311 Chef,80,468,46265.54349563657
08/2026,351311 Chef,95,44,46256.94902908565
08/2026,351311 Chef,90,136,46261.824104942134
08/2026,351311 Chef,85,211,46265.58227604166
08/2026,351311 Chef,55,72,46260.6253528588
08/2026,351311 Chef,60,194,46261.53303792824
08/2026,351311 Chef,50,31,46239.59379818287
08/2026,351311 Chef,100,3,45902.65436003472
08/2026,351311 Chef,105,3,45706.760803240744
08/2026,351311 Chef,40,1,45924.01809907408
08/2026,351311 Chef,45,6,46258.54641026621
08/2026,233411 Electronics Engineer,65,223,46265.89148900463
08/2026,233411 Electronics Engineer,75,214,46258.854666747684
08/2026,233411 Electronics Engineer,70,214,46265.79332237269
08/2026,233411 Electronics Engineer,80,187,46259.85123556713
08/2026,233411 Electronics Engineer,95,36,46244.65745540509
08/2026,233411 Electronics Engineer,90,90,46257.89889085648
08/2026,233411 Electronics Engineer,85,172,46261.78841006944
08/2026,233411 Electronics Engineer,55,29,46205.62775385417
08/2026,233411 Electronics Engineer,60,79,46241.72618182871
08/2026,233411 Electronics Engineer,50,13,46253.84760177083
08/2026,233411 Electronics Engineer,100,2,46234.81314297454
08/2026,233411 Electronics Engineer,40,3,45615.868754745374
08/2026,233411 Electronics Engineer,45,2,45847.726243206016
08/2026,233411 Electronics Engineer,25,1,45967.730278090276
08/2026,323212 Fitter and Turner,70,1,45764.842594409725
08/2026,323212 Fitter and Turner,55,1,45926.97070100695
08/2026,323212 Fitter and Turner,60,1,46167.2197772338
08/2026,261112 Systems Analyst,65,272,46262.84282496528
08/2026,261112 Systems Analyst,75,465,46263.849612465274
08/2026,261112 Systems Analyst,70,334,46265.92756585648
08/2026,261112 Systems Analyst,80,481,46262.87695748843
08/2026,261112 Systems Analyst,95,288,46265.74259725695
08/2026,261112 Systems Analyst,90,504,46265.88767491898
08/2026,261112 Systems Analyst,85,450,46264.321410069446
08/2026,261112 Systems Analyst,55,23,46253.608144247686
08/2026,261112 Systems Analyst,60,54,46209.96409228009
08/2026,261112 Systems Analyst,50,7,46220.70947484954
08/2026,261112 Systems Analyst,100,121,46251.73954996528
08/2026,261112 Systems Analyst,105,6,45981.733502627314
08/2026,261112 Systems Analyst,40,1,46087.10635609954
08/2026,261112 Systems Analyst,45,1,46238.77946527778
08/2026,233912 Agricultural Engineer,65,20,46175.34035644676
08/2026,233912 Agricultural Engineer,75,14,46239.69831076389
08/2026,233912 Agricultural Engineer,70,12,46257.29379082176
08/2026,233912 Agricultural Engineer,80,4,46229.80681631944
08/2026,233912 Agricultural Engineer,95,1,45586.77077700231
08/2026,233912 Agricultural Engineer,90,2,46137.85633364583
08/2026,233912 Agricultural Engineer,85,5,45918.68545729166
08/2026,233912 Agricultural Engineer,55,2,45991.9550349537
08/2026,233912 Agricultural Engineer,60,4,46240.666592974536
08/2026,263111 Computer Network and Systems Engineer,65,241,46261.89429105324
08/2026,263111 Computer Network and Systems Engineer,75,388,46259.72854293982
08/2026,263111 Computer Network and Systems Engineer,70,252,46264.623796064814
08/2026,263111 Computer Network and Systems Engineer,80,295,46258.34970983796
08/2026,263111 Computer Network and Systems Engineer,95,138,46261.6817571412
08/2026,263111 Computer Network and Systems Engineer,90,282,46262.703324270835
08/2026,263111 Computer Network and Systems Engineer,85,260,46258.66427800926
08/2026,263111 Computer Network and Systems Engineer,55,31,46252.553658680554
08/2026,263111 Computer Network and Systems Engineer,60,61,46253.95462739583
08/2026,263111 Computer Network and Systems Engineer,50,11,46251.87197167824
08/2026,263111 Computer Network and Systems Engineer,100,76,46262.5287837963
08/2026,263111 Computer Network and Systems Engineer,105,4,45931.46099302083
08/2026,263111 Computer Network and Systems Engineer,40,1,45552.13451230324
08/2026,263111 Computer Network and Systems Engineer,45,1,45785.72973391204
08/2026,263111 Computer Network and Systems Engineer,30,1,45946.531965625
08/2026,234211 Chemist,65,73,46257.74313283565
08/2026,234211 Chemist,75,77,46263.636224305556
08/2026,234211 Chemist,70,47,46260.97142403935
08/2026,234211 Chemist,80,56,46258.754959224534
08/2026,234211 Chemist,95,6,46236.866249108796
08/2026,234211 Chemist,90,16,46250.87721508102
08/2026,234211 Chemist,85,43,46262.632075925925
08/2026,234211 Chemist,55,9,46194.69331863426
08/2026,234211 Chemist,60,12,46096.78902546296
08/2026,234211 Chemist,50,5,46207.813364664355
08/2026,234211 Chemist,100,1,45986.72086554398
08/2026,271311 Solicitor,65,55,46265.2866033912
08/2026,271311 Solicitor,75,80,46265.91320350695
08/2026,271311 Solicitor,70,60,46253.92295856481
08/2026,271311 Solicitor,80,71,46258.70848900463
08/2026,271311 Solicitor,95,3,46265.8795434375
08/2026,271311 Solicitor,90,13,46248.74530258102
08/2026,271311 Solicitor,85,42,46258.87030983796
08/2026,271311 Solicitor,55,6,46238.93873857639
08/2026,271311 Solicitor,60,16,46264.74780034722
08/2026,271311 Solicitor,50,1,45570.23593244213
08/2026,271311 Solicitor,45,1,45974.79804444444
08/2026,233111 Chemical Engineer,65,90,46259.789332835644
08/2026,233111 Chemical Engineer,75,140,46261.90517291667
08/2026,233111 Chemical Engineer,70,127,46255.63818746528
08/2026,233111 Chemical Engineer,80,122,46258.75849074074
08/2026,233111 Chemical Engineer,95,14,46235.77696681713
08/2026,233111 Chemical Engineer,90,46,46263.92719621528
08/2026,233111 Chemical Engineer,85,75,46255.57756053241
08/2026,233111 Chemical Engineer,55,13,46230.69172870371
08/2026,233111 Chemical Engineer,60,31,46243.93762372685
08/2026,233111 Chemical Engineer,50,6,46260.893906944446
08/2026,233111 Chemical Engineer,100,3,46201.40353460648
08/2026,233111 Chemical Engineer,40,1,45892.695323148146
08/2026,233914 Engineering Technologist,65,491,46265.768655127315
08/2026,233914 Engineering Technologist,75,504,46262.70004837963
08/2026,233914 Engineering Technologist,70,555,46264.88448125
08/2026,233914 Engineering Technologist,80,429,46265.84034012732
08/2026,233914 Engineering Technologist,95,90,46264.60933788194
08/2026,233914 Engineering Technologist,90,292,46260.59778163194
08/2026,233914 Engineering Technologist,85,436,46264.45558958333
08/2026,233914 Engineering Technologist,55,66,46262.695925
08/2026,233914 Engineering Technologist,60,141,46251.89752465278
08/2026,233914 Engineering Technologist,50,18,46177.00465844908
08/2026,233914 Engineering Technologist,100,36,46256.7874378125
08/2026,233914 Engineering Technologist,105,2,45950.6136440625
08/2026,233914 Engineering Technologist,45,8,46247.75356917824
08/2026,233914 Engineering Technologist,30,1,46004.84164690972
08/2026,312312 Electrical Engineering Technician,65,41,46265.77828113426
08/2026,312312 Electrical Engineering Technician,75,37,46251.934280787034
08/2026,312312 Electrical Engineering Technician,70,39,46260.9713125
08/2026,312312 Electrical Engineering Technician,80,11,46201.86808429398
08/2026,312312 Electrical Engineering Technician,90,22,46076.85593333333
08/2026,312312 Electrical Engineering Technician,85,24,46030.41791929398
08/2026,312312 Electrical Engineering Technician,55,6,46264.437918668984
08/2026,312312 Electrical Engineering Technician,60,13,46044.45976288195
08/2026,312312 Electrical Engineering Technician,40,1,45974.842356712965
08/2026,233913 Biomedical Engineer,65,44,46240.990928969906
08/2026,233913 Biomedical Engineer,75,35,46210.6035121875
08/2026,233913 Biomedical Engineer,70,47,46260.71724070602
08/2026,233913 Biomedical Engineer,80,52,46264.41596990741
08/2026,233913 Biomedical Engineer,95,12,46173.6990119213
08/2026,233913 Biomedical Engineer,90,28,46260.721970370374
08/2026,233913 Biomedical Engineer,85,45,46233.52998090278
08/2026,233913 Biomedical Engineer,55,8,46245.6376934375
08/2026,233913 Biomedical Engineer,60,11,46195.79102635417
08/2026,233913 Biomedical Engineer,50,2,46076.738144560186
08/2026,233913 Biomedical Engineer,100,4,45978.78947971065
08/2026,233913 Biomedical Engineer,105,2,45747.82368726852
08/2026,233913 Biomedical Engineer,45,2,46191.852708715276
08/2026,221214 Internal Auditor,65,57,46263.81838773148
08/2026,221214 Internal Auditor,75,57,46240.72946431713
08/2026,221214 Internal Auditor,70,51,46242.86238148148
08/2026,221214 Internal Auditor,80,39,46263.77353792824
08/2026,221214 Internal Auditor,95,7,46240.520610416665
08/2026,221214 Internal Auditor,90,15,46202.67139429398
08/2026,221214 Internal Auditor,85,32,46221.417370219904
08/2026,221214 Internal Auditor,55,14,46262.40864267361
08/2026,221214 Internal Auditor,60,13,46151.98047847222
08/2026,221214 Internal Auditor,100,2,46197.72313179398
08/2026,221214 Internal Auditor,45,1,45574.86311643518
08/2026,323211 Fitter (General),65,24,46258.911120833334
08/2026,323211 Fitter (General),75,10,46218.19605327546
08/2026,323211 Fitter (General),70,26,46246.83307199074
08/2026,323211 Fitter (General),80,3,45880.80923171296
08/2026,323211 Fitter (General),85,3,46256.76472299769
08/2026,323211 Fitter (General),55,1,45570.58091423611
08/2026,323211 Fitter (General),60,11,46258.80279209491
08/2026,323211 Fitter (General),50,2,45930.6869996875
08/2026,323211 Fitter (General),40,1,46070.7915627662
08/2026,323211 Fitter (General),45,1,46191.80355324074
08/2026,323211 Fitter (General),35,1,45904.36619170139
08/2026,261399 Software and Applications Programmers nec,65,198,46258.9599224537
08/2026,261399 Software and Applications Programmers nec,75,341,46265.79137025463
08/2026,261399 Software and Applications Programmers nec,70,268,46260.04615810185
08/2026,261399 Software and Applications Programmers nec,80,316,46258.693828854164
08/2026,261399 Software and Applications Programmers nec,95,307,46264.72775740741
08/2026,261399 Software and Applications Programmers nec,90,476,46265.582072453704
08/2026,261399 Software and Applications Programmers nec,85,374,46264.76284386574
08/2026,261399 Software and Applications Programmers nec,55,17,46178.704004050924
08/2026,261399 Software and Applications Programmers nec,60,38,46254.72391369213
08/2026,261399 Software and Applications Programmers nec,50,6,46255.161613738426
08/2026,261399 Software and Applications Programmers nec,110,1,45969.04940625
08/2026,261399 Software and Applications Programmers nec,100,166,46205.67147271991
08/2026,261399 Software and Applications Programmers nec,105,31,46251.022427662036
08/2026,261399 Software and Applications Programmers nec,45,2,45889.05836689815
08/2026,233513 Production or Plant Engineer,65,68,46243.98607630787
08/2026,233513 Production or Plant Engineer,75,79,46236.882855289354
08/2026,233513 Production or Plant Engineer,70,69,46205.26058475694
08/2026,233513 Production or Plant Engineer,80,58,46263.64035462963
08/2026,233513 Production or Plant Engineer,95,11,46175.00799525463
08/2026,233513 Production or Plant Engineer,90,23,46233.54932711805
08/2026,233513 Production or Plant Engineer,85,42,46250.63211697916
08/2026,233513 Production or Plant Engineer,55,15,45992.93449085648
08/2026,233513 Production or Plant Engineer,60,16,46141.67005324074
08/2026,233513 Production or Plant Engineer,50,3,45936.254335729165
08/2026,233513 Production or Plant Engineer,40,1,45560.7808008912
08/2026,233311 Electrical Engineer,65,310,46265.98383159722
08/2026,233311 Electrical Engineer,75,374,46263.837341122686
08/2026,233311 Electrical Engineer,70,378,46262.90536145833
08/2026,233311 Electrical Engineer,80,314,46259.878861377314
08/2026,233311 Electrical Engineer,95,58,46254.459742673615
08/2026,233311 Electrical Engineer,90,153,46258.69991207176
08/2026,233311 Electrical Engineer,85,258,46265.39453244213
08/2026,233311 Electrical Engineer,55,62,46262.41719811343
08/2026,233311 Electrical Engineer,60,106,46265.41935474537
08/2026,233311 Electrical Engineer,50,12,46259.657249421296
08/2026,233311 Electrical Engineer,100,16,46254.7103309838
08/2026,233311 Electrical Engineer,105,1,45843.66417754629
08/2026,233311 Electrical Engineer,45,9,46058.683782789354
08/2026,232111 Architect,65,84,46257.71047480324
08/2026,232111 Architect,75,147,46259.90159440972
08/2026,232111 Architect,70,119,46265.01252037037
08/2026,232111 Architect,80,100,46265.81135899306
08/2026,232111 Architect,95,2,46174.05077410879
08/2026,232111 Architect,90,16,46227.659745868055
08/2026,232111 Architect,85,84,46245.04822005787
08/2026,232111 Architect,55,7,46252.78313101852
08/2026,232111 Architect,60,24,46168.9827622338
08/2026,234212 Food Technologist,65,61,46252.65392040509
08/2026,234212 Food Technologist,75,86,46259.591836377316
08/2026,234212 Food Technologist,70,61,46253.46055478009
08/2026,234212 Food Technologist,80,62,46230.69615019676
08/2026,234212 Food Technologist,95,6,46244.37431443287
08/2026,234212 Food Technologist,90,16,46202.53403383102
08/2026,234212 Food Technologist,85,38,46262.76574699074
08/2026,234212 Food Technologist,55,9,46173.04639444444
08/2026,234212 Food Technologist,60,17,46248.99843726852
08/2026,234212 Food Technologist,50,2,45822.57111762732
08/2026,234212 Food Technologist,45,1,46124.76088148148
08/2026,221112 Management Accountant,65,89,46261.11561346065
08/2026,221112 Management Accountant,75,144,46258.6860349537
08/2026,221112 Management Accountant,70,139,46253.65585200232
08/2026,221112 Management Accountant,80,118,46259.703061608794
08/2026,221112 Management Accountant,95,41,46245.81089155092
08/2026,221112 Management Accountant,90,80,46233.781927083335
08/2026,221112 Management Accountant,85,113,46251.7162
08/2026,221112 Management Accountant,55,6,46186.63919077546
08/2026,221112 Management Accountant,60,18,46178.69314452546
08/2026,221112 Management Accountant,50,2,46008.58948125
08/2026,221112 Management Accountant,100,13,46229.964738043986
08/2026,221112 Management Accountant,45,1,45979.96790887731
08/2026,312311 Electrical Engineering Draftsperson,65,6,46245.72157913195
08/2026,312311 Electrical Engineering Draftsperson,75,11,46254.60802878472
08/2026,312311 Electrical Engineering Draftsperson,70,13,46246.99269915509
08/2026,312311 Electrical Engineering Draftsperson,80,5,46255.64616068287
08/2026,312311 Electrical Engineering Draftsperson,90,1,46056.37019533565
08/2026,312311 Electrical Engineering Draftsperson,85,5,46255.57674771991
08/2026,312311 Electrical Engineering Draftsperson,55,2,46176.62590216435
08/2026,312311 Electrical Engineering Draftsperson,60,6,46190.62995616898
08/2026,312311 Electrical Engineering Draftsperson,50,1,46174.91571670139
08/2026,224711 Management Consultant,65,38,46265.8162278588
08/2026,224711 Management Consultant,75,77,46265.45123672453
08/2026,224711 Management Consultant,70,50,46265.84466693287
08/2026,224711 Management Consultant,80,49,46265.98526223379
08/2026,224711 Management Consultant,95,5,46259.897344791665
08/2026,224711 Management Consultant,90,23,46254.92421670139
08/2026,224711 Management Consultant,85,40,46257.87202445602
08/2026,224711 Management Consultant,55,2,46046.91275798611
08/2026,224711 Management Consultant,60,13,46256.288849108794
08/2026,224711 Management Consultant,50,2,46197.579436458334
08/2026,224711 Management Consultant,45,1,46075.120726423615
08/2026,234711 Veterinarian,65,11,46183.71016663194
08/2026,234711 Veterinarian,75,26,46252.52648434028
08/2026,234711 Veterinarian,70,8,46233.57374424768
08/2026,234711 Veterinarian,80,9,46265.768550925925
08/2026,234711 Veterinarian,95,1,46206.98306744213
08/2026,234711 Veterinarian,90,9,46251.9092122338
08/2026,234711 Veterinarian,85,17,46264.97149776621
08/2026,234711 Veterinarian,55,2,46198.52226744213
08/2026,241411 Secondary School Teacher,65,264,46265.828646180555
08/2026,241411 Secondary School Teacher,75,311,46265.78226342593
08/2026,241411 Secondary School Teacher,70,322,46265.9175400463
08/2026,241411 Secondary School Teacher,80,133,46265.50830991898
08/2026,241411 Secondary School Teacher,95,3,46233.905925266205
08/2026,241411 Secondary School Teacher,90,15,46261.54145153935
08/2026,241411 Secondary School Teacher,85,45,46261.98602048611
08/2026,241411 Secondary School Teacher,55,20,46248.49367329861
08/2026,241411 Secondary School Teacher,60,54,46265.548403506946
08/2026,241411 Secondary School Teacher,50,7,46261.55102951389
08/2026,241411 Secondary School Teacher,100,1,46176.99754603009
08/2026,241411 Secondary School Teacher,40,1,45905.79551423611
08/2026,241411 Secondary School Teacher,45,3,46262.60722662037
08/2026,134111 Child Care Centre Manager,65,3,45944.759761724534
08/2026,134111 Child Care Centre Manager,75,1,45611.68506704861
08/2026,134111 Child Care Centre Manager,70,4,45960.913000775465
08/2026,134111 Child Care Centre Manager,60,1,46085.76607318287
08/2026,224111 Actuary,65,4,46188.962611724535
08/2026,224111 Actuary,75,28,46189.583166122684
08/2026,224111 Actuary,70,8,46252.6104931713
08/2026,224111 Actuary,80,24,46255.798618402776
08/2026,224111 Actuary,95,3,46210.22197052083
08/2026,224111 Actuary,90,17,46260.891079548615
08/2026,224111 Actuary,85,21,46191.47771327546
08/2026,224111 Actuary,60,3,46265.84411365741
08/2026,224111 Actuary,45,1,45833.515822534726
08/2026,333111 Glazier,65,3,46178.52985613426
08/2026,333111 Glazier,75,1,46000.77976855324
08/2026,333111 Glazier,80,1,46198.93000748842
08/2026,333111 Glazier,60,1,45782.53001041667
08/2026,242111 University Lecturer,65,209,46265.900223958335
08/2026,242111 University Lecturer,75,186,46257.61803815972
08/2026,242111 University Lecturer,70,203,46260.050836608796
08/2026,242111 University Lecturer,80,160,46265.65673179398
08/2026,242111 University Lecturer,95,61,46250.72580864583
08/2026,242111 University Lecturer,90,115,46259.75844244213
08/2026,242111 University Lecturer,85,137,46262.65934528935
08/2026,242111 University Lecturer,55,21,46218.8264733449
08/2026,242111 University Lecturer,60,56,46251.58591666666
