StatusMonth,Occupation,Score,n
2024-09,253111 General Practitioner,100,1
2024-09,234313 Environmental Research Scientist,95,1
2024-09,234313 Environmental Research Scientist,100,1
2024-09,233911 Aeronautical Engineer,95,1
2024-09,234112 Agricultural Scientist,95,2
2024-09,234112 Agricultural Scientist,100,4
2024-09,234112 Agricultural Scientist,105,1
2024-09,331212 Carpenter,65,111
2024-09,331212 Carpenter,75,40
2024-09,331212 Carpenter,70,62
2024-09,331212 Carpenter,80,20
2024-09,331212 Carpenter,85,3
2024-09,272511 Social Worker,75,3
2024-09,272511 Social Worker,80,52
2024-09,272511 Social Worker,90,1
2024-09,272511 Social Worker,85,26
2024-09,272511 Social Worker,100,1
2024-09,332211 Painting Trades Worker,65,97
2024-09,332211 Painting Trades Worker,75,34
2024-09,332211 Painting Trades Worker,70,64
2024-09,332211 Painting Trades Worker,80,15
2024-09,332211 Painting Trades Worker,90,2
2024-09,332211 Painting Trades Worker,85,2
2024-09,233612 Petroleum Engineer,95,2
2024-09,233612 Petroleum Engineer,100,2
2024-09,233612 Petroleum Engineer,115,1
2024-09,252111 Chiropractor,80,3
2024-09,233915 Environmental Engineer,95,1
2024-09,233915 Environmental Engineer,100,1
2024-09,394111 Cabinetmaker,65,7
2024-09,394111 Cabinetmaker,75,3
2024-09,394111 Cabinetmaker,70,4
2024-09,394111 Cabinetmaker,80,2
2024-09,394111 Cabinetmaker,85,3
2024-09,254415 Registered Nurse (Critical Care and Emergency),75,5
2024-09,254415 Registered Nurse (Critical Care and Emergency),80,16
2024-09,254415 Registered Nurse (Critical Care and Emergency),90,1
2024-09,254415 Registered Nurse (Critical Care and Emergency),85,8
2024-09,224311 Economist,95,2
2024-09,224311 Economist,90,1
2024-09,224311 Economist,100,1
2024-09,234514 Biotechnologist,95,4
2024-09,234514 Biotechnologist,90,2
2024-09,234514 Biotechnologist,100,2
2024-09,331111 Bricklayer,65,22
2024-09,331111 Bricklayer,75,2
2024-09,331111 Bricklayer,70,3
2024-09,331111 Bricklayer,80,2
2024-09,331111 Bricklayer,90,2
2024-09,331111 Bricklayer,85,1
2024-09,233511 Industrial Engineer,95,2
2024-09,233511 Industrial Engineer,90,1
2024-09,233511 Industrial Engineer,100,1
2024-09,254412 Registered Nurse (Aged Care),75,3
2024-09,254412 Registered Nurse (Aged Care),80,22
2024-09,254412 Registered Nurse (Aged Care),85,4
2024-09,253999 Medical Practitioners nec,75,2
2024-09,253999 Medical Practitioners nec,80,51
2024-09,253999 Medical Practitioners nec,95,1
2024-09,253999 Medical Practitioners nec,90,7
2024-09,253999 Medical Practitioners nec,85,23
2024-09,224113 Statistician,95,4
2024-09,224113 Statistician,90,1
2024-09,224113 Statistician,105,1
2024-09,341111 Electrician (General),65,24
2024-09,341111 Electrician (General),75,8
2024-09,341111 Electrician (General),70,15
2024-09,341111 Electrician (General),80,3
2024-09,252511 Physiotherapist,75,5
2024-09,252511 Physiotherapist,80,46
2024-09,252511 Physiotherapist,90,2
2024-09,252511 Physiotherapist,85,12
2024-09,251211 Medical Diagnostic Radiographer,75,2
2024-09,251211 Medical Diagnostic Radiographer,80,5
2024-09,251211 Medical Diagnostic Radiographer,85,1
2024-09,312212 Civil Engineering Technician,75,20
2024-09,312212 Civil Engineering Technician,80,41
2024-09,312212 Civil Engineering Technician,90,5
2024-09,312212 Civil Engineering Technician,85,7
2024-09,253912 Emergency Medicine Specialist,80,7
2024-09,253912 Emergency Medicine Specialist,90,1
2024-09,253912 Emergency Medicine Specialist,85,1
2024-09,234312 Environmental Consultant,95,2
2024-09,234312 Environmental Consultant,100,1
2024-09,234312 Environmental Consultant,105,1
2024-09,232112 Landscape Architect,75,8
2024-09,232112 Landscape Architect,80,18
2024-09,232112 Landscape Architect,95,2
2024-09,232112 Landscape Architect,90,8
2024-09,232112 Landscape Architect,85,13
2024-09,252712 Speech Pathologist,80,12
2024-09,252712 Speech Pathologist,85,4
2024-09,322311 Metal Fabricator,75,1
2024-09,322311 Metal Fabricator,80,4
2024-09,322311 Metal Fabricator,90,1
2024-09,322311 Metal Fabricator,85,2
2024-09,234914 Physicist,95,2
2024-09,234914 Physicist,100,1
2024-09,233112 Materials Engineer,95,3
2024-09,233112 Materials Engineer,90,3
2024-09,233112 Materials Engineer,100,3
2024-09,252411 Occupational Therapist,75,4
2024-09,252411 Occupational Therapist,80,35
2024-09,252411 Occupational Therapist,90,3
2024-09,252411 Occupational Therapist,85,7
2024-09,234611 Medical Laboratory Scientist,80,11
2024-09,234611 Medical Laboratory Scientist,85,4
2024-09,241511 Special Needs Teacher,80,1
2024-09,254425 Registered Nurse (Paediatrics),80,5
2024-09,254425 Registered Nurse (Paediatrics),85,1
2024-09,272399 Psychologists nec,80,10
2024-09,272399 Psychologists nec,90,3
2024-09,272399 Psychologists nec,85,6
2024-09,251912 Orthotist or Prosthetist,80,1
2024-09,331211 Carpenter and Joiner,75,4
2024-09,331211 Carpenter and Joiner,70,4
2024-09,331211 Carpenter and Joiner,80,1
2024-09,254111 Midwife,75,2
2024-09,254111 Midwife,80,7
2024-09,254111 Midwife,90,1
2024-09,254111 Midwife,85,1
2024-09,233916 Naval Architect,95,1
2024-09,233916 Naval Architect,100,1
2024-09,334111 Plumber (General),65,5
2024-09,334111 Plumber (General),75,2
2024-09,334111 Plumber (General),70,3
2024-09,254421 Registered Nurse (Medical Practice),80,1
2024-09,254424 Registered Nurse (Surgical),75,3
2024-09,254424 Registered Nurse (Surgical),80,7
2024-09,254424 Registered Nurse (Surgical),85,3
2024-09,253312 Cardiologist,80,1
2024-09,333212 Solid Plasterer,65,4
2024-09,333411 Wall and Floor Tiler,65,12
2024-09,333411 Wall and Floor Tiler,75,3
2024-09,333411 Wall and Floor Tiler,70,17
2024-09,333411 Wall and Floor Tiler,80,2
2024-09,254413 Registered Nurse (Child and Family Health),80,1
2024-09,254413 Registered Nurse (Child and Family Health),85,1
2024-09,252711 Audiologist,75,2
2024-09,252711 Audiologist,80,11
2024-09,252711 Audiologist,85,4
2024-09,253321 Paediatrician,80,1
2024-09,253321 Paediatrician,85,1
2024-09,253317 Intensive Care Specialist,85,1
2024-09,253917 Diagnostic and Interventional Radiologist,80,1
2024-09,253917 Diagnostic and Interventional Radiologist,85,1
2024-09,331213 Joiner,65,2
2024-09,331213 Joiner,85,1
2024-09,341112 Electrician (Special Class),70,1
2024-09,234518 Zoologist,90,1
2024-09,399112 Shipwright,105,1
2024-09,253411 Psychiatrist,80,1
2024-09,253411 Psychiatrist,85,1
2024-09,251411 Optometrist,80,3
2024-09,251411 Optometrist,85,2
2024-09,251214 Sonographer,80,2
2024-09,334112 Airconditioning and Mechanical Services Plumber,65,6
2024-09,334112 Airconditioning and Mechanical Services Plumber,75,1
2024-09,334112 Airconditioning and Mechanical Services Plumber,70,3
2024-09,334112 Airconditioning and Mechanical Services Plumber,80,2
2024-09,334115 Roof Plumber,65,2
2024-09,272311 Clinical Psychologist,85,1
2024-09,254411 Nurse Practitioner,85,1
2024-09,341113 Lift Mechanic,65,1
2024-09,341113 Lift Mechanic,75,1
2024-09,252611 Podiatrist,80,1
2024-09,252611 Podiatrist,90,1
2024-09,252611 Podiatrist,85,1
2024-09,241599 Special Education Teachers nec,80,1
2024-09,253311 Specialist Physician (General Medicine),80,1
2024-09,333211 Fibrous Plasterer,65,1
2024-09,334113 Drainer,75,1
2024-09,334114 Gasfitter,65,1
2024-09,253316 Gastroenterologist,85,2
2024-09,331112 Stonemason,70,1
2024-09,253518 Urologist,80,1
2024-09,253914 Ophthalmologist,85,1
2026-06,234111 Agricultural Consultant,80,31
2026-06,234111 Agricultural Consultant,95,3
2026-06,234111 Agricultural Consultant,90,10
2026-06,234111 Agricultural Consultant,85,25
2026-06,254418 Registered Nurse (Medical),75,14
2026-06,254418 Registered Nurse (Medical),80,58
2026-06,254418 Registered Nurse (Medical),90,6
2026-06,254418 Registered Nurse (Medical),85,14
2026-06,233411 Electronics Engineer,95,3
2026-06,233411 Electronics Engineer,100,5
2026-06,233411 Electronics Engineer,105,1
2026-06,234211 Chemist,95,3
2026-06,234211 Chemist,90,15
2026-06,234211 Chemist,85,6
2026-06,234211 Chemist,100,3
2026-06,234211 Chemist,105,1
2026-06,271311 Solicitor,80,89
2026-06,271311 Solicitor,95,3
2026-06,271311 Solicitor,90,50
2026-06,271311 Solicitor,85,98
2026-06,312312 Electrical Engineering Technician,80,15
2026-06,312312 Electrical Engineering Technician,90,25
2026-06,312312 Electrical Engineering Technician,85,34
2026-06,323211 Fitter (General),80,4
2026-06,323211 Fitter (General),85,4
2026-06,232111 Architect,95,4
2026-06,232111 Architect,90,24
2026-06,232111 Architect,85,34
2026-06,234212 Food Technologist,95,7
2026-06,234212 Food Technologist,90,34
2026-06,234212 Food Technologist,85,3
2026-06,234212 Food Technologist,100,1
2026-06,234212 Food Technologist,105,1
2026-06,312311 Electrical Engineering Draftsperson,80,2
2026-06,312311 Electrical Engineering Draftsperson,90,1
2026-06,312311 Electrical Engineering Draftsperson,85,1
2026-06,224711 Management Consultant,80,60
2026-06,224711 Management Consultant,95,4
2026-06,224711 Management Consultant,90,42
2026-06,224711 Management Consultant,85,73
2026-06,234711 Veterinarian,80,15
2026-06,234711 Veterinarian,95,4
2026-06,234711 Veterinarian,90,16
2026-06,234711 Veterinarian,85,28
2026-06,234711 Veterinarian,100,1
2026-06,241411 Secondary School Teacher,75,31
2026-06,241411 Secondary School Teacher,80,170
2026-06,241411 Secondary School Teacher,95,2
2026-06,241411 Secondary School Teacher,90,17
2026-06,241411 Secondary School Teacher,85,86
2026-06,241411 Secondary School Teacher,100,2
2026-06,134111 Child Care Centre Manager,80,2
2026-06,224111 Actuary,95,3
2026-06,224111 Actuary,90,12
2026-06,333111 Glazier,65,2
2026-06,333111 Glazier,75,1
2026-06,263312 Telecommunications Network Engineer,95,2
2026-06,133211 Engineering Manager,80,15
2026-06,133211 Engineering Manager,95,1
2026-06,133211 Engineering Manager,90,3
2026-06,133211 Engineering Manager,85,15
2026-06,234599 Life Scientists nec,95,1
2026-06,234599 Life Scientists nec,100,3
2026-06,254422 Registered Nurse (Mental Health),75,2
2026-06,254422 Registered Nurse (Mental Health),80,24
2026-06,254422 Registered Nurse (Mental Health),90,1
2026-06,254422 Registered Nurse (Mental Health),85,14
2026-06,234511 Life Scientist (General),95,5
2026-06,234511 Life Scientist (General),100,3
2026-06,254423 Registered Nurse (Perioperative),75,9
2026-06,254423 Registered Nurse (Perioperative),80,18
2026-06,254423 Registered Nurse (Perioperative),90,2
2026-06,254423 Registered Nurse (Perioperative),85,2
2026-06,232212 Surveyor,80,7
2026-06,232212 Surveyor,90,4
2026-06,232212 Surveyor,85,6
2026-06,254499 Registered Nurses nec,75,48
2026-06,254499 Registered Nurses nec,80,614
2026-06,254499 Registered Nurses nec,90,26
2026-06,254499 Registered Nurses nec,85,223
2026-06,254499 Registered Nurses nec,100,1
2026-06,224512 Valuer,80,13
2026-06,224512 Valuer,90,2
2026-06,224512 Valuer,85,8
2026-06,234516 Marine Biologist,100,1
2026-06,234516 Marine Biologist,105,1
2026-06,233611 Mining Engineer (excluding Petroleum),80,14
2026-06,233611 Mining Engineer (excluding Petroleum),95,3
2026-06,233611 Mining Engineer (excluding Petroleum),90,6
2026-06,233611 Mining Engineer (excluding Petroleum),85,26
2026-06,254417 Registered Nurse (Disability and Rehabilitation),80,5
2026-06,254417 Registered Nurse (Disability and Rehabilitation),85,1
2026-06,261211 Multimedia Specialist,95,12
2026-06,261211 Multimedia Specialist,110,1
2026-06,261211 Multimedia Specialist,100,6
2026-06,261211 Multimedia Specialist,105,1
2026-06,263311 Telecommunications Engineer,95,8
2026-06,263311 Telecommunications Engineer,100,3
2026-06,322313 Welder (First Class),80,34
2026-06,322313 Welder (First Class),90,6
2026-06,322313 Welder (First Class),85,10
2026-06,234912 Metallurgist,80,4
2026-06,234912 Metallurgist,85,4
2026-06,234912 Metallurgist,100,1
2026-06,234912 Metallurgist,105,1
2026-06,232214 Other Spatial Scientist,80,6
2026-06,232214 Other Spatial Scientist,95,1
2026-06,232214 Other Spatial Scientist,85,18
2026-06,133111 Construction Project Manager,80,142
2026-06,133111 Construction Project Manager,95,8
2026-06,133111 Construction Project Manager,90,35
2026-06,133111 Construction Project Manager,85,95
2026-06,133111 Construction Project Manager,100,1
2026-06,253111 General Practitioner,75,9
2026-06,253111 General Practitioner,80,98
2026-06,253111 General Practitioner,95,2
2026-06,253111 General Practitioner,90,13
2026-06,253111 General Practitioner,85,60
2026-06,234313 Environmental Research Scientist,80,5
2026-06,234313 Environmental Research Scientist,90,9
2026-06,234313 Environmental Research Scientist,85,10
2026-06,234313 Environmental Research Scientist,100,1
2026-06,234313 Environmental Research Scientist,105,2
2026-06,234112 Agricultural Scientist,80,17
2026-06,234112 Agricultural Scientist,95,2
2026-06,234112 Agricultural Scientist,90,10
2026-06,234112 Agricultural Scientist,85,26
2026-06,234112 Agricultural Scientist,100,3
2026-06,234113 Forester,80,1
2026-06,234113 Forester,85,1
2026-06,271111 Barrister,80,1
2026-06,271111 Barrister,85,1
2026-06,331212 Carpenter,65,137
2026-06,331212 Carpenter,75,53
2026-06,331212 Carpenter,70,133
2026-06,331212 Carpenter,80,18
2026-06,331212 Carpenter,90,3
2026-06,331212 Carpenter,85,5
2026-06,331212 Carpenter,100,1
2026-06,272511 Social Worker,75,39
2026-06,272511 Social Worker,80,153
2026-06,272511 Social Worker,90,15
2026-06,272511 Social Worker,85,70
2026-06,342313 Electronic Equipment Trades Worker,80,8
2026-06,342313 Electronic Equipment Trades Worker,90,1
2026-06,342313 Electronic Equipment Trades Worker,85,4
2026-06,233612 Petroleum Engineer,80,21
2026-06,233612 Petroleum Engineer,95,3
2026-06,233612 Petroleum Engineer,85,23
2026-06,233612 Petroleum Engineer,105,1
2026-06,252111 Chiropractor,80,5
2026-06,252111 Chiropractor,90,1
2026-06,252111 Chiropractor,85,6
2026-06,394111 Cabinetmaker,80,2
2026-06,394111 Cabinetmaker,85,2
2026-06,254415 Registered Nurse (Critical Care and Emergency),75,14
2026-06,254415 Registered Nurse (Critical Care and Emergency),80,39
2026-06,254415 Registered Nurse (Critical Care and Emergency),90,2
2026-06,254415 Registered Nurse (Critical Care and Emergency),85,23
2026-06,224311 Economist,80,18
2026-06,224311 Economist,90,10
2026-06,224311 Economist,85,21
2026-06,234514 Biotechnologist,95,3
2026-06,234514 Biotechnologist,100,2
2026-06,331111 Bricklayer,65,33
2026-06,331111 Bricklayer,75,10
2026-06,331111 Bricklayer,70,12
2026-06,331111 Bricklayer,80,3
2026-06,331111 Bricklayer,85,1
2026-06,139912 Environmental Manager,80,7
2026-06,139912 Environmental Manager,90,4
2026-06,139912 Environmental Manager,85,6
2026-06,139911 Arts Administrator or Manager,80,5
2026-06,139911 Arts Administrator or Manager,90,3
2026-06,139911 Arts Administrator or Manager,85,3
2026-06,254412 Registered Nurse (Aged Care),75,15
2026-06,254412 Registered Nurse (Aged Care),80,119
2026-06,254412 Registered Nurse (Aged Care),90,4
2026-06,254412 Registered Nurse (Aged Care),85,22
2026-06,254412 Registered Nurse (Aged Care),110,1
2026-06,254412 Registered Nurse (Aged Care),105,1
2026-06,253999 Medical Practitioners nec,75,4
2026-06,253999 Medical Practitioners nec,80,69
2026-06,253999 Medical Practitioners nec,90,12
2026-06,253999 Medical Practitioners nec,85,48
2026-06,234412 Geophysicist,80,3
2026-06,234412 Geophysicist,90,1
2026-06,234412 Geophysicist,85,2
2026-06,234412 Geophysicist,100,1
2026-06,224113 Statistician,95,22
2026-06,224113 Statistician,90,66
2026-06,224113 Statistician,100,3
2026-06,224113 Statistician,105,3
2026-06,341111 Electrician (General),65,16
2026-06,341111 Electrician (General),75,6
2026-06,341111 Electrician (General),70,19
2026-06,341111 Electrician (General),80,9
2026-06,252511 Physiotherapist,75,7
2026-06,252511 Physiotherapist,80,63
2026-06,252511 Physiotherapist,95,1
2026-06,252511 Physiotherapist,90,4
2026-06,252511 Physiotherapist,85,23
2026-06,252511 Physiotherapist,100,1
2026-06,251211 Medical Diagnostic Radiographer,80,26
2026-06,251211 Medical Diagnostic Radiographer,90,1
2026-06,251211 Medical Diagnostic Radiographer,85,2
2026-06,232213 Cartographer,85,1
2026-06,342315 Electronic Instrument Trades Worker (Special Class),80,2
2026-06,342315 Electronic Instrument Trades Worker (Special Class),85,1
2026-06,253912 Emergency Medicine Specialist,80,5
2026-06,253912 Emergency Medicine Specialist,90,1
2026-06,253912 Emergency Medicine Specialist,85,4
2026-06,234312 Environmental Consultant,80,25
2026-06,234312 Environmental Consultant,95,4
2026-06,234312 Environmental Consultant,90,18
2026-06,234312 Environmental Consultant,85,29
2026-06,234312 Environmental Consultant,100,2
2026-06,234517 Microbiologist,95,1
2026-06,234517 Microbiologist,100,2
2026-06,232112 Landscape Architect,95,1
2026-06,232112 Landscape Architect,90,8
2026-06,232112 Landscape Architect,85,5
2026-06,252712 Speech Pathologist,80,34
2026-06,252712 Speech Pathologist,90,3
2026-06,252712 Speech Pathologist,85,20
2026-06,322311 Metal Fabricator,80,5
2026-06,322311 Metal Fabricator,85,2
2026-06,234999 Natural and Physical Science Professionals nec,85,2
2026-06,234914 Physicist,80,7
2026-06,234914 Physicist,95,3
2026-06,234914 Physicist,90,4
2026-06,234914 Physicist,85,5
2026-06,234914 Physicist,100,3
2026-06,234914 Physicist,105,1
2026-06,252411 Occupational Therapist,75,6
2026-06,252411 Occupational Therapist,80,36
2026-06,252411 Occupational Therapist,90,2
2026-06,252411 Occupational Therapist,85,12
2026-06,342111 Airconditioning and Refrigeration Mechanic,80,1
2026-06,234611 Medical Laboratory Scientist,80,38
2026-06,234611 Medical Laboratory Scientist,90,10
2026-06,234611 Medical Laboratory Scientist,85,24
2026-06,241511 Special Needs Teacher,75,1
2026-06,241511 Special Needs Teacher,80,2
2026-06,254425 Registered Nurse (Paediatrics),80,7
2026-06,254425 Registered Nurse (Paediatrics),90,2
2026-06,254425 Registered Nurse (Paediatrics),85,6
2026-06,234399 Environmental Scientists nec,80,3
2026-06,234399 Environmental Scientists nec,90,1
2026-06,234399 Environmental Scientists nec,85,6
2026-06,272399 Psychologists nec,75,2
2026-06,272399 Psychologists nec,80,26
2026-06,272399 Psychologists nec,95,1
2026-06,272399 Psychologists nec,90,2
2026-06,272399 Psychologists nec,85,15
2026-06,331211 Carpenter and Joiner,65,8
2026-06,331211 Carpenter and Joiner,75,11
2026-06,331211 Carpenter and Joiner,70,10
2026-06,331211 Carpenter and Joiner,80,1
2026-06,331211 Carpenter and Joiner,85,1
2026-06,254111 Midwife,80,10
2026-06,254111 Midwife,90,1
2026-06,254111 Midwife,85,3
2026-06,252112 Osteopath,80,3
2026-06,342314 Electronic Instrument Trades Worker (General),80,1
2026-06,342314 Electronic Instrument Trades Worker (General),85,1
2026-06,334111 Plumber (General),65,6
2026-06,334111 Plumber (General),75,1
2026-06,334111 Plumber (General),70,4
2026-06,334111 Plumber (General),80,5
2026-06,334111 Plumber (General),95,1
2026-06,334111 Plumber (General),85,1
2026-06,234413 Hydrogeologist,80,1
2026-06,234413 Hydrogeologist,90,2
2026-06,234413 Hydrogeologist,85,1
2026-06,254421 Registered Nurse (Medical Practice),75,2
2026-06,254421 Registered Nurse (Medical Practice),80,6
2026-06,254421 Registered Nurse (Medical Practice),95,1
2026-06,254421 Registered Nurse (Medical Practice),85,2
2026-06,254424 Registered Nurse (Surgical),75,2
2026-06,254424 Registered Nurse (Surgical),80,21
2026-06,254424 Registered Nurse (Surgical),85,10
2026-06,324111 Panelbeater,80,2
2026-06,324111 Panelbeater,85,1
2026-06,224511 Land Economist,80,7
2026-06,224511 Land Economist,90,1
2026-06,224511 Land Economist,85,4
2026-06,452316 Tennis Coach,90,1
2026-06,452316 Tennis Coach,85,2
