AsAt,Occupation,Score,only
08/2026,221213 External Auditor,75,317
08/2026,221213 External Auditor,70,343
08/2026,221213 External Auditor,80,342
08/2026,221213 External Auditor,95,51
08/2026,221213 External Auditor,90,215
08/2026,221213 External Auditor,85,357
08/2026,221213 External Auditor,55,10
08/2026,221213 External Auditor,60,54
08/2026,221213 External Auditor,50,2
08/2026,221213 External Auditor,100,11
08/2026,234515 Botanist,65,4
08/2026,234515 Botanist,75,1
08/2026,234515 Botanist,70,1
08/2026,234515 Botanist,80,3
08/2026,234515 Botanist,60,1
08/2026,234515 Botanist,50,1
08/2026,233512 Mechanical Engineer,65,556
08/2026,233512 Mechanical Engineer,75,633
08/2026,233512 Mechanical Engineer,70,555
08/2026,233512 Mechanical Engineer,80,508
08/2026,233512 Mechanical Engineer,95,110
08/2026,233512 Mechanical Engineer,90,350
08/2026,233512 Mechanical Engineer,85,539
08/2026,233512 Mechanical Engineer,55,79
08/2026,233512 Mechanical Engineer,60,217
08/2026,233512 Mechanical Engineer,50,27
08/2026,233512 Mechanical Engineer,100,30
08/2026,233512 Mechanical Engineer,105,2
08/2026,233512 Mechanical Engineer,40,3
08/2026,233512 Mechanical Engineer,45,4
08/2026,233512 Mechanical Engineer,35,1
08/2026,233999 Engineering Professionals nec,65,89
08/2026,233999 Engineering Professionals nec,75,108
08/2026,233999 Engineering Professionals nec,70,87
08/2026,233999 Engineering Professionals nec,80,111
08/2026,233999 Engineering Professionals nec,95,35
08/2026,233999 Engineering Professionals nec,90,61
08/2026,233999 Engineering Professionals nec,85,125
08/2026,233999 Engineering Professionals nec,55,13
08/2026,233999 Engineering Professionals nec,60,20
08/2026,233999 Engineering Professionals nec,50,4
08/2026,233999 Engineering Professionals nec,100,12
08/2026,233999 Engineering Professionals nec,105,4
08/2026,233999 Engineering Professionals nec,40,1
08/2026,233999 Engineering Professionals nec,45,1
08/2026,234111 Agricultural Consultant,65,104
08/2026,234111 Agricultural Consultant,75,69
08/2026,234111 Agricultural Consultant,70,80
08/2026,234111 Agricultural Consultant,80,38
08/2026,234111 Agricultural Consultant,95,5
08/2026,234111 Agricultural Consultant,90,3
08/2026,234111 Agricultural Consultant,85,6
08/2026,234111 Agricultural Consultant,55,19
08/2026,234111 Agricultural Consultant,60,24
08/2026,234111 Agricultural Consultant,50,3
08/2026,234111 Agricultural Consultant,45,3
08/2026,254418 Registered Nurse (Medical),65,230
08/2026,254418 Registered Nurse (Medical),75,129
08/2026,254418 Registered Nurse (Medical),70,155
08/2026,254418 Registered Nurse (Medical),80,56
08/2026,254418 Registered Nurse (Medical),90,2
08/2026,254418 Registered Nurse (Medical),85,11
08/2026,254418 Registered Nurse (Medical),55,23
08/2026,254418 Registered Nurse (Medical),60,58
08/2026,254418 Registered Nurse (Medical),50,6
08/2026,254418 Registered Nurse (Medical),40,1
08/2026,254418 Registered Nurse (Medical),45,1
08/2026,351311 Chef,65,778
08/2026,351311 Chef,75,696
08/2026,351311 Chef,70,868
08/2026,351311 Chef,80,468
08/2026,351311 Chef,95,44
08/2026,351311 Chef,90,136
08/2026,351311 Chef,85,211
08/2026,351311 Chef,55,72
08/2026,351311 Chef,60,194
08/2026,351311 Chef,50,31
08/2026,351311 Chef,100,3
08/2026,351311 Chef,105,3
08/2026,351311 Chef,40,1
08/2026,351311 Chef,45,6
08/2026,233411 Electronics Engineer,65,223
08/2026,233411 Electronics Engineer,75,214
08/2026,233411 Electronics Engineer,70,214
08/2026,233411 Electronics Engineer,80,187
08/2026,233411 Electronics Engineer,95,36
08/2026,233411 Electronics Engineer,90,90
08/2026,233411 Electronics Engineer,85,172
08/2026,233411 Electronics Engineer,55,29
08/2026,233411 Electronics Engineer,60,79
08/2026,233411 Electronics Engineer,50,13
08/2026,233411 Electronics Engineer,100,2
08/2026,233411 Electronics Engineer,40,3
08/2026,233411 Electronics Engineer,45,2
08/2026,233411 Electronics Engineer,25,1
08/2026,323212 Fitter and Turner,70,1
08/2026,323212 Fitter and Turner,55,1
08/2026,323212 Fitter and Turner,60,1
08/2026,261112 Systems Analyst,65,272
08/2026,261112 Systems Analyst,75,465
08/2026,261112 Systems Analyst,70,334
08/2026,261112 Systems Analyst,80,481
08/2026,261112 Systems Analyst,95,288
08/2026,261112 Systems Analyst,90,504
08/2026,261112 Systems Analyst,85,450
08/2026,261112 Systems Analyst,55,23
08/2026,261112 Systems Analyst,60,54
08/2026,261112 Systems Analyst,50,7
08/2026,261112 Systems Analyst,100,121
08/2026,261112 Systems Analyst,105,6
08/2026,261112 Systems Analyst,40,1
08/2026,261112 Systems Analyst,45,1
08/2026,233912 Agricultural Engineer,65,20
08/2026,233912 Agricultural Engineer,75,14
08/2026,233912 Agricultural Engineer,70,12
08/2026,233912 Agricultural Engineer,80,4
08/2026,233912 Agricultural Engineer,95,1
08/2026,233912 Agricultural Engineer,90,2
08/2026,233912 Agricultural Engineer,85,5
08/2026,233912 Agricultural Engineer,55,2
08/2026,233912 Agricultural Engineer,60,4
08/2026,263111 Computer Network and Systems Engineer,65,241
08/2026,263111 Computer Network and Systems Engineer,75,388
08/2026,263111 Computer Network and Systems Engineer,70,252
08/2026,263111 Computer Network and Systems Engineer,80,295
08/2026,263111 Computer Network and Systems Engineer,95,138
08/2026,263111 Computer Network and Systems Engineer,90,282
08/2026,263111 Computer Network and Systems Engineer,85,260
08/2026,263111 Computer Network and Systems Engineer,55,31
08/2026,263111 Computer Network and Systems Engineer,60,61
08/2026,263111 Computer Network and Systems Engineer,50,11
08/2026,263111 Computer Network and Systems Engineer,100,76
08/2026,263111 Computer Network and Systems Engineer,105,4
08/2026,263111 Computer Network and Systems Engineer,40,1
08/2026,263111 Computer Network and Systems Engineer,45,1
08/2026,263111 Computer Network and Systems Engineer,30,1
08/2026,234211 Chemist,65,73
08/2026,234211 Chemist,75,77
08/2026,234211 Chemist,70,47
08/2026,234211 Chemist,80,56
08/2026,234211 Chemist,95,6
08/2026,234211 Chemist,90,16
08/2026,234211 Chemist,85,43
08/2026,234211 Chemist,55,9
08/2026,234211 Chemist,60,12
08/2026,234211 Chemist,50,5
08/2026,234211 Chemist,100,1
08/2026,271311 Solicitor,65,55
08/2026,271311 Solicitor,75,80
08/2026,271311 Solicitor,70,60
08/2026,271311 Solicitor,80,71
08/2026,271311 Solicitor,95,3
08/2026,271311 Solicitor,90,13
08/2026,271311 Solicitor,85,42
08/2026,271311 Solicitor,55,6
08/2026,271311 Solicitor,60,16
08/2026,271311 Solicitor,50,1
08/2026,271311 Solicitor,45,1
08/2026,233111 Chemical Engineer,65,90
08/2026,233111 Chemical Engineer,75,140
08/2026,233111 Chemical Engineer,70,127
08/2026,233111 Chemical Engineer,80,122
08/2026,233111 Chemical Engineer,95,14
08/2026,233111 Chemical Engineer,90,46
08/2026,233111 Chemical Engineer,85,75
08/2026,233111 Chemical Engineer,55,13
08/2026,233111 Chemical Engineer,60,31
08/2026,233111 Chemical Engineer,50,6
08/2026,233111 Chemical Engineer,100,3
08/2026,233111 Chemical Engineer,40,1
08/2026,233914 Engineering Technologist,65,491
08/2026,233914 Engineering Technologist,75,504
08/2026,233914 Engineering Technologist,70,555
08/2026,233914 Engineering Technologist,80,429
08/2026,233914 Engineering Technologist,95,90
08/2026,233914 Engineering Technologist,90,292
08/2026,233914 Engineering Technologist,85,436
08/2026,233914 Engineering Technologist,55,66
08/2026,233914 Engineering Technologist,60,141
08/2026,233914 Engineering Technologist,50,18
08/2026,233914 Engineering Technologist,100,36
08/2026,233914 Engineering Technologist,105,2
08/2026,233914 Engineering Technologist,45,8
08/2026,233914 Engineering Technologist,30,1
08/2026,312312 Electrical Engineering Technician,65,41
08/2026,312312 Electrical Engineering Technician,75,37
08/2026,312312 Electrical Engineering Technician,70,39
08/2026,312312 Electrical Engineering Technician,80,11
08/2026,312312 Electrical Engineering Technician,90,22
08/2026,312312 Electrical Engineering Technician,85,24
08/2026,312312 Electrical Engineering Technician,55,6
08/2026,312312 Electrical Engineering Technician,60,13
08/2026,312312 Electrical Engineering Technician,40,1
08/2026,233913 Biomedical Engineer,65,44
08/2026,233913 Biomedical Engineer,75,35
08/2026,233913 Biomedical Engineer,70,47
08/2026,233913 Biomedical Engineer,80,52
08/2026,233913 Biomedical Engineer,95,12
08/2026,233913 Biomedical Engineer,90,28
08/2026,233913 Biomedical Engineer,85,45
08/2026,233913 Biomedical Engineer,55,8
08/2026,233913 Biomedical Engineer,60,11
08/2026,233913 Biomedical Engineer,50,2
08/2026,233913 Biomedical Engineer,100,4
08/2026,233913 Biomedical Engineer,105,2
08/2026,233913 Biomedical Engineer,45,2
08/2026,221214 Internal Auditor,65,57
08/2026,221214 Internal Auditor,75,57
08/2026,221214 Internal Auditor,70,51
08/2026,221214 Internal Auditor,80,39
08/2026,221214 Internal Auditor,95,7
08/2026,221214 Internal Auditor,90,15
08/2026,221214 Internal Auditor,85,32
08/2026,221214 Internal Auditor,55,14
08/2026,221214 Internal Auditor,60,13
08/2026,221214 Internal Auditor,100,2
08/2026,221214 Internal Auditor,45,1
08/2026,323211 Fitter (General),65,24
08/2026,323211 Fitter (General),75,10
08/2026,323211 Fitter (General),70,26
08/2026,323211 Fitter (General),80,3
08/2026,323211 Fitter (General),85,3
08/2026,323211 Fitter (General),55,1
08/2026,323211 Fitter (General),60,11
08/2026,323211 Fitter (General),50,2
08/2026,323211 Fitter (General),40,1
08/2026,323211 Fitter (General),45,1
08/2026,323211 Fitter (General),35,1
08/2026,261399 Software and Applications Programmers nec,65,198
08/2026,261399 Software and Applications Programmers nec,75,341
08/2026,261399 Software and Applications Programmers nec,70,268
08/2026,261399 Software and Applications Programmers nec,80,316
08/2026,261399 Software and Applications Programmers nec,95,307
08/2026,261399 Software and Applications Programmers nec,90,476
08/2026,261399 Software and Applications Programmers nec,85,374
08/2026,261399 Software and Applications Programmers nec,55,17
08/2026,261399 Software and Applications Programmers nec,60,38
08/2026,261399 Software and Applications Programmers nec,50,6
08/2026,261399 Software and Applications Programmers nec,110,1
08/2026,261399 Software and Applications Programmers nec,100,166
08/2026,261399 Software and Applications Programmers nec,105,31
08/2026,261399 Software and Applications Programmers nec,45,2
08/2026,233513 Production or Plant Engineer,65,68
08/2026,233513 Production or Plant Engineer,75,79
08/2026,233513 Production or Plant Engineer,70,69
08/2026,233513 Production or Plant Engineer,80,58
08/2026,233513 Production or Plant Engineer,95,11
08/2026,233513 Production or Plant Engineer,90,23
08/2026,233513 Production or Plant Engineer,85,42
08/2026,233513 Production or Plant Engineer,55,15
08/2026,233513 Production or Plant Engineer,60,16
08/2026,233513 Production or Plant Engineer,50,3
08/2026,233513 Production or Plant Engineer,40,1
08/2026,233311 Electrical Engineer,65,310
08/2026,233311 Electrical Engineer,75,374
08/2026,233311 Electrical Engineer,70,378
08/2026,233311 Electrical Engineer,80,314
08/2026,233311 Electrical Engineer,95,58
08/2026,233311 Electrical Engineer,90,153
08/2026,233311 Electrical Engineer,85,258
08/2026,233311 Electrical Engineer,55,62
08/2026,233311 Electrical Engineer,60,106
08/2026,233311 Electrical Engineer,50,12
08/2026,233311 Electrical Engineer,100,16
08/2026,233311 Electrical Engineer,105,1
08/2026,233311 Electrical Engineer,45,9
08/2026,232111 Architect,65,84
08/2026,232111 Architect,75,147
08/2026,232111 Architect,70,119
08/2026,232111 Architect,80,100
08/2026,232111 Architect,95,2
08/2026,232111 Architect,90,16
08/2026,232111 Architect,85,84
08/2026,232111 Architect,55,7
08/2026,232111 Architect,60,24
08/2026,234212 Food Technologist,65,61
08/2026,234212 Food Technologist,75,86
08/2026,234212 Food Technologist,70,61
08/2026,234212 Food Technologist,80,62
08/2026,234212 Food Technologist,95,6
08/2026,234212 Food Technologist,90,16
08/2026,234212 Food Technologist,85,38
08/2026,234212 Food Technologist,55,9
08/2026,234212 Food Technologist,60,17
08/2026,234212 Food Technologist,50,2
08/2026,234212 Food Technologist,45,1
08/2026,221112 Management Accountant,65,89
08/2026,221112 Management Accountant,75,144
08/2026,221112 Management Accountant,70,139
08/2026,221112 Management Accountant,80,118
08/2026,221112 Management Accountant,95,41
08/2026,221112 Management Accountant,90,80
08/2026,221112 Management Accountant,85,113
08/2026,221112 Management Accountant,55,6
08/2026,221112 Management Accountant,60,18
08/2026,221112 Management Accountant,50,2
08/2026,221112 Management Accountant,100,13
08/2026,221112 Management Accountant,45,1
08/2026,312311 Electrical Engineering Draftsperson,65,6
08/2026,312311 Electrical Engineering Draftsperson,75,11
08/2026,312311 Electrical Engineering Draftsperson,70,13
08/2026,312311 Electrical Engineering Draftsperson,80,5
08/2026,312311 Electrical Engineering Draftsperson,90,1
08/2026,312311 Electrical Engineering Draftsperson,85,5
08/2026,312311 Electrical Engineering Draftsperson,55,2
08/2026,312311 Electrical Engineering Draftsperson,60,6
08/2026,312311 Electrical Engineering Draftsperson,50,1
08/2026,224711 Management Consultant,65,38
08/2026,224711 Management Consultant,75,77
08/2026,224711 Management Consultant,70,50
08/2026,224711 Management Consultant,80,49
08/2026,224711 Management Consultant,95,5
08/2026,224711 Management Consultant,90,23
08/2026,224711 Management Consultant,85,40
08/2026,224711 Management Consultant,55,2
08/2026,224711 Management Consultant,60,13
08/2026,224711 Management Consultant,50,2
08/2026,224711 Management Consultant,45,1
08/2026,234711 Veterinarian,65,11
08/2026,234711 Veterinarian,75,26
08/2026,234711 Veterinarian,70,8
08/2026,234711 Veterinarian,80,9
08/2026,234711 Veterinarian,95,1
08/2026,234711 Veterinarian,90,9
08/2026,234711 Veterinarian,85,17
08/2026,234711 Veterinarian,55,2
08/2026,241411 Secondary School Teacher,65,264
08/2026,241411 Secondary School Teacher,75,311
08/2026,241411 Secondary School Teacher,70,322
08/2026,241411 Secondary School Teacher,80,133
08/2026,241411 Secondary School Teacher,95,3
08/2026,241411 Secondary School Teacher,90,15
08/2026,241411 Secondary School Teacher,85,45
08/2026,241411 Secondary School Teacher,55,20
08/2026,241411 Secondary School Teacher,60,54
08/2026,241411 Secondary School Teacher,50,7
08/2026,241411 Secondary School Teacher,100,1
08/2026,241411 Secondary School Teacher,40,1
08/2026,241411 Secondary School Teacher,45,3
08/2026,134111 Child Care Centre Manager,65,3
08/2026,134111 Child Care Centre Manager,75,1
08/2026,134111 Child Care Centre Manager,70,4
08/2026,134111 Child Care Centre Manager,60,1
08/2026,224111 Actuary,65,4
08/2026,224111 Actuary,75,28
08/2026,224111 Actuary,70,8
08/2026,224111 Actuary,80,24
08/2026,224111 Actuary,95,3
08/2026,224111 Actuary,90,17
08/2026,224111 Actuary,85,21
08/2026,224111 Actuary,60,3
08/2026,224111 Actuary,45,1
08/2026,333111 Glazier,65,3
08/2026,333111 Glazier,75,1
08/2026,333111 Glazier,80,1
08/2026,333111 Glazier,60,1
08/2026,242111 University Lecturer,65,209
08/2026,242111 University Lecturer,75,186
08/2026,242111 University Lecturer,70,203
08/2026,242111 University Lecturer,80,160
08/2026,242111 University Lecturer,95,61
08/2026,242111 University Lecturer,90,115
08/2026,242111 University Lecturer,85,137
08/2026,242111 University Lecturer,55,21
08/2026,242111 University Lecturer,60,56
08/2026,242111 University Lecturer,50,9
08/2026,242111 University Lecturer,100,31
08/2026,242111 University Lecturer,105,10
08/2026,242111 University Lecturer,45,1
08/2026,263312 Telecommunications Network Engineer,65,34
08/2026,263312 Telecommunications Network Engineer,75,25
08/2026,263312 Telecommunications Network Engineer,70,29
08/2026,263312 Telecommunications Network Engineer,80,25
08/2026,263312 Telecommunications Network Engineer,95,4
08/2026,263312 Telecommunications Network Engineer,90,16
08/2026,263312 Telecommunications Network Engineer,85,19
08/2026,263312 Telecommunications Network Engineer,55,4
08/2026,263312 Telecommunications Network Engineer,60,3
08/2026,133211 Engineering Manager,65,63
08/2026,133211 Engineering Manager,75,47
08/2026,133211 Engineering Manager,70,55
08/2026,133211 Engineering Manager,80,11
08/2026,133211 Engineering Manager,90,1
08/2026,133211 Engineering Manager,85,5
08/2026,133211 Engineering Manager,55,19
08/2026,133211 Engineering Manager,60,16
08/2026,133211 Engineering Manager,40,2
08/2026,133211 Engineering Manager,45,2
08/2026,233213 Quantity Surveyor,65,101
08/2026,233213 Quantity Surveyor,75,120
08/2026,233213 Quantity Surveyor,70,112
08/2026,233213 Quantity Surveyor,80,94
08/2026,233213 Quantity Surveyor,95,3
08/2026,233213 Quantity Surveyor,90,40
08/2026,233213 Quantity Surveyor,85,73
08/2026,233213 Quantity Surveyor,55,8
08/2026,233213 Quantity Surveyor,60,35
08/2026,233213 Quantity Surveyor,50,1
08/2026,233213 Quantity Surveyor,100,1
08/2026,233213 Quantity Surveyor,45,1
08/2026,234599 Life Scientists nec,65,6
08/2026,234599 Life Scientists nec,75,9
08/2026,234599 Life Scientists nec,70,7
08/2026,234599 Life Scientists nec,80,6
08/2026,234599 Life Scientists nec,95,3
08/2026,234599 Life Scientists nec,90,10
08/2026,234599 Life Scientists nec,85,3
08/2026,234599 Life Scientists nec,55,3
08/2026,234599 Life Scientists nec,60,1
08/2026,234599 Life Scientists nec,50,2
08/2026,234599 Life Scientists nec,100,1
08/2026,254422 Registered Nurse (Mental Health),65,19
08/2026,254422 Registered Nurse (Mental Health),75,54
08/2026,254422 Registered Nurse (Mental Health),70,35
08/2026,254422 Registered Nurse (Mental Health),80,21
08/2026,254422 Registered Nurse (Mental Health),90,2
08/2026,254422 Registered Nurse (Mental Health),85,4
08/2026,254422 Registered Nurse (Mental Health),55,3
08/2026,254422 Registered Nurse (Mental Health),60,6
08/2026,254422 Registered Nurse (Mental Health),50,1
08/2026,254422 Registered Nurse (Mental Health),45,1
08/2026,312211 Civil Engineering Draftsperson,65,544
08/2026,312211 Civil Engineering Draftsperson,75,518
08/2026,312211 Civil Engineering Draftsperson,70,683
08/2026,312211 Civil Engineering Draftsperson,80,354
08/2026,312211 Civil Engineering Draftsperson,95,7
08/2026,312211 Civil Engineering Draftsperson,90,44
08/2026,312211 Civil Engineering Draftsperson,85,240
08/2026,312211 Civil Engineering Draftsperson,55,69
08/2026,312211 Civil Engineering Draftsperson,60,177
08/2026,312211 Civil Engineering Draftsperson,50,27
08/2026,312211 Civil Engineering Draftsperson,100,1
08/2026,312211 Civil Engineering Draftsperson,40,4
08/2026,312211 Civil Engineering Draftsperson,45,8
08/2026,321212 Diesel Motor Mechanic,65,18
08/2026,321212 Diesel Motor Mechanic,75,15
08/2026,321212 Diesel Motor Mechanic,70,11
08/2026,321212 Diesel Motor Mechanic,80,4
08/2026,321212 Diesel Motor Mechanic,95,2
08/2026,321212 Diesel Motor Mechanic,85,2
08/2026,321212 Diesel Motor Mechanic,55,3
08/2026,321212 Diesel Motor Mechanic,60,7
08/2026,321212 Diesel Motor Mechanic,50,1
08/2026,234511 Life Scientist (General),65,15
08/2026,234511 Life Scientist (General),75,32
08/2026,234511 Life Scientist (General),70,20
08/2026,234511 Life Scientist (General),80,13
08/2026,234511 Life Scientist (General),95,9
08/2026,234511 Life Scientist (General),90,20
08/2026,234511 Life Scientist (General),85,29
08/2026,234511 Life Scientist (General),55,4
08/2026,234511 Life Scientist (General),60,10
08/2026,234511 Life Scientist (General),50,1
08/2026,234511 Life Scientist (General),100,4
08/2026,234511 Life Scientist (General),105,2
08/2026,254423 Registered Nurse (Perioperative),65,69
08/2026,254423 Registered Nurse (Perioperative),75,43
08/2026,254423 Registered Nurse (Perioperative),70,48
08/2026,254423 Registered Nurse (Perioperative),80,13
08/2026,254423 Registered Nurse (Perioperative),95,1
08/2026,254423 Registered Nurse (Perioperative),85,1
08/2026,254423 Registered Nurse (Perioperative),55,9
08/2026,254423 Registered Nurse (Perioperative),60,8
08/2026,254423 Registered Nurse (Perioperative),50,4
08/2026,233212 Geotechnical Engineer,65,13
08/2026,233212 Geotechnical Engineer,75,25
08/2026,233212 Geotechnical Engineer,70,30
08/2026,233212 Geotechnical Engineer,80,22
08/2026,233212 Geotechnical Engineer,95,3
08/2026,233212 Geotechnical Engineer,90,7
08/2026,233212 Geotechnical Engineer,85,19
08/2026,233212 Geotechnical Engineer,60,4
08/2026,233212 Geotechnical Engineer,100,1
08/2026,232212 Surveyor,65,24
08/2026,232212 Surveyor,75,16
08/2026,232212 Surveyor,70,10
08/2026,232212 Surveyor,80,6
08/2026,232212 Surveyor,90,1
08/2026,232212 Surveyor,85,5
08/2026,232212 Surveyor,55,6
08/2026,232212 Surveyor,60,5
08/2026,254499 Registered Nurses nec,65,662
08/2026,254499 Registered Nurses nec,75,980
08/2026,254499 Registered Nurses nec,70,986
08/2026,254499 Registered Nurses nec,80,367
08/2026,254499 Registered Nurses nec,90,24
08/2026,254499 Registered Nurses nec,85,101
08/2026,254499 Registered Nurses nec,55,55
08/2026,254499 Registered Nurses nec,60,140
08/2026,254499 Registered Nurses nec,50,19
08/2026,254499 Registered Nurses nec,100,1
08/2026,254499 Registered Nurses nec,45,4
08/2026,254499 Registered Nurses nec,120,1
08/2026,221113 Taxation Accountant,65,81
08/2026,221113 Taxation Accountant,75,166
08/2026,221113 Taxation Accountant,70,175
08/2026,221113 Taxation Accountant,80,144
08/2026,221113 Taxation Accountant,95,69
08/2026,221113 Taxation Accountant,90,114
08/2026,221113 Taxation Accountant,85,176
08/2026,221113 Taxation Accountant,55,6
08/2026,221113 Taxation Accountant,60,15
08/2026,221113 Taxation Accountant,50,2
08/2026,221113 Taxation Accountant,100,29
08/2026,323313 Locksmith,75,2
08/2026,323313 Locksmith,70,1
08/2026,323313 Locksmith,55,1
08/2026,224512 Valuer,65,5
08/2026,224512 Valuer,75,13
08/2026,224512 Valuer,70,6
08/2026,224512 Valuer,80,8
08/2026,224512 Valuer,85,1
08/2026,224512 Valuer,55,2
08/2026,224512 Valuer,30,1
08/2026,261311 Analyst Programmer,65,253
08/2026,261311 Analyst Programmer,75,463
08/2026,261311 Analyst Programmer,70,327
08/2026,261311 Analyst Programmer,80,467
08/2026,261311 Analyst Programmer,95,369
08/2026,261311 Analyst Programmer,90,695
08/2026,261311 Analyst Programmer,85,553
08/2026,261311 Analyst Programmer,55,24
08/2026,261311 Analyst Programmer,60,62
08/2026,261311 Analyst Programmer,50,10
08/2026,261311 Analyst Programmer,110,2
08/2026,261311 Analyst Programmer,100,141
08/2026,261311 Analyst Programmer,105,12
08/2026,261311 Analyst Programmer,45,1
08/2026,234516 Marine Biologist,65,5
08/2026,234516 Marine Biologist,75,4
08/2026,234516 Marine Biologist,70,1
08/2026,234516 Marine Biologist,80,8
08/2026,234516 Marine Biologist,95,1
08/2026,234516 Marine Biologist,90,6
08/2026,234516 Marine Biologist,85,3
08/2026,234516 Marine Biologist,60,2
08/2026,233215 Transport Engineer,65,27
08/2026,233215 Transport Engineer,75,25
08/2026,233215 Transport Engineer,70,23
