AsAt,OccGroup,Score,n,pool_doe_max,pool_doe_min
08/2026,2332 Civil Engineering Professionals,75,986,46267.208703703705,45537.64207175926
08/2026,2332 Civil Engineering Professionals,70,966,46267.208703703705,45536.52638888889
08/2026,2332 Civil Engineering Professionals,80,863,46267.208703703705,45539.32366898148
08/2026,2332 Civil Engineering Professionals,95,150,46264.213784722226,45696.2112037037
08/2026,2332 Civil Engineering Professionals,90,379,46265.86761574074,45553.56585648148
08/2026,2332 Civil Engineering Professionals,85,695,46267.208703703705,45544.69744212963
08/2026,2332 Civil Engineering Professionals,55,84,46265.211539351854,45543.88601851852
08/2026,2332 Civil Engineering Professionals,60,213,46267.208703703705,45546.677777777775
08/2026,2332 Civil Engineering Professionals,50,27,46263.210752314815,45594.75798611111
08/2026,2332 Civil Engineering Professionals,110,2,46265.713217592594,46080.20591435185
08/2026,2332 Civil Engineering Professionals,100,40,46260.899189814816,45637.71815972222
08/2026,2332 Civil Engineering Professionals,105,1,46025.20633101852,45971.20501157407
08/2026,2332 Civil Engineering Professionals,40,1,46077.2046412037,46077.2046412037
08/2026,2332 Civil Engineering Professionals,45,10,46266.21104166667,45561.79377314815
08/2026,2332 Civil Engineering Professionals,30,1,46177.20538194444,46023.92493055556
08/2026,2411 Early Childhood (Pre-primary School) Teachers,65,885,46267.208703703705,45540.530324074076
08/2026,2411 Early Childhood (Pre-primary School) Teachers,75,1222,46267.208703703705,45555.47577546296
08/2026,2411 Early Childhood (Pre-primary School) Teachers,70,1376,46267.208703703705,45540.800405092596
08/2026,2411 Early Childhood (Pre-primary School) Teachers,80,1044,46266.21104166667,45540.766284722224
08/2026,2411 Early Childhood (Pre-primary School) Teachers,95,4,46258.205046296294,46025.450902777775
08/2026,2411 Early Childhood (Pre-primary School) Teachers,90,241,46266.21104166667,45612.473807870374
08/2026,2411 Early Childhood (Pre-primary School) Teachers,85,1226,46267.208703703705,45535.65217592593
08/2026,2411 Early Childhood (Pre-primary School) Teachers,55,70,46262.69248842593,45762.518541666665
08/2026,2411 Early Childhood (Pre-primary School) Teachers,60,268,46266.21104166667,45565.9562037037
08/2026,2411 Early Childhood (Pre-primary School) Teachers,50,25,46264.82512731481,45720.44310185185
08/2026,2411 Early Childhood (Pre-primary School) Teachers,40,2,46147.72959490741,45941.90578703704
08/2026,2411 Early Childhood (Pre-primary School) Teachers,45,5,46255.57177083333,45965.59197916667
08/2026,2411 Early Childhood (Pre-primary School) Teachers,30,1,46197.44969907407,46197.44969907407
08/2026,2411 Early Childhood (Pre-primary School) Teachers,125,1,46171.94123842593,46171.94123842593
08/2026,2611 ICT Business and Systems Analysts,65,687,46267.208703703705,45537.71207175926
08/2026,2611 ICT Business and Systems Analysts,75,1152,46267.208703703705,45537.878703703704
08/2026,2611 ICT Business and Systems Analysts,70,853,46265.9275462963,45536.43649305555
08/2026,2611 ICT Business and Systems Analysts,80,1185,46267.208703703705,45538.924629629626
08/2026,2611 ICT Business and Systems Analysts,95,667,46267.208703703705,45539.544490740744
08/2026,2611 ICT Business and Systems Analysts,90,1166,46267.208703703705,45536.90954861111
08/2026,2611 ICT Business and Systems Analysts,85,1027,46267.208703703705,45542.28123842592
08/2026,2611 ICT Business and Systems Analysts,55,70,46260.20512731482,45575.690474537034
08/2026,2611 ICT Business and Systems Analysts,60,152,46267.208703703705,45585.85056712963
08/2026,2611 ICT Business and Systems Analysts,50,21,46257.20914351852,45869.86549768518
08/2026,2611 ICT Business and Systems Analysts,110,2,46265.211539351854,46171.71229166666
08/2026,2611 ICT Business and Systems Analysts,100,271,46264.213784722226,45540.64628472222
08/2026,2611 ICT Business and Systems Analysts,105,16,46254.20762731481,45976.206921296296
08/2026,2611 ICT Business and Systems Analysts,40,1,46087.10634259259,46087.10634259259
08/2026,2611 ICT Business and Systems Analysts,45,3,46253.205509259256,45970.20979166667
08/2026,2211 Accountants,65,596,46267.208703703705,45537.63927083334
08/2026,2211 Accountants,75,855,46267.208703703705,45539.46403935185
08/2026,2211 Accountants,70,895,46266.21104166667,45537.63119212963
08/2026,2211 Accountants,80,712,46266.21104166667,45536.66570601852
08/2026,2211 Accountants,95,297,46266.21104166667,45545.442337962966
08/2026,2211 Accountants,90,501,46267.208703703705,45537.89857638889
08/2026,2211 Accountants,85,699,46267.208703703705,45540.646782407406
08/2026,2211 Accountants,55,48,46256.2065625,45737.58489583333
08/2026,2211 Accountants,60,130,46267.208703703705,45541.765335648146
08/2026,2211 Accountants,50,9,46213.205416666664,45733.205983796295
08/2026,2211 Accountants,110,1,46246.21188657408,46101.24579861111
08/2026,2211 Accountants,100,111,46264.213784722226,45551.501296296294
08/2026,2211 Accountants,105,4,46254.29310185185,46059.87579861111
08/2026,2211 Accountants,45,7,46230.20935185185,45573.65059027778
08/2026,2211 Accountants,35,1,45939.204976851855,45614.67376157407
08/2026,2344 Geologists Geophysicists and Hydrogeologists,65,6,46228.21045138889,45614.516064814816
08/2026,2344 Geologists Geophysicists and Hydrogeologists,75,4,46265.211539351854,45810.993935185186
08/2026,2344 Geologists Geophysicists and Hydrogeologists,70,6,46239.20633101852,45809.65925925926
08/2026,2344 Geologists Geophysicists and Hydrogeologists,80,5,46262.20508101852,46091.20582175926
08/2026,2344 Geologists Geophysicists and Hydrogeologists,90,3,46237.20798611111,46174.84841435185
08/2026,2344 Geologists Geophysicists and Hydrogeologists,85,1,46261.20893518518,46261.20893518518
08/2026,2344 Geologists Geophysicists and Hydrogeologists,55,2,46242.88135416667,45750.44130787037
08/2026,2344 Geologists Geophysicists and Hydrogeologists,60,4,46256.2065625,45593.76751157407
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",65,184,46265.67591435185,45548.754166666666
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",75,260,46263.210752314815,45536.160219907404
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",70,225,46264.601956018516,45540.61069444445
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",80,258,46266.21104166667,45540.72467592593
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",95,130,46264.213784722226,45629.37337962963
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",90,232,46265.63746527778,45561.5603125
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",85,223,46265.59496527778,45582.85506944444
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",55,26,46262.20508101852,45678.65420138889
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",60,43,46262.20508101852,45626.144270833334
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",50,5,46076.206145833334,45796.20402777778
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",100,44,46264.213784722226,45581.231574074074
08/2026,"2621 Database and Systems Administrators, and ICT Security Specialists",105,1,46017.20549768519,46004.2109375
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",65,300,46263.81836805555,45537.53670138889
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",75,374,46267.208703703705,45536.65346064815
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",70,394,46266.21104166667,45540.690358796295
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",80,381,46265.211539351854,45540.717210648145
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",95,58,46264.213784722226,45663.90290509259
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,230,46266.21104166667,45557.92858796296
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",85,389,46265.59983796296,45537.95689814815
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",55,24,46262.40862268519,45630.33293981481
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",60,67,46267.208703703705,45544.83488425926
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",50,2,46186.58818287037,45939.43324074074
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",100,13,46246.21188657408,45999.52722222222
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",45,1,45907.2115162037,45574.86310185185
08/2026,2345 Life Scientists,65,109,46267.208703703705,45596.4894212963
08/2026,2345 Life Scientists,75,128,46264.213784722226,45536.89256944445
08/2026,2345 Life Scientists,70,97,46264.213784722226,45544.02328703704
08/2026,2345 Life Scientists,80,86,46267.208703703705,45645.18204861111
08/2026,2345 Life Scientists,95,30,46262.564039351855,45995.518229166664
08/2026,2345 Life Scientists,90,82,46267.208703703705,45834.04785879629
08/2026,2345 Life Scientists,85,93,46265.74865740741,45701.4015625
08/2026,2345 Life Scientists,55,17,46244.68402777778,45624.227638888886
08/2026,2345 Life Scientists,60,35,46266.21104166667,45612.96916666667
08/2026,2345 Life Scientists,50,6,46267.208703703705,45755.20398148148
08/2026,2345 Life Scientists,100,8,46265.81376157407,46054.12777777778
08/2026,2345 Life Scientists,105,2,46208.661886574075,46207.613530092596
08/2026,2345 Life Scientists,45,1,46186.20513888889,46186.20513888889
08/2026,"2335 Industrial, Mechanical and Production Engineers",65,688,46266.21104166667,45537.8566087963
08/2026,"2335 Industrial, Mechanical and Production Engineers",75,780,46267.208703703705,45537.44295138889
08/2026,"2335 Industrial, Mechanical and Production Engineers",70,681,46267.208703703705,45540.937569444446
08/2026,"2335 Industrial, Mechanical and Production Engineers",80,622,46267.208703703705,45535.64431712963
08/2026,"2335 Industrial, Mechanical and Production Engineers",95,135,46267.208703703705,45617.49983796296
08/2026,"2335 Industrial, Mechanical and Production Engineers",90,409,46267.208703703705,45555.91054398148
08/2026,"2335 Industrial, Mechanical and Production Engineers",85,623,46267.208703703705,45538.519166666665
08/2026,"2335 Industrial, Mechanical and Production Engineers",55,101,46266.21104166667,45546.06259259259
08/2026,"2335 Industrial, Mechanical and Production Engineers",60,255,46267.208703703705,45546.81328703704
08/2026,"2335 Industrial, Mechanical and Production Engineers",50,33,46261.780590277776,45570.61944444444
08/2026,"2335 Industrial, Mechanical and Production Engineers",100,31,46265.211539351854,45646.48923611111
08/2026,"2335 Industrial, Mechanical and Production Engineers",105,2,46222.22326388889,45907.2115162037
08/2026,"2335 Industrial, Mechanical and Production Engineers",40,4,46257.20914351852,45560.78078703704
08/2026,"2335 Industrial, Mechanical and Production Engineers",45,4,46047.20471064815,45799.906006944446
08/2026,"2335 Industrial, Mechanical and Production Engineers",35,1,46201.211909722224,46187.21666666667
08/2026,2339 Other Engineering Professionals,65,695,46267.208703703705,45536.98384259259
08/2026,2339 Other Engineering Professionals,75,730,46267.208703703705,45537.5216087963
08/2026,2339 Other Engineering Professionals,70,760,46267.208703703705,45536.67157407408
08/2026,2339 Other Engineering Professionals,80,672,46266.21104166667,45537.483298611114
08/2026,2339 Other Engineering Professionals,95,154,46267.208703703705,45568.7328587963
08/2026,2339 Other Engineering Professionals,90,425,46267.208703703705,45564.26814814815
08/2026,2339 Other Engineering Professionals,85,678,46267.208703703705,45536.9275
08/2026,2339 Other Engineering Professionals,55,93,46263.210752314815,45536.68513888889
08/2026,2339 Other Engineering Professionals,60,195,46267.208703703705,45539.79337962963
08/2026,2339 Other Engineering Professionals,50,27,46263.210752314815,45545.48310185185
08/2026,2339 Other Engineering Professionals,100,53,46266.21104166667,45757.98887731481
08/2026,2339 Other Engineering Professionals,105,9,46258.205046296294,45790.46792824074
08/2026,2339 Other Engineering Professionals,40,1,46069.206342592595,45774.72332175926
08/2026,2339 Other Engineering Professionals,45,12,46247.75355324074,45658.20648148148
08/2026,2339 Other Engineering Professionals,30,1,46175.20494212963,46004.84159722222
08/2026,2341 Agricultural and Forestry Scientists,65,133,46266.21104166667,45541.7527662037
08/2026,2341 Agricultural and Forestry Scientists,75,102,46265.87739583333,45577.13476851852
08/2026,2341 Agricultural and Forestry Scientists,70,109,46265.57971064815,45540.53648148148
08/2026,2341 Agricultural and Forestry Scientists,80,64,46264.964849537035,45650.12641203704
08/2026,2341 Agricultural and Forestry Scientists,95,10,46265.98857638889,46005.87091435185
08/2026,2341 Agricultural and Forestry Scientists,90,14,46260.652291666665,45936.57634259259
08/2026,2341 Agricultural and Forestry Scientists,85,21,46261.91061342593,45896.513865740744
08/2026,2341 Agricultural and Forestry Scientists,55,22,46259.53863425926,45683.27143518518
08/2026,2341 Agricultural and Forestry Scientists,60,27,46258.55841435185,45542.68945601852
08/2026,2341 Agricultural and Forestry Scientists,50,6,46244.20744212963,45865.27415509259
08/2026,2341 Agricultural and Forestry Scientists,100,2,46264.213784722226,46143.01190972222
08/2026,2341 Agricultural and Forestry Scientists,45,3,46205.65542824074,45789.08561342592
08/2026,2544 Registered Nurses,65,1567,46267.208703703705,45537.59539351852
08/2026,2544 Registered Nurses,75,1730,46267.208703703705,45553.65542824074
08/2026,2544 Registered Nurses,70,1748,46267.208703703705,45542.99333333333
08/2026,2544 Registered Nurses,80,597,46267.208703703705,45573.72565972222
08/2026,2544 Registered Nurses,95,2,46251.886087962965,46242.86084490741
08/2026,2544 Registered Nurses,90,30,46253.205509259256,45981.922951388886
08/2026,2544 Registered Nurses,85,162,46267.208703703705,45976.00438657407
08/2026,2544 Registered Nurses,55,171,46263.210752314815,45555.82607638889
08/2026,2544 Registered Nurses,60,332,46267.208703703705,45565.899039351854
08/2026,2544 Registered Nurses,50,51,46262.20508101852,45610.406319444446
08/2026,2544 Registered Nurses,110,1,46238.20780092593,46127.778645833336
08/2026,2544 Registered Nurses,100,2,46177.00902777778,45936.58733796296
08/2026,2544 Registered Nurses,105,1,46173.54150462963,46173.54150462963
08/2026,2544 Registered Nurses,40,3,46215.213530092595,45971.76949074074
08/2026,2544 Registered Nurses,45,14,46245.65350694444,45624.0559375
08/2026,2544 Registered Nurses,120,1,46248.94863425926,46248.94863425926
08/2026,3513 Chefs,65,778,46267.208703703705,45538.79377314815
08/2026,3513 Chefs,75,696,46267.208703703705,45535.52532407407
08/2026,3513 Chefs,70,868,46267.208703703705,45545.676574074074
08/2026,3513 Chefs,80,468,46267.208703703705,45539.769155092596
08/2026,3513 Chefs,95,44,46264.213784722226,45761.56428240741
08/2026,3513 Chefs,90,136,46261.82408564815,45540.683796296296
08/2026,3513 Chefs,85,211,46265.58225694444,45545.43189814815
08/2026,3513 Chefs,55,72,46265.211539351854,45540.415868055556
08/2026,3513 Chefs,60,194,46263.210752314815,45572.50672453704
08/2026,3513 Chefs,50,31,46250.20707175926,45552.83193287037
08/2026,3513 Chefs,100,3,46242.20569444444,45609.80224537037
08/2026,3513 Chefs,105,3,46193.20486111111,45703.77186342593
08/2026,3513 Chefs,40,1,46065.20710648148,45924.93423611111
08/2026,3513 Chefs,45,6,46258.54640046296,45721.458599537036
08/2026,2334 Electronics Engineers,65,223,46265.89146990741,45539.52600694444
08/2026,2334 Electronics Engineers,75,214,46267.208703703705,45548.93050925926
08/2026,2334 Electronics Engineers,70,214,46265.79331018519,45544.89586805556
08/2026,2334 Electronics Engineers,80,187,46264.213784722226,45540.59216435185
08/2026,2334 Electronics Engineers,95,36,46267.208703703705,45900.28130787037
08/2026,2334 Electronics Engineers,90,90,46265.211539351854,45540.74290509259
08/2026,2334 Electronics Engineers,85,172,46266.21104166667,45556.81
08/2026,2334 Electronics Engineers,55,29,46265.67689814815,45548.182118055556
08/2026,2334 Electronics Engineers,60,79,46265.211539351854,45547.5681712963
08/2026,2334 Electronics Engineers,50,13,46253.84758101852,45666.278865740744
08/2026,2334 Electronics Engineers,100,2,46252.69534722222,46062.21166666667
08/2026,2334 Electronics Engineers,40,3,46246.21188657408,46226.20528935185
08/2026,2334 Electronics Engineers,45,2,46141.20490740741,45847.72622685185
08/2026,2334 Electronics Engineers,25,1,46248.20554398148,45967.730266203704
08/2026,3232 Metal Fitters and Machinists,65,33,46258.91111111111,45558.842465277776
08/2026,3232 Metal Fitters and Machinists,75,16,46238.20780092593,45655.838275462964
08/2026,3232 Metal Fitters and Machinists,70,29,46262.20508101852,45594.892222222225
08/2026,3232 Metal Fitters and Machinists,80,4,46244.77465277778,45968.20462962963
08/2026,3232 Metal Fitters and Machinists,85,3,46256.764710648145,45918.529270833336
08/2026,3232 Metal Fitters and Machinists,55,6,46216.89320601852,45690.76480324074
08/2026,3232 Metal Fitters and Machinists,60,16,46258.802777777775,45908.205196759256
08/2026,3232 Metal Fitters and Machinists,50,3,46181.204513888886,45896.20502314815
08/2026,3232 Metal Fitters and Machinists,40,2,46108.204722222225,45873.66947916667
08/2026,3232 Metal Fitters and Machinists,45,2,46191.80354166667,45744.26325231481
08/2026,3232 Metal Fitters and Machinists,35,1,46264.213784722226,46028.204930555556
08/2026,2631 Computer Network Professionals,65,241,46266.21104166667,45545.526412037034
08/2026,2631 Computer Network Professionals,75,388,46266.21104166667,45536.508206018516
08/2026,2631 Computer Network Professionals,70,252,46267.208703703705,45535.60424768519
08/2026,2631 Computer Network Professionals,80,295,46264.213784722226,45552.05971064815
08/2026,2631 Computer Network Professionals,95,138,46265.211539351854,45598.68719907408
08/2026,2631 Computer Network Professionals,90,282,46265.211539351854,45565.808842592596
08/2026,2631 Computer Network Professionals,85,260,46265.60086805555,45542.79583333333
08/2026,2631 Computer Network Professionals,55,31,46258.205046296294,45605.8728125
08/2026,2631 Computer Network Professionals,60,61,46264.213784722226,45568.74690972222
08/2026,2631 Computer Network Professionals,50,11,46251.87195601852,45601.205983796295
08/2026,2631 Computer Network Professionals,100,76,46262.528761574074,45693.206400462965
08/2026,2631 Computer Network Professionals,105,4,46265.732719907406,46098.48473379629
08/2026,2631 Computer Network Professionals,40,1,46177.20538194444,45552.13450231482
08/2026,2631 Computer Network Professionals,45,1,46168.20662037037,45785.72972222222
08/2026,2631 Computer Network Professionals,30,1,45946.531956018516,45946.531956018516
08/2026,"2342 Chemists, and Food and Wine Scientists",65,134,46266.21104166667,45536.998032407406
08/2026,"2342 Chemists, and Food and Wine Scientists",75,163,46266.21104166667,45582.793344907404
08/2026,"2342 Chemists, and Food and Wine Scientists",70,108,46263.210752314815,45554.60346064815
08/2026,"2342 Chemists, and Food and Wine Scientists",80,118,46264.213784722226,45566.7221875
08/2026,"2342 Chemists, and Food and Wine Scientists",95,12,46244.37430555555,46030.23273148148
08/2026,"2342 Chemists, and Food and Wine Scientists",90,32,46266.21104166667,46004.2109375
08/2026,"2342 Chemists, and Food and Wine Scientists",85,81,46264.213784722226,45894.52649305556
08/2026,"2342 Chemists, and Food and Wine Scientists",55,18,46265.74668981481,45614.73166666667
08/2026,"2342 Chemists, and Food and Wine Scientists",60,29,46265.87658564815,45806.20425925926
08/2026,"2342 Chemists, and Food and Wine Scientists",50,7,46230.20935185185,45698.0544212963
08/2026,"2342 Chemists, and Food and Wine Scientists",100,1,46086.20568287037,46086.20568287037
08/2026,"2342 Chemists, and Food and Wine Scientists",45,1,46217.208969907406,46124.760833333334
08/2026,2713 Solicitors,65,55,46265.28658564815,45588.79630787037
08/2026,2713 Solicitors,75,80,46266.21104166667,45686.70650462963
08/2026,2713 Solicitors,70,60,46261.91825231481,45643.084861111114
08/2026,2713 Solicitors,80,71,46265.211539351854,45586.024050925924
08/2026,2713 Solicitors,95,3,46265.8806712963,46005.93015046296
08/2026,2713 Solicitors,90,13,46265.05327546296,45982.204976851855
08/2026,2713 Solicitors,85,42,46258.870300925926,45931.709178240744
08/2026,2713 Solicitors,55,6,46238.938726851855,45842.15572916667
08/2026,2713 Solicitors,60,16,46264.747777777775,45593.67359953704
08/2026,2713 Solicitors,50,1,46222.22326388889,45857.20523148148
08/2026,2713 Solicitors,45,1,46012.2671412037,46012.2671412037
08/2026,2331 Chemical and Materials Engineers,65,110,46267.208703703705,45540.57876157408
08/2026,2331 Chemical and Materials Engineers,75,165,46267.208703703705,45586.02605324074
08/2026,2331 Chemical and Materials Engineers,70,140,46265.211539351854,45539.59553240741
08/2026,2331 Chemical and Materials Engineers,80,154,46262.20508101852,45548.680810185186
08/2026,2331 Chemical and Materials Engineers,95,18,46267.208703703705,45890.575902777775
08/2026,2331 Chemical and Materials Engineers,90,59,46266.21104166667,45808.22398148148
08/2026,2331 Chemical and Materials Engineers,85,99,46265.211539351854,45612.52847222222
08/2026,2331 Chemical and Materials Engineers,55,17,46245.210856481484,45670.715416666666
08/2026,2331 Chemical and Materials Engineers,60,37,46262.20508101852,45569.99277777778
08/2026,2331 Chemical and Materials Engineers,50,6,46260.89388888889,45814.01540509259
08/2026,2331 Chemical and Materials Engineers,100,4,46261.20773148148,46008.86346064815
08/2026,2331 Chemical and Materials Engineers,40,1,46220.20799768518,45892.6953125
08/2026,2331 Chemical and Materials Engineers,45,1,46219.20814814815,46055.803506944445
08/2026,3123 Electrical Engineering Draftspersons and Technicians,65,47,46266.21104166667,45552.97373842593
08/2026,3123 Electrical Engineering Draftspersons and Technicians,75,48,46266.21104166667,45550.8296875
08/2026,3123 Electrical Engineering Draftspersons and Technicians,70,52,46266.21104166667,45559.70731481481
08/2026,3123 Electrical Engineering Draftspersons and Technicians,80,16,46259.20663194444,45555.90211805556
08/2026,3123 Electrical Engineering Draftspersons and Technicians,90,23,46174.20638888889,45993.540358796294
08/2026,3123 Electrical Engineering Draftspersons and Technicians,85,29,46255.576736111114,45917.3875
08/2026,3123 Electrical Engineering Draftspersons and Technicians,55,8,46264.43790509259,45674.20570601852
08/2026,3123 Electrical Engineering Draftspersons and Technicians,60,19,46242.20569444444,45686.369988425926
08/2026,3123 Electrical Engineering Draftspersons and Technicians,50,1,46220.34337962963,46220.34337962963
08/2026,3123 Electrical Engineering Draftspersons and Technicians,40,1,45974.84233796296,45974.84233796296
08/2026,2333 Electrical Engineers,65,310,46266.21104166667,45544.690300925926
08/2026,2333 Electrical Engineers,75,374,46267.208703703705,45535.18136574074
08/2026,2333 Electrical Engineers,70,378,46267.208703703705,45540.680868055555
08/2026,2333 Electrical Engineers,80,314,46267.208703703705,45537.74013888889
08/2026,2333 Electrical Engineers,95,58,46264.213784722226,45621.65866898148
08/2026,2333 Electrical Engineers,90,153,46267.208703703705,45590.571863425925
08/2026,2333 Electrical Engineers,85,258,46267.208703703705,45538.484768518516
08/2026,2333 Electrical Engineers,55,62,46262.4171875,45561.72318287037
08/2026,2333 Electrical Engineers,60,106,46265.419340277775,45550.88663194444
08/2026,2333 Electrical Engineers,50,12,46259.65723379629,45580.660625
08/2026,2333 Electrical Engineers,100,16,46265.83068287037,45754.5362962963
08/2026,2333 Electrical Engineers,105,1,45999.780752314815,45999.780752314815
08/2026,2333 Electrical Engineers,45,9,46236.209548611114,45697.79671296296
08/2026,2321 Architects and Landscape Architects,65,110,46266.21104166667,45540.470497685186
08/2026,2321 Architects and Landscape Architects,75,180,46266.21104166667,45581.595925925925
08/2026,2321 Architects and Landscape Architects,70,150,46267.208703703705,45541.47493055555
08/2026,2321 Architects and Landscape Architects,80,122,46267.208703703705,45586.73988425926
08/2026,2321 Architects and Landscape Architects,95,2,46238.20780092593,46055.627534722225
08/2026,2321 Architects and Landscape Architects,90,21,46252.472719907404,46009.83159722222
08/2026,2321 Architects and Landscape Architects,85,103,46265.0180787037,45925.66947916667
08/2026,2321 Architects and Landscape Architects,55,9,46252.783113425925,45707.80295138889
08/2026,2321 Architects and Landscape Architects,60,33,46252.205925925926,45537.25188657407
08/2026,2531 General Practitioners and Resident Medical officers,65,39,46261.20773148148,45569.20505787037
08/2026,2531 General Practitioners and Resident Medical officers,75,96,46265.53834490741,45762.645532407405
08/2026,2531 General Practitioners and Resident Medical officers,70,68,46265.35376157407,45587.20599537037
08/2026,2531 General Practitioners and Resident Medical officers,80,65,46266.21104166667,45975.206030092595
08/2026,2531 General Practitioners and Resident Medical officers,95,1,46138.20998842592,46138.20998842592
08/2026,2531 General Practitioners and Resident Medical officers,90,9,46250.20707175926,46006.56627314815
08/2026,2531 General Practitioners and Resident Medical officers,85,29,46265.8403125,45980.20628472222
08/2026,2531 General Practitioners and Resident Medical officers,55,5,46260.20512731482,45895.205092592594
08/2026,2531 General Practitioners and Resident Medical officers,60,9,46247.20653935185,45680.260613425926
08/2026,2531 General Practitioners and Resident Medical officers,50,3,46267.208703703705,45636.76997685185
08/2026,2247 Management and Organisation Analysts,65,38,46265.82938657407,45553.65862268519
08/2026,2247 Management and Organisation Analysts,75,77,46267.208703703705,45542.14837962963
08/2026,2247 Management and Organisation Analysts,70,50,46265.84465277778,45642.9187962963
08/2026,2247 Management and Organisation Analysts,80,49,46265.985243055555,45649.20525462963
08/2026,2247 Management and Organisation Analysts,95,5,46259.89802083333,46177.02307870371
08/2026,2247 Management and Organisation Analysts,90,23,46265.84125,45995.72767361111
08/2026,2247 Management and Organisation Analysts,85,40,46263.70885416667,45951.20533564815
08/2026,2247 Management and Organisation Analysts,55,2,46265.211539351854,45986.05752314815
08/2026,2247 Management and Organisation Analysts,60,13,46256.288831018515,45776.058599537035
08/2026,2247 Management and Organisation Analysts,50,2,46209.207141203704,45851.953206018516
08/2026,2247 Management and Organisation Analysts,45,1,46223.20545138889,46075.12070601852
08/2026,2347 Veterinarians,65,11,46258.205046296294,45654.21298611111
08/2026,2347 Veterinarians,75,26,46267.208703703705,45612.855405092596
08/2026,2347 Veterinarians,70,8,46239.61189814815,46009.6587037037
08/2026,2347 Veterinarians,80,9,46265.768541666665,45820.20434027778
08/2026,2347 Veterinarians,95,1,46206.98304398148,46206.98304398148
08/2026,2347 Veterinarians,90,9,46251.90914351852,46002.77005787037
