Visa,OccGroup,State,n
190SAS Skilled Australian Sponsored,2611 ICT Business and Systems Analysts,SA,2653
190SAS Skilled Australian Sponsored,2611 ICT Business and Systems Analysts,WA,3746
190SAS Skilled Australian Sponsored,2611 ICT Business and Systems Analysts,ACT,1597
190SAS Skilled Australian Sponsored,2611 ICT Business and Systems Analysts,TAS,906
190SAS Skilled Australian Sponsored,2611 ICT Business and Systems Analysts,NT,857
190SAS Skilled Australian Sponsored,2211 Accountants,VIC,2758
190SAS Skilled Australian Sponsored,2211 Accountants,ANY,1769
190SAS Skilled Australian Sponsored,2211 Accountants,NSW,2642
190SAS Skilled Australian Sponsored,2211 Accountants,QLD,1069
190SAS Skilled Australian Sponsored,2211 Accountants,SA,1350
190SAS Skilled Australian Sponsored,2211 Accountants,WA,4468
190SAS Skilled Australian Sponsored,2211 Accountants,ACT,1005
190SAS Skilled Australian Sponsored,2211 Accountants,TAS,910
190SAS Skilled Australian Sponsored,2211 Accountants,NT,708
190SAS Skilled Australian Sponsored,2344 Geologists Geophysicists and Hydrogeologists,VIC,131
190SAS Skilled Australian Sponsored,2344 Geologists Geophysicists and Hydrogeologists,ANY,80
190SAS Skilled Australian Sponsored,2344 Geologists Geophysicists and Hydrogeologists,NSW,176
190SAS Skilled Australian Sponsored,2344 Geologists Geophysicists and Hydrogeologists,QLD,176
190SAS Skilled Australian Sponsored,2344 Geologists Geophysicists and Hydrogeologists,SA,164
190SAS Skilled Australian Sponsored,2344 Geologists Geophysicists and Hydrogeologists,WA,266
190SAS Skilled Australian Sponsored,2344 Geologists Geophysicists and Hydrogeologists,ACT,47
190SAS Skilled Australian Sponsored,2344 Geologists Geophysicists and Hydrogeologists,TAS,59
190SAS Skilled Australian Sponsored,2344 Geologists Geophysicists and Hydrogeologists,NT,69
190SAS Skilled Australian Sponsored,"2621 Database and Systems Administrators, and ICT Security Specialists",VIC,1497
190SAS Skilled Australian Sponsored,"2621 Database and Systems Administrators, and ICT Security Specialists",ANY,544
190SAS Skilled Australian Sponsored,"2621 Database and Systems Administrators, and ICT Security Specialists",NSW,2302
190SAS Skilled Australian Sponsored,"2621 Database and Systems Administrators, and ICT Security Specialists",QLD,704
190SAS Skilled Australian Sponsored,"2621 Database and Systems Administrators, and ICT Security Specialists",SA,948
190SAS Skilled Australian Sponsored,"2621 Database and Systems Administrators, and ICT Security Specialists",WA,1562
190SAS Skilled Australian Sponsored,"2621 Database and Systems Administrators, and ICT Security Specialists",ACT,645
190SAS Skilled Australian Sponsored,"2621 Database and Systems Administrators, and ICT Security Specialists",TAS,350
190SAS Skilled Australian Sponsored,"2621 Database and Systems Administrators, and ICT Security Specialists",NT,313
190SAS Skilled Australian Sponsored,4117 Welfare Support Workers,VIC,438
190SAS Skilled Australian Sponsored,4117 Welfare Support Workers,ANY,168
190SAS Skilled Australian Sponsored,4117 Welfare Support Workers,NSW,1102
190SAS Skilled Australian Sponsored,4117 Welfare Support Workers,QLD,122
190SAS Skilled Australian Sponsored,4117 Welfare Support Workers,SA,267
190SAS Skilled Australian Sponsored,4117 Welfare Support Workers,WA,1349
190SAS Skilled Australian Sponsored,4117 Welfare Support Workers,ACT,95
190SAS Skilled Australian Sponsored,4117 Welfare Support Workers,TAS,126
190SAS Skilled Australian Sponsored,4117 Welfare Support Workers,NT,110
190SAS Skilled Australian Sponsored,"2212 Auditors, Company Secretaries and Corporate Treasurers",VIC,1247
190SAS Skilled Australian Sponsored,"2212 Auditors, Company Secretaries and Corporate Treasurers",ANY,488
190SAS Skilled Australian Sponsored,"2212 Auditors, Company Secretaries and Corporate Treasurers",NSW,1256
190SAS Skilled Australian Sponsored,"2212 Auditors, Company Secretaries and Corporate Treasurers",QLD,442
190SAS Skilled Australian Sponsored,"2212 Auditors, Company Secretaries and Corporate Treasurers",SA,794
190SAS Skilled Australian Sponsored,"2212 Auditors, Company Secretaries and Corporate Treasurers",WA,1176
190SAS Skilled Australian Sponsored,"2212 Auditors, Company Secretaries and Corporate Treasurers",ACT,527
190SAS Skilled Australian Sponsored,"2212 Auditors, Company Secretaries and Corporate Treasurers",TAS,322
190SAS Skilled Australian Sponsored,"2212 Auditors, Company Secretaries and Corporate Treasurers",NT,291
190SAS Skilled Australian Sponsored,2345 Life Scientists,VIC,685
190SAS Skilled Australian Sponsored,2345 Life Scientists,ANY,207
190SAS Skilled Australian Sponsored,2345 Life Scientists,NSW,445
190SAS Skilled Australian Sponsored,2345 Life Scientists,QLD,346
190SAS Skilled Australian Sponsored,2345 Life Scientists,SA,482
190SAS Skilled Australian Sponsored,2345 Life Scientists,WA,353
190SAS Skilled Australian Sponsored,2345 Life Scientists,ACT,261
190SAS Skilled Australian Sponsored,2345 Life Scientists,TAS,167
190SAS Skilled Australian Sponsored,2345 Life Scientists,NT,130
190SAS Skilled Australian Sponsored,"2335 Industrial, Mechanical and Production Engineers",VIC,3767
190SAS Skilled Australian Sponsored,"2335 Industrial, Mechanical and Production Engineers",ANY,1356
190SAS Skilled Australian Sponsored,"2335 Industrial, Mechanical and Production Engineers",NSW,4103
190SAS Skilled Australian Sponsored,"2335 Industrial, Mechanical and Production Engineers",QLD,2942
190SAS Skilled Australian Sponsored,"2335 Industrial, Mechanical and Production Engineers",SA,2833
190SAS Skilled Australian Sponsored,"2335 Industrial, Mechanical and Production Engineers",WA,3847
190SAS Skilled Australian Sponsored,"2335 Industrial, Mechanical and Production Engineers",ACT,1655
190SAS Skilled Australian Sponsored,"2335 Industrial, Mechanical and Production Engineers",TAS,1236
190SAS Skilled Australian Sponsored,"2335 Industrial, Mechanical and Production Engineers",NT,1083
190SAS Skilled Australian Sponsored,2339 Other Engineering Professionals,VIC,3401
190SAS Skilled Australian Sponsored,2339 Other Engineering Professionals,ANY,1184
190SAS Skilled Australian Sponsored,2339 Other Engineering Professionals,NSW,3918
190SAS Skilled Australian Sponsored,2339 Other Engineering Professionals,QLD,1690
190SAS Skilled Australian Sponsored,2339 Other Engineering Professionals,SA,2148
190SAS Skilled Australian Sponsored,2339 Other Engineering Professionals,WA,2780
190SAS Skilled Australian Sponsored,2339 Other Engineering Professionals,ACT,1178
190SAS Skilled Australian Sponsored,2339 Other Engineering Professionals,TAS,919
190SAS Skilled Australian Sponsored,2339 Other Engineering Professionals,NT,746
190SAS Skilled Australian Sponsored,2341 Agricultural and Forestry Scientists,VIC,503
190SAS Skilled Australian Sponsored,2341 Agricultural and Forestry Scientists,ANY,172
190SAS Skilled Australian Sponsored,2341 Agricultural and Forestry Scientists,NSW,560
190SAS Skilled Australian Sponsored,2341 Agricultural and Forestry Scientists,QLD,280
190SAS Skilled Australian Sponsored,2341 Agricultural and Forestry Scientists,SA,412
190SAS Skilled Australian Sponsored,2341 Agricultural and Forestry Scientists,WA,437
190SAS Skilled Australian Sponsored,2341 Agricultural and Forestry Scientists,ACT,123
190SAS Skilled Australian Sponsored,2341 Agricultural and Forestry Scientists,TAS,170
190SAS Skilled Australian Sponsored,2341 Agricultural and Forestry Scientists,NT,134
190SAS Skilled Australian Sponsored,2544 Registered Nurses,VIC,5591
190SAS Skilled Australian Sponsored,2544 Registered Nurses,ANY,1428
190SAS Skilled Australian Sponsored,2544 Registered Nurses,NSW,7014
190SAS Skilled Australian Sponsored,2544 Registered Nurses,QLD,4255
190SAS Skilled Australian Sponsored,2544 Registered Nurses,SA,3432
190SAS Skilled Australian Sponsored,2544 Registered Nurses,WA,3892
190SAS Skilled Australian Sponsored,2544 Registered Nurses,ACT,2217
190SAS Skilled Australian Sponsored,2544 Registered Nurses,TAS,1924
190SAS Skilled Australian Sponsored,2544 Registered Nurses,NT,1558
190SAS Skilled Australian Sponsored,3513 Chefs,VIC,2774
190SAS Skilled Australian Sponsored,3513 Chefs,ANY,1057
190SAS Skilled Australian Sponsored,3513 Chefs,NSW,1475
190SAS Skilled Australian Sponsored,3513 Chefs,QLD,1040
190SAS Skilled Australian Sponsored,3513 Chefs,SA,1570
190SAS Skilled Australian Sponsored,3513 Chefs,WA,5192
190SAS Skilled Australian Sponsored,3513 Chefs,ACT,453
190SAS Skilled Australian Sponsored,3513 Chefs,TAS,851
190SAS Skilled Australian Sponsored,3513 Chefs,NT,405
190SAS Skilled Australian Sponsored,3513 Chefs,-,1
190SAS Skilled Australian Sponsored,2334 Electronics Engineers,VIC,1074
190SAS Skilled Australian Sponsored,2334 Electronics Engineers,ANY,403
190SAS Skilled Australian Sponsored,2334 Electronics Engineers,NSW,1176
190SAS Skilled Australian Sponsored,2334 Electronics Engineers,QLD,737
190SAS Skilled Australian Sponsored,2334 Electronics Engineers,SA,901
190SAS Skilled Australian Sponsored,2334 Electronics Engineers,WA,1038
190SAS Skilled Australian Sponsored,2334 Electronics Engineers,ACT,486
190SAS Skilled Australian Sponsored,2334 Electronics Engineers,TAS,337
190SAS Skilled Australian Sponsored,2334 Electronics Engineers,NT,314
190SAS Skilled Australian Sponsored,3232 Metal Fitters and Machinists,VIC,164
190SAS Skilled Australian Sponsored,3232 Metal Fitters and Machinists,ANY,98
190SAS Skilled Australian Sponsored,3232 Metal Fitters and Machinists,NSW,181
190SAS Skilled Australian Sponsored,3232 Metal Fitters and Machinists,QLD,178
190SAS Skilled Australian Sponsored,3232 Metal Fitters and Machinists,SA,184
190SAS Skilled Australian Sponsored,3232 Metal Fitters and Machinists,WA,231
190SAS Skilled Australian Sponsored,3232 Metal Fitters and Machinists,ACT,67
190SAS Skilled Australian Sponsored,3232 Metal Fitters and Machinists,TAS,71
190SAS Skilled Australian Sponsored,3232 Metal Fitters and Machinists,NT,80
190SAS Skilled Australian Sponsored,3114 Science Technicians,VIC,245
190SAS Skilled Australian Sponsored,3114 Science Technicians,ANY,88
190SAS Skilled Australian Sponsored,3114 Science Technicians,NSW,140
190SAS Skilled Australian Sponsored,3114 Science Technicians,QLD,82
190SAS Skilled Australian Sponsored,3114 Science Technicians,SA,214
190SAS Skilled Australian Sponsored,3114 Science Technicians,WA,158
190SAS Skilled Australian Sponsored,3114 Science Technicians,ACT,112
190SAS Skilled Australian Sponsored,3114 Science Technicians,TAS,68
190SAS Skilled Australian Sponsored,3114 Science Technicians,NT,46
190SAS Skilled Australian Sponsored,3622 Gardeners,VIC,11
190SAS Skilled Australian Sponsored,3622 Gardeners,ANY,4
190SAS Skilled Australian Sponsored,3622 Gardeners,NSW,9
190SAS Skilled Australian Sponsored,3622 Gardeners,QLD,4
190SAS Skilled Australian Sponsored,3622 Gardeners,SA,16
190SAS Skilled Australian Sponsored,3622 Gardeners,WA,10
190SAS Skilled Australian Sponsored,3622 Gardeners,ACT,2
190SAS Skilled Australian Sponsored,3622 Gardeners,TAS,5
190SAS Skilled Australian Sponsored,3622 Gardeners,NT,1
190SAS Skilled Australian Sponsored,"2324 Graphic and Web Designers, and Illustrators",VIC,474
190SAS Skilled Australian Sponsored,"2324 Graphic and Web Designers, and Illustrators",ANY,90
190SAS Skilled Australian Sponsored,"2324 Graphic and Web Designers, and Illustrators",NSW,311
190SAS Skilled Australian Sponsored,"2324 Graphic and Web Designers, and Illustrators",QLD,155
190SAS Skilled Australian Sponsored,"2324 Graphic and Web Designers, and Illustrators",SA,454
190SAS Skilled Australian Sponsored,"2324 Graphic and Web Designers, and Illustrators",WA,135
190SAS Skilled Australian Sponsored,"2324 Graphic and Web Designers, and Illustrators",ACT,208
190SAS Skilled Australian Sponsored,"2324 Graphic and Web Designers, and Illustrators",TAS,101
190SAS Skilled Australian Sponsored,"2324 Graphic and Web Designers, and Illustrators",NT,107
190SAS Skilled Australian Sponsored,2631 Computer Network Professionals,VIC,1560
190SAS Skilled Australian Sponsored,2631 Computer Network Professionals,ANY,587
190SAS Skilled Australian Sponsored,2631 Computer Network Professionals,NSW,2586
190SAS Skilled Australian Sponsored,2631 Computer Network Professionals,QLD,547
190SAS Skilled Australian Sponsored,2631 Computer Network Professionals,SA,1016
190SAS Skilled Australian Sponsored,2631 Computer Network Professionals,WA,1637
190SAS Skilled Australian Sponsored,2631 Computer Network Professionals,ACT,642
190SAS Skilled Australian Sponsored,2631 Computer Network Professionals,TAS,358
190SAS Skilled Australian Sponsored,2631 Computer Network Professionals,NT,348
190SAS Skilled Australian Sponsored,4116 Massage Therapists,VIC,18
190SAS Skilled Australian Sponsored,4116 Massage Therapists,ANY,9
190SAS Skilled Australian Sponsored,4116 Massage Therapists,NSW,13
190SAS Skilled Australian Sponsored,4116 Massage Therapists,QLD,25
190SAS Skilled Australian Sponsored,4116 Massage Therapists,SA,15
190SAS Skilled Australian Sponsored,4116 Massage Therapists,WA,6
190SAS Skilled Australian Sponsored,4116 Massage Therapists,ACT,6
190SAS Skilled Australian Sponsored,4116 Massage Therapists,TAS,17
190SAS Skilled Australian Sponsored,4116 Massage Therapists,NT,6
190SAS Skilled Australian Sponsored,"2342 Chemists, and Food and Wine Scientists",VIC,674
190SAS Skilled Australian Sponsored,"2342 Chemists, and Food and Wine Scientists",ANY,193
190SAS Skilled Australian Sponsored,"2342 Chemists, and Food and Wine Scientists",NSW,755
190SAS Skilled Australian Sponsored,"2342 Chemists, and Food and Wine Scientists",QLD,292
190SAS Skilled Australian Sponsored,"2342 Chemists, and Food and Wine Scientists",SA,550
190SAS Skilled Australian Sponsored,"2342 Chemists, and Food and Wine Scientists",WA,441
190SAS Skilled Australian Sponsored,"2342 Chemists, and Food and Wine Scientists",ACT,180
190SAS Skilled Australian Sponsored,"2342 Chemists, and Food and Wine Scientists",TAS,178
190SAS Skilled Australian Sponsored,"2342 Chemists, and Food and Wine Scientists",NT,136
190SAS Skilled Australian Sponsored,2713 Solicitors,VIC,236
190SAS Skilled Australian Sponsored,2713 Solicitors,ANY,82
190SAS Skilled Australian Sponsored,2713 Solicitors,NSW,169
190SAS Skilled Australian Sponsored,2713 Solicitors,QLD,86
190SAS Skilled Australian Sponsored,2713 Solicitors,SA,53
190SAS Skilled Australian Sponsored,2713 Solicitors,WA,83
190SAS Skilled Australian Sponsored,2713 Solicitors,ACT,51
190SAS Skilled Australian Sponsored,2713 Solicitors,TAS,28
190SAS Skilled Australian Sponsored,2713 Solicitors,NT,19
190SAS Skilled Australian Sponsored,1311 Advertising and Sales Managers,VIC,279
190SAS Skilled Australian Sponsored,1311 Advertising and Sales Managers,ANY,74
190SAS Skilled Australian Sponsored,1311 Advertising and Sales Managers,NSW,189
190SAS Skilled Australian Sponsored,1311 Advertising and Sales Managers,QLD,110
190SAS Skilled Australian Sponsored,1311 Advertising and Sales Managers,SA,265
190SAS Skilled Australian Sponsored,1311 Advertising and Sales Managers,WA,221
190SAS Skilled Australian Sponsored,1311 Advertising and Sales Managers,ACT,154
190SAS Skilled Australian Sponsored,1311 Advertising and Sales Managers,TAS,92
190SAS Skilled Australian Sponsored,1311 Advertising and Sales Managers,NT,90
190SAS Skilled Australian Sponsored,1322 Finance Managers,VIC,259
190SAS Skilled Australian Sponsored,1322 Finance Managers,ANY,133
190SAS Skilled Australian Sponsored,1322 Finance Managers,NSW,350
190SAS Skilled Australian Sponsored,1322 Finance Managers,QLD,110
190SAS Skilled Australian Sponsored,1322 Finance Managers,SA,308
190SAS Skilled Australian Sponsored,1322 Finance Managers,WA,607
190SAS Skilled Australian Sponsored,1322 Finance Managers,ACT,148
190SAS Skilled Australian Sponsored,1322 Finance Managers,TAS,94
190SAS Skilled Australian Sponsored,1322 Finance Managers,NT,106
190SAS Skilled Australian Sponsored,"3121 Architectural, Building and Surveying Technicians",VIC,581
190SAS Skilled Australian Sponsored,"3121 Architectural, Building and Surveying Technicians",ANY,139
190SAS Skilled Australian Sponsored,"3121 Architectural, Building and Surveying Technicians",NSW,682
190SAS Skilled Australian Sponsored,"3121 Architectural, Building and Surveying Technicians",QLD,486
190SAS Skilled Australian Sponsored,"3121 Architectural, Building and Surveying Technicians",SA,540
190SAS Skilled Australian Sponsored,"3121 Architectural, Building and Surveying Technicians",WA,857
190SAS Skilled Australian Sponsored,"3121 Architectural, Building and Surveying Technicians",ACT,301
190SAS Skilled Australian Sponsored,"3121 Architectural, Building and Surveying Technicians",TAS,176
190SAS Skilled Australian Sponsored,"3121 Architectural, Building and Surveying Technicians",NT,171
190SAS Skilled Australian Sponsored,2331 Chemical and Materials Engineers,VIC,718
190SAS Skilled Australian Sponsored,2331 Chemical and Materials Engineers,ANY,302
190SAS Skilled Australian Sponsored,2331 Chemical and Materials Engineers,NSW,828
190SAS Skilled Australian Sponsored,2331 Chemical and Materials Engineers,QLD,596
190SAS Skilled Australian Sponsored,2331 Chemical and Materials Engineers,SA,547
190SAS Skilled Australian Sponsored,2331 Chemical and Materials Engineers,WA,770
190SAS Skilled Australian Sponsored,2331 Chemical and Materials Engineers,ACT,256
190SAS Skilled Australian Sponsored,2331 Chemical and Materials Engineers,TAS,240
190SAS Skilled Australian Sponsored,2331 Chemical and Materials Engineers,NT,229
190SAS Skilled Australian Sponsored,2251 Advertising and Marketing Professionals,VIC,2064
190SAS Skilled Australian Sponsored,2251 Advertising and Marketing Professionals,ANY,400
190SAS Skilled Australian Sponsored,2251 Advertising and Marketing Professionals,NSW,1293
190SAS Skilled Australian Sponsored,2251 Advertising and Marketing Professionals,QLD,674
190SAS Skilled Australian Sponsored,2251 Advertising and Marketing Professionals,SA,1735
190SAS Skilled Australian Sponsored,2251 Advertising and Marketing Professionals,WA,695
190SAS Skilled Australian Sponsored,2251 Advertising and Marketing Professionals,ACT,942
190SAS Skilled Australian Sponsored,2251 Advertising and Marketing Professionals,TAS,504
190SAS Skilled Australian Sponsored,2251 Advertising and Marketing Professionals,NT,473
190SAS Skilled Australian Sponsored,2254 Technical Sales Representatives,VIC,55
190SAS Skilled Australian Sponsored,2254 Technical Sales Representatives,ANY,21
190SAS Skilled Australian Sponsored,2254 Technical Sales Representatives,NSW,33
190SAS Skilled Australian Sponsored,2254 Technical Sales Representatives,QLD,19
190SAS Skilled Australian Sponsored,2254 Technical Sales Representatives,SA,45
190SAS Skilled Australian Sponsored,2254 Technical Sales Representatives,WA,20
190SAS Skilled Australian Sponsored,2254 Technical Sales Representatives,ACT,14
190SAS Skilled Australian Sponsored,2254 Technical Sales Representatives,TAS,14
190SAS Skilled Australian Sponsored,2254 Technical Sales Representatives,NT,12
190SAS Skilled Australian Sponsored,3123 Electrical Engineering Draftspersons and Technicians,VIC,155
190SAS Skilled Australian Sponsored,3123 Electrical Engineering Draftspersons and Technicians,ANY,43
190SAS Skilled Australian Sponsored,3123 Electrical Engineering Draftspersons and Technicians,NSW,215
190SAS Skilled Australian Sponsored,3123 Electrical Engineering Draftspersons and Technicians,QLD,179
190SAS Skilled Australian Sponsored,3123 Electrical Engineering Draftspersons and Technicians,SA,200
190SAS Skilled Australian Sponsored,3123 Electrical Engineering Draftspersons and Technicians,WA,172
190SAS Skilled Australian Sponsored,3123 Electrical Engineering Draftspersons and Technicians,ACT,66
190SAS Skilled Australian Sponsored,3123 Electrical Engineering Draftspersons and Technicians,TAS,56
190SAS Skilled Australian Sponsored,3123 Electrical Engineering Draftspersons and Technicians,NT,54
190SAS Skilled Australian Sponsored,2231 Human Resource Professionals,VIC,387
190SAS Skilled Australian Sponsored,2231 Human Resource Professionals,ANY,70
190SAS Skilled Australian Sponsored,2231 Human Resource Professionals,NSW,276
190SAS Skilled Australian Sponsored,2231 Human Resource Professionals,QLD,145
190SAS Skilled Australian Sponsored,2231 Human Resource Professionals,SA,371
190SAS Skilled Australian Sponsored,2231 Human Resource Professionals,WA,177
190SAS Skilled Australian Sponsored,2231 Human Resource Professionals,ACT,241
190SAS Skilled Australian Sponsored,2231 Human Resource Professionals,TAS,104
190SAS Skilled Australian Sponsored,2231 Human Resource Professionals,NT,98
190SAS Skilled Australian Sponsored,6392 Retail and Wool Buyers,VIC,39
190SAS Skilled Australian Sponsored,6392 Retail and Wool Buyers,ANY,17
190SAS Skilled Australian Sponsored,6392 Retail and Wool Buyers,NSW,25
190SAS Skilled Australian Sponsored,6392 Retail and Wool Buyers,QLD,9
190SAS Skilled Australian Sponsored,6392 Retail and Wool Buyers,SA,14
190SAS Skilled Australian Sponsored,6392 Retail and Wool Buyers,WA,9
190SAS Skilled Australian Sponsored,6392 Retail and Wool Buyers,ACT,10
190SAS Skilled Australian Sponsored,6392 Retail and Wool Buyers,TAS,4
190SAS Skilled Australian Sponsored,6392 Retail and Wool Buyers,NT,4
190SAS Skilled Australian Sponsored,3514 Cooks,VIC,298
190SAS Skilled Australian Sponsored,3514 Cooks,ANY,172
190SAS Skilled Australian Sponsored,3514 Cooks,NSW,329
190SAS Skilled Australian Sponsored,3514 Cooks,QLD,162
190SAS Skilled Australian Sponsored,3514 Cooks,SA,163
190SAS Skilled Australian Sponsored,3514 Cooks,WA,2716
190SAS Skilled Australian Sponsored,3514 Cooks,ACT,114
190SAS Skilled Australian Sponsored,3514 Cooks,TAS,174
190SAS Skilled Australian Sponsored,3514 Cooks,NT,132
190SAS Skilled Australian Sponsored,2333 Electrical Engineers,VIC,1623
190SAS Skilled Australian Sponsored,2333 Electrical Engineers,ANY,675
190SAS Skilled Australian Sponsored,2333 Electrical Engineers,NSW,1904
190SAS Skilled Australian Sponsored,2333 Electrical Engineers,QLD,1184
190SAS Skilled Australian Sponsored,2333 Electrical Engineers,SA,1141
190SAS Skilled Australian Sponsored,2333 Electrical Engineers,WA,1831
190SAS Skilled Australian Sponsored,2333 Electrical Engineers,ACT,657
190SAS Skilled Australian Sponsored,2333 Electrical Engineers,TAS,565
190SAS Skilled Australian Sponsored,2333 Electrical Engineers,NT,533
190SAS Skilled Australian Sponsored,2223 Financial Investment Advisers and Managers,VIC,446
190SAS Skilled Australian Sponsored,2223 Financial Investment Advisers and Managers,ANY,84
190SAS Skilled Australian Sponsored,2223 Financial Investment Advisers and Managers,NSW,258
190SAS Skilled Australian Sponsored,2223 Financial Investment Advisers and Managers,QLD,129
190SAS Skilled Australian Sponsored,2223 Financial Investment Advisers and Managers,SA,395
190SAS Skilled Australian Sponsored,2223 Financial Investment Advisers and Managers,WA,177
190SAS Skilled Australian Sponsored,2223 Financial Investment Advisers and Managers,ACT,244
190SAS Skilled Australian Sponsored,2223 Financial Investment Advisers and Managers,TAS,99
190SAS Skilled Australian Sponsored,2223 Financial Investment Advisers and Managers,NT,146
190SAS Skilled Australian Sponsored,2321 Architects and Landscape Architects,VIC,605
190SAS Skilled Australian Sponsored,2321 Architects and Landscape Architects,ANY,104
190SAS Skilled Australian Sponsored,2321 Architects and Landscape Architects,NSW,596
190SAS Skilled Australian Sponsored,2321 Architects and Landscape Architects,QLD,184
190SAS Skilled Australian Sponsored,2321 Architects and Landscape Architects,SA,247
190SAS Skilled Australian Sponsored,2321 Architects and Landscape Architects,WA,467
190SAS Skilled Australian Sponsored,2321 Architects and Landscape Architects,ACT,109
190SAS Skilled Australian Sponsored,2321 Architects and Landscape Architects,TAS,59
190SAS Skilled Australian Sponsored,2321 Architects and Landscape Architects,NT,39
190SAS Skilled Australian Sponsored,3112 Medical Technicians,VIC,924
190SAS Skilled Australian Sponsored,3112 Medical Technicians,ANY,364
190SAS Skilled Australian Sponsored,3112 Medical Technicians,NSW,1205
190SAS Skilled Australian Sponsored,3112 Medical Technicians,QLD,518
190SAS Skilled Australian Sponsored,3112 Medical Technicians,SA,930
190SAS Skilled Australian Sponsored,3112 Medical Technicians,WA,983
190SAS Skilled Australian Sponsored,3112 Medical Technicians,ACT,556
190SAS Skilled Australian Sponsored,3112 Medical Technicians,TAS,412
190SAS Skilled Australian Sponsored,3112 Medical Technicians,NT,381
190SAS Skilled Australian Sponsored,2531 General Practitioners and Resident Medical officers,VIC,332
190SAS Skilled Australian Sponsored,2531 General Practitioners and Resident Medical officers,ANY,89
190SAS Skilled Australian Sponsored,2531 General Practitioners and Resident Medical officers,NSW,318
190SAS Skilled Australian Sponsored,2531 General Practitioners and Resident Medical officers,QLD,396
190SAS Skilled Australian Sponsored,2531 General Practitioners and Resident Medical officers,SA,80
190SAS Skilled Australian Sponsored,2531 General Practitioners and Resident Medical officers,WA,276
190SAS Skilled Australian Sponsored,2531 General Practitioners and Resident Medical officers,ACT,37
190SAS Skilled Australian Sponsored,2531 General Practitioners and Resident Medical officers,TAS,45
190SAS Skilled Australian Sponsored,2531 General Practitioners and Resident Medical officers,NT,28
190SAS Skilled Australian Sponsored,1323 Human Resource Managers,VIC,143
190SAS Skilled Australian Sponsored,1323 Human Resource Managers,ANY,50
190SAS Skilled Australian Sponsored,1323 Human Resource Managers,NSW,107
190SAS Skilled Australian Sponsored,1323 Human Resource Managers,QLD,59
190SAS Skilled Australian Sponsored,1323 Human Resource Managers,SA,170
