Score,SubMonth,n
105,2026-06,388
105,2026-05,488
105,2026-04,586
105,2024-08,10
105,2024-09,625
105,2024-10,537
105,2024-11,480
105,2024-12,463
105,2025-01,461
105,2025-02,512
105,2025-03,614
105,2025-04,468
105,2025-05,631
105,2025-06,461
105,2025-07,604
105,2025-08,635
105,2025-09,693
105,2025-10,695
105,2025-11,728
105,2025-12,440
105,2026-01,570
105,2026-02,504
105,2026-03,608
40,2026-07,1
40,2026-05,2
40,2024-10,1
40,2024-11,2
40,2024-12,1
40,2025-02,1
40,2025-03,1
40,2025-04,1
40,2025-10,1
40,2025-12,1
40,2026-01,3
40,2026-02,1
45,2026-07,5
45,2026-06,1
45,2026-05,2
45,2026-04,5
45,2024-09,3
45,2024-10,1
45,2024-11,2
45,2024-12,6
45,2025-01,1
45,2025-03,3
45,2025-04,2
45,2025-05,1
45,2025-07,2
45,2025-08,4
45,2025-09,4
45,2025-10,3
45,2025-11,5
45,2025-12,2
45,2026-01,1
25,2025-01,2
120,2026-07,3
120,2026-08,10
120,2026-06,5
120,2026-05,1
120,2026-04,4
120,2024-09,10
120,2024-10,2
120,2024-11,9
120,2024-12,4
120,2025-01,3
120,2025-02,2
120,2025-03,8
120,2025-04,1
120,2025-05,2
120,2025-06,1
120,2025-07,3
120,2025-08,7
120,2025-09,7
120,2025-10,7
120,2026-01,3
120,2026-02,1
120,2026-03,7
115,2026-07,43
115,2026-08,61
115,2026-06,37
115,2026-05,52
115,2026-04,78
115,2024-08,1
115,2024-09,40
115,2024-10,45
115,2024-11,47
115,2024-12,17
115,2025-01,40
115,2025-02,25
115,2025-03,46
115,2025-04,32
115,2025-05,31
115,2025-06,24
115,2025-07,35
115,2025-08,48
115,2025-09,46
115,2025-10,73
115,2025-11,74
115,2025-12,47
115,2026-01,75
115,2026-02,34
115,2026-03,56
125,2026-06,1
125,2026-04,2
125,2024-09,1
125,2024-10,1
125,2025-03,1
125,2025-11,6
125,2026-02,21
35,2026-08,1
35,2025-04,1
35,2025-07,1
130,2024-10,1
135,2024-10,2
135,2025-04,2
140,2026-07,1
140,2026-06,1
140,2024-12,1
