AsAt,Score,n
11/2024,40,26
11/2024,45,112
11/2024,30,3
11/2024,25,1
11/2024,35,6
10/2024,65,7046
10/2024,75,6850
10/2024,70,7338
10/2024,80,5159
10/2024,95,682
10/2024,90,2088
10/2024,85,3614
10/2024,55,994
10/2024,60,1942
10/2024,50,370
10/2024,110,4
10/2024,100,108
10/2024,105,12
10/2024,40,22
10/2024,45,78
10/2024,30,1
10/2024,115,3
10/2024,35,2
09/2024,65,4321
09/2024,75,4103
09/2024,70,4484
09/2024,80,3053
09/2024,95,364
09/2024,90,1127
09/2024,85,2022
09/2024,55,625
09/2024,60,1252
09/2024,50,215
09/2024,110,3
09/2024,100,51
09/2024,105,5
09/2024,40,13
09/2024,45,43
09/2024,30,1
09/2024,35,1
-,65,41805
-,75,50561
-,70,49569
-,80,42405
-,95,7993
-,90,19757
-,85,32596
-,55,7722
-,60,16523
-,50,3327
-,110,53
-,100,2381
-,105,350
-,40,411
-,45,1146
-,30,69
-,25,30
-,120,3
-,115,25
-,125,2
-,35,170
-,130,1
-,20,11
-,15,1
