StatusMonth,OccGroup,Score,n
2024-09,2343 Environmental Scientists,100,2
2024-09,2343 Environmental Scientists,105,1
2024-09,3312 Carpenters and Joiners,65,113
2024-09,3312 Carpenters and Joiners,75,44
2024-09,3312 Carpenters and Joiners,70,66
2024-09,3312 Carpenters and Joiners,80,21
2024-09,3312 Carpenters and Joiners,85,4
2024-09,2725 Social Workers,75,3
2024-09,2725 Social Workers,80,52
2024-09,2725 Social Workers,90,1
2024-09,2725 Social Workers,85,26
2024-09,2725 Social Workers,100,1
2024-09,3322 Painting Trades Workers,65,97
2024-09,3322 Painting Trades Workers,75,34
2024-09,3322 Painting Trades Workers,70,64
2024-09,3322 Painting Trades Workers,80,15
2024-09,3322 Painting Trades Workers,90,2
2024-09,3322 Painting Trades Workers,85,2
2024-09,2521 Chiropractors and Osteopaths,80,3
2024-09,3941 Cabinetmakers,65,7
2024-09,3941 Cabinetmakers,75,3
2024-09,3941 Cabinetmakers,70,4
2024-09,3941 Cabinetmakers,80,2
2024-09,3941 Cabinetmakers,85,3
2024-09,2243 Economists,95,2
2024-09,2243 Economists,90,1
2024-09,2243 Economists,100,1
2024-09,3311 Bricklayers and Stonemasons,65,22
2024-09,3311 Bricklayers and Stonemasons,75,2
2024-09,3311 Bricklayers and Stonemasons,70,4
2024-09,3311 Bricklayers and Stonemasons,80,2
2024-09,3311 Bricklayers and Stonemasons,90,2
2024-09,3311 Bricklayers and Stonemasons,85,1
2024-09,2539 Other Medical Practitioners,75,2
2024-09,2539 Other Medical Practitioners,80,59
2024-09,2539 Other Medical Practitioners,95,1
2024-09,2539 Other Medical Practitioners,90,8
2024-09,2539 Other Medical Practitioners,85,26
2024-09,3411 Electricians,65,25
2024-09,3411 Electricians,75,9
2024-09,3411 Electricians,70,16
2024-09,3411 Electricians,80,3
2024-09,2525 Physiotherapists,75,5
2024-09,2525 Physiotherapists,80,46
2024-09,2525 Physiotherapists,90,2
2024-09,2525 Physiotherapists,85,12
2024-09,2512 Medical Imaging Professionals,75,2
2024-09,2512 Medical Imaging Professionals,80,7
2024-09,2512 Medical Imaging Professionals,85,1
2024-09,2527 Speech Professionals and Audiologists,75,2
2024-09,2527 Speech Professionals and Audiologists,80,23
2024-09,2527 Speech Professionals and Audiologists,85,8
2024-09,2524 Occupational Therapists,75,4
2024-09,2524 Occupational Therapists,80,35
2024-09,2524 Occupational Therapists,90,3
2024-09,2524 Occupational Therapists,85,7
2024-09,2519 Other Health Diagnostic and Promotion Professionals,80,1
2024-09,2346 Medical Laboratory Scientists,80,11
2024-09,2346 Medical Laboratory Scientists,85,4
2024-09,2415 Special Education Teachers,80,2
2024-09,2723 Psychologists,80,10
2024-09,2723 Psychologists,90,3
2024-09,2723 Psychologists,85,7
2024-09,2541 Midwives,75,2
2024-09,2541 Midwives,80,7
2024-09,2541 Midwives,90,1
2024-09,2541 Midwives,85,1
2024-09,3341 Plumbers,65,14
2024-09,3341 Plumbers,75,4
2024-09,3341 Plumbers,70,6
2024-09,3341 Plumbers,80,2
2024-09,3991 Boat Builders and Shipwrights,105,1
2024-09,2533 Internal Medicine Specialists,80,3
2024-09,2533 Internal Medicine Specialists,85,4
2024-09,3332 Plasterers,65,5
2024-09,3334 Wall and Floor Tilers,65,12
2024-09,3334 Wall and Floor Tilers,75,3
2024-09,3334 Wall and Floor Tilers,70,17
2024-09,3334 Wall and Floor Tilers,80,2
2024-09,2534 Psychiatrists,80,1
2024-09,2534 Psychiatrists,85,1
2024-09,2514 Optometrists and Orthoptists,80,3
2024-09,2514 Optometrists and Orthoptists,85,2
2024-09,2535 Surgeons,80,1
2024-09,2526 Podiatrists,80,1
2024-09,2526 Podiatrists,90,1
2024-09,2526 Podiatrists,85,1
2026-06,2344 Geologists Geophysicists and Hydrogeologists,80,4
2026-06,2344 Geologists Geophysicists and Hydrogeologists,90,3
2026-06,2344 Geologists Geophysicists and Hydrogeologists,85,3
2026-06,2344 Geologists Geophysicists and Hydrogeologists,100,1
2026-06,2345 Life Scientists,95,10
2026-06,2345 Life Scientists,100,11
2026-06,2345 Life Scientists,105,1
2026-06,2341 Agricultural and Forestry Scientists,80,49
2026-06,2341 Agricultural and Forestry Scientists,95,5
2026-06,2341 Agricultural and Forestry Scientists,90,20
2026-06,2341 Agricultural and Forestry Scientists,85,52
2026-06,2341 Agricultural and Forestry Scientists,100,3
2026-06,2544 Registered Nurses,75,108
2026-06,2544 Registered Nurses,80,916
2026-06,2544 Registered Nurses,95,1
2026-06,2544 Registered Nurses,90,44
2026-06,2544 Registered Nurses,85,320
2026-06,2544 Registered Nurses,110,1
2026-06,2544 Registered Nurses,100,2
2026-06,2544 Registered Nurses,105,1
2026-06,2334 Electronics Engineers,95,3
2026-06,2334 Electronics Engineers,100,5
2026-06,2334 Electronics Engineers,105,1
2026-06,3232 Metal Fitters and Machinists,80,4
2026-06,3232 Metal Fitters and Machinists,85,4
2026-06,"2342 Chemists, and Food and Wine Scientists",95,10
2026-06,"2342 Chemists, and Food and Wine Scientists",90,49
2026-06,"2342 Chemists, and Food and Wine Scientists",85,9
2026-06,"2342 Chemists, and Food and Wine Scientists",100,4
2026-06,"2342 Chemists, and Food and Wine Scientists",105,2
2026-06,2713 Solicitors,80,89
2026-06,2713 Solicitors,95,3
2026-06,2713 Solicitors,90,50
2026-06,2713 Solicitors,85,98
2026-06,3123 Electrical Engineering Draftspersons and Technicians,80,17
2026-06,3123 Electrical Engineering Draftspersons and Technicians,90,26
2026-06,3123 Electrical Engineering Draftspersons and Technicians,85,35
2026-06,2321 Architects and Landscape Architects,95,5
2026-06,2321 Architects and Landscape Architects,90,32
2026-06,2321 Architects and Landscape Architects,85,39
2026-06,2531 General Practitioners and Resident Medical officers,75,9
2026-06,2531 General Practitioners and Resident Medical officers,80,98
2026-06,2531 General Practitioners and Resident Medical officers,95,2
2026-06,2531 General Practitioners and Resident Medical officers,90,13
2026-06,2531 General Practitioners and Resident Medical officers,85,60
2026-06,2247 Management and Organisation Analysts,80,60
2026-06,2247 Management and Organisation Analysts,95,4
2026-06,2247 Management and Organisation Analysts,90,42
2026-06,2247 Management and Organisation Analysts,85,73
2026-06,2347 Veterinarians,80,15
2026-06,2347 Veterinarians,95,4
2026-06,2347 Veterinarians,90,16
2026-06,2347 Veterinarians,85,28
2026-06,2347 Veterinarians,100,1
2026-06,2414 Secondary School Teachers,75,31
2026-06,2414 Secondary School Teachers,80,170
2026-06,2414 Secondary School Teachers,95,2
2026-06,2414 Secondary School Teachers,90,17
2026-06,2414 Secondary School Teachers,85,86
2026-06,2414 Secondary School Teachers,100,2
2026-06,1341 Child Care Centre Managers,80,2
2026-06,"2241 Actuaries, Mathematicians and Statisticians",95,25
2026-06,"2241 Actuaries, Mathematicians and Statisticians",90,78
2026-06,"2241 Actuaries, Mathematicians and Statisticians",100,3
2026-06,"2241 Actuaries, Mathematicians and Statisticians",105,3
2026-06,3331 Glaziers,65,2
2026-06,3331 Glaziers,75,1
2026-06,2633 Telecommunications Engineering Professionals,95,10
2026-06,2633 Telecommunications Engineering Professionals,100,3
2026-06,1332 Engineering Managers,80,15
2026-06,1332 Engineering Managers,95,1
2026-06,1332 Engineering Managers,90,3
2026-06,1332 Engineering Managers,85,15
2026-06,1399 Other Specialist Managers,80,12
2026-06,1399 Other Specialist Managers,90,7
2026-06,1399 Other Specialist Managers,85,9
2026-06,2322 Cartographers and Surveyors,80,13
2026-06,2322 Cartographers and Surveyors,95,1
2026-06,2322 Cartographers and Surveyors,90,4
2026-06,2322 Cartographers and Surveyors,85,25
2026-06,2245 Land Economists and Valuers,80,20
2026-06,2245 Land Economists and Valuers,90,3
2026-06,2245 Land Economists and Valuers,85,12
2026-06,2336 Mining Engineers,80,35
2026-06,2336 Mining Engineers,95,6
2026-06,2336 Mining Engineers,90,6
2026-06,2336 Mining Engineers,85,49
2026-06,2336 Mining Engineers,105,1
2026-06,2612 Multimedia Specialists and Web Developers,95,12
2026-06,2612 Multimedia Specialists and Web Developers,110,1
2026-06,2612 Multimedia Specialists and Web Developers,100,6
2026-06,2612 Multimedia Specialists and Web Developers,105,1
2026-06,3223 Structural Steel and Welding Trades Workers,80,39
2026-06,3223 Structural Steel and Welding Trades Workers,90,6
2026-06,3223 Structural Steel and Welding Trades Workers,85,12
2026-06,2349 Other Natural and Physical Science Professionals,80,11
2026-06,2349 Other Natural and Physical Science Professionals,95,3
2026-06,2349 Other Natural and Physical Science Professionals,90,4
2026-06,2349 Other Natural and Physical Science Professionals,85,11
2026-06,2349 Other Natural and Physical Science Professionals,100,4
2026-06,2349 Other Natural and Physical Science Professionals,105,2
2026-06,1331 Construction Managers,80,142
2026-06,1331 Construction Managers,95,8
2026-06,1331 Construction Managers,90,35
2026-06,1331 Construction Managers,85,95
2026-06,1331 Construction Managers,100,1
2026-06,2343 Environmental Scientists,80,33
2026-06,2343 Environmental Scientists,95,4
2026-06,2343 Environmental Scientists,90,28
2026-06,2343 Environmental Scientists,85,45
2026-06,2343 Environmental Scientists,100,3
2026-06,2343 Environmental Scientists,105,2
2026-06,2711 Barristers,80,1
2026-06,2711 Barristers,85,1
2026-06,3312 Carpenters and Joiners,65,148
2026-06,3312 Carpenters and Joiners,75,64
2026-06,3312 Carpenters and Joiners,70,143
2026-06,3312 Carpenters and Joiners,80,19
2026-06,3312 Carpenters and Joiners,90,3
2026-06,3312 Carpenters and Joiners,85,6
2026-06,3312 Carpenters and Joiners,100,1
2026-06,2725 Social Workers,75,39
2026-06,2725 Social Workers,80,153
2026-06,2725 Social Workers,90,15
2026-06,2725 Social Workers,85,70
2026-06,3423 Electronics Trades Workers,80,11
2026-06,3423 Electronics Trades Workers,90,1
2026-06,3423 Electronics Trades Workers,85,6
2026-06,2521 Chiropractors and Osteopaths,80,8
2026-06,2521 Chiropractors and Osteopaths,90,1
2026-06,2521 Chiropractors and Osteopaths,85,6
2026-06,3941 Cabinetmakers,80,2
2026-06,3941 Cabinetmakers,85,2
2026-06,2243 Economists,80,18
2026-06,2243 Economists,90,10
2026-06,2243 Economists,85,21
2026-06,3311 Bricklayers and Stonemasons,65,35
2026-06,3311 Bricklayers and Stonemasons,75,10
2026-06,3311 Bricklayers and Stonemasons,70,12
2026-06,3311 Bricklayers and Stonemasons,80,3
2026-06,3311 Bricklayers and Stonemasons,90,1
2026-06,3311 Bricklayers and Stonemasons,85,1
2026-06,1342 Health and Welfare Services Managers,80,2
2026-06,1342 Health and Welfare Services Managers,90,1
2026-06,1342 Health and Welfare Services Managers,85,3
2026-06,2539 Other Medical Practitioners,75,4
2026-06,2539 Other Medical Practitioners,80,75
2026-06,2539 Other Medical Practitioners,90,13
2026-06,2539 Other Medical Practitioners,85,52
2026-06,3411 Electricians,65,16
2026-06,3411 Electricians,75,6
2026-06,3411 Electricians,70,19
2026-06,3411 Electricians,80,10
2026-06,2525 Physiotherapists,75,7
2026-06,2525 Physiotherapists,80,63
2026-06,2525 Physiotherapists,95,1
2026-06,2525 Physiotherapists,90,4
2026-06,2525 Physiotherapists,85,23
2026-06,2525 Physiotherapists,100,1
2026-06,2512 Medical Imaging Professionals,80,28
2026-06,2512 Medical Imaging Professionals,90,1
2026-06,2512 Medical Imaging Professionals,85,3
2026-06,"4523 Sports Coaches, Instructors and Officials",90,1
2026-06,"4523 Sports Coaches, Instructors and Officials",85,2
2026-06,2527 Speech Professionals and Audiologists,75,2
2026-06,2527 Speech Professionals and Audiologists,80,46
2026-06,2527 Speech Professionals and Audiologists,90,3
2026-06,2527 Speech Professionals and Audiologists,85,24
2026-06,2527 Speech Professionals and Audiologists,100,1
2026-06,2524 Occupational Therapists,75,6
2026-06,2524 Occupational Therapists,80,36
2026-06,2524 Occupational Therapists,90,2
2026-06,2524 Occupational Therapists,85,12
2026-06,3421 Airconditioning and Refrigeration Mechanics,80,1
2026-06,2346 Medical Laboratory Scientists,80,38
2026-06,2346 Medical Laboratory Scientists,90,10
2026-06,2346 Medical Laboratory Scientists,85,24
2026-06,2415 Special Education Teachers,75,1
2026-06,2415 Special Education Teachers,80,2
2026-06,2415 Special Education Teachers,85,1
2026-06,2723 Psychologists,75,2
2026-06,2723 Psychologists,80,28
2026-06,2723 Psychologists,95,2
2026-06,2723 Psychologists,90,3
2026-06,2723 Psychologists,85,16
2026-06,2541 Midwives,80,10
2026-06,2541 Midwives,90,1
2026-06,2541 Midwives,85,3
2026-06,3341 Plumbers,65,15
2026-06,3341 Plumbers,75,3
2026-06,3341 Plumbers,70,8
2026-06,3341 Plumbers,80,5
2026-06,3341 Plumbers,95,2
2026-06,3341 Plumbers,85,1
2026-06,3241 Panelbeaters,80,2
2026-06,3241 Panelbeaters,85,1
2026-06,3991 Boat Builders and Shipwrights,80,1
2026-06,3991 Boat Builders and Shipwrights,85,2
2026-06,2533 Internal Medicine Specialists,80,7
2026-06,2533 Internal Medicine Specialists,95,1
2026-06,2533 Internal Medicine Specialists,85,1
2026-06,3332 Plasterers,65,4
2026-06,3332 Plasterers,75,1
2026-06,3332 Plasterers,70,4
2026-06,3332 Plasterers,95,1
2026-06,3332 Plasterers,85,1
2026-06,3334 Wall and Floor Tilers,65,22
2026-06,3334 Wall and Floor Tilers,75,5
2026-06,3334 Wall and Floor Tilers,70,16
2026-06,3334 Wall and Floor Tilers,80,1
2026-06,3334 Wall and Floor Tilers,85,1
2026-06,2112 Music Professionals,95,1
2026-06,2112 Music Professionals,90,1
2026-06,2112 Music Professionals,100,1
2026-06,3211 Automotive Electricians,80,4
2026-06,3211 Automotive Electricians,85,1
2026-06,2534 Psychiatrists,90,1
2026-06,2534 Psychiatrists,85,1
2026-06,2514 Optometrists and Orthoptists,80,4
2026-06,2514 Optometrists and Orthoptists,95,1
2026-06,2514 Optometrists and Orthoptists,85,1
2026-06,2535 Surgeons,85,1
2026-06,2535 Surgeons,100,1
2026-06,2526 Podiatrists,75,1
2026-06,2526 Podiatrists,80,3
2026-06,2526 Podiatrists,85,2
2026-06,"2111 Actors, Dancers and Other Entertainers",80,3
2026-06,"2111 Actors, Dancers and Other Entertainers",85,1
2025-08,2411 Early Childhood (Pre-primary School) Teachers,95,3
2025-08,2411 Early Childhood (Pre-primary School) Teachers,90,38
2025-08,2411 Early Childhood (Pre-primary School) Teachers,85,324
2025-08,2344 Geologists Geophysicists and Hydrogeologists,95,1
2025-08,2344 Geologists Geophysicists and Hydrogeologists,90,2
2025-08,2345 Life Scientists,95,34
2025-08,2345 Life Scientists,90,31
2025-08,2345 Life Scientists,100,15
2025-08,2345 Life Scientists,105,5
2025-08,2341 Agricultural and Forestry Scientists,95,18
2025-08,2341 Agricultural and Forestry Scientists,90,23
2025-08,2341 Agricultural and Forestry Scientists,100,4
2025-08,2544 Registered Nurses,80,596
2025-08,2544 Registered Nurses,95,6
2025-08,2544 Registered Nurses,90,42
2025-08,2544 Registered Nurses,85,269
2025-08,2544 Registered Nurses,100,1
2025-08,2544 Registered Nurses,105,1
2025-08,2334 Electronics Engineers,95,7
2025-08,2334 Electronics Engineers,100,6
2025-08,"2342 Chemists, and Food and Wine Scientists",95,10
2025-08,"2342 Chemists, and Food and Wine Scientists",90,19
2025-08,"2342 Chemists, and Food and Wine Scientists",110,1
2025-08,"2342 Chemists, and Food and Wine Scientists",100,6
2025-08,"2342 Chemists, and Food and Wine Scientists",105,1
2025-08,2713 Solicitors,95,8
2025-08,2713 Solicitors,90,51
2025-08,2713 Solicitors,100,1
2025-08,2331 Chemical and Materials Engineers,95,29
2025-08,2331 Chemical and Materials Engineers,90,35
2025-08,2331 Chemical and Materials Engineers,100,9
2025-08,2331 Chemical and Materials Engineers,105,1
2025-08,3123 Electrical Engineering Draftspersons and Technicians,90,6
2025-08,2321 Architects and Landscape Architects,90,9
2025-08,2321 Architects and Landscape Architects,110,1
2025-08,2531 General Practitioners and Resident Medical officers,80,92
2025-08,2531 General Practitioners and Resident Medical officers,95,1
2025-08,2531 General Practitioners and Resident Medical officers,90,23
2025-08,2531 General Practitioners and Resident Medical officers,85,60
2025-08,2247 Management and Organisation Analysts,95,3
2025-08,2247 Management and Organisation Analysts,90,24
2025-08,2347 Veterinarians,95,3
2025-08,2347 Veterinarians,90,11
2025-08,2414 Secondary School Teachers,90,8
2025-08,2414 Secondary School Teachers,85,44
2025-08,"2241 Actuaries, Mathematicians and Statisticians",95,28
2025-08,"2241 Actuaries, Mathematicians and Statisticians",90,61
2025-08,"2241 Actuaries, Mathematicians and Statisticians",100,2
2025-08,3331 Glaziers,65,6
2025-08,3331 Glaziers,75,1
2025-08,3331 Glaziers,70,1
2025-08,2421 University Lecturers and Tutors,95,35
2025-08,2421 University Lecturers and Tutors,90,84
2025-08,2421 University Lecturers and Tutors,85,84
2025-08,2421 University Lecturers and Tutors,110,1
2025-08,2421 University Lecturers and Tutors,100,14
2025-08,2421 University Lecturers and Tutors,105,4
2025-08,1332 Engineering Managers,90,1
2025-08,3122 Civil Engineering Draftspersons and Technicians,95,3
2025-08,3122 Civil Engineering Draftspersons and Technicians,90,4
2025-08,1399 Other Specialist Managers,95,2
2025-08,1399 Other Specialist Managers,90,2
2025-08,2322 Cartographers and Surveyors,95,1
2025-08,2322 Cartographers and Surveyors,90,7
2025-08,2245 Land Economists and Valuers,90,4
2025-08,2336 Mining Engineers,95,3
2025-08,2336 Mining Engineers,90,8
2025-08,3223 Structural Steel and Welding Trades Workers,90,1
2025-08,2349 Other Natural and Physical Science Professionals,95,4
2025-08,2349 Other Natural and Physical Science Professionals,90,4
2025-08,2349 Other Natural and Physical Science Professionals,100,6
2025-08,2349 Other Natural and Physical Science Professionals,115,1
2025-08,1331 Construction Managers,95,1
2025-08,1331 Construction Managers,90,8
2025-08,1331 Construction Managers,100,1
2025-08,2343 Environmental Scientists,95,15
2025-08,2343 Environmental Scientists,90,22
2025-08,2343 Environmental Scientists,110,1
2025-08,2343 Environmental Scientists,100,8
2025-08,2711 Barristers,95,1
2025-08,3312 Carpenters and Joiners,65,141
2025-08,3312 Carpenters and Joiners,75,75
2025-08,3312 Carpenters and Joiners,70,153
2025-08,3312 Carpenters and Joiners,80,28
2025-08,3312 Carpenters and Joiners,90,1
2025-08,3312 Carpenters and Joiners,85,9
2025-08,2725 Social Workers,95,1
2025-08,2725 Social Workers,90,10
2025-08,2725 Social Workers,85,56
2025-08,3322 Painting Trades Workers,75,39
2025-08,3322 Painting Trades Workers,70,42
2025-08,3322 Painting Trades Workers,80,12
2025-08,3322 Painting Trades Workers,85,3
2025-08,3423 Electronics Trades Workers,110,1
2025-08,2243 Economists,95,4
2025-08,2243 Economists,90,4
2025-08,3311 Bricklayers and Stonemasons,65,24
2025-08,3311 Bricklayers and Stonemasons,75,6
2025-08,3311 Bricklayers and Stonemasons,70,15
2025-08,3311 Bricklayers and Stonemasons,80,3
2025-08,3311 Bricklayers and Stonemasons,90,1
2025-08,3311 Bricklayers and Stonemasons,85,1
2025-08,1342 Health and Welfare Services Managers,90,1
2025-08,2539 Other Medical Practitioners,80,72
2025-08,2539 Other Medical Practitioners,95,1
2025-08,2539 Other Medical Practitioners,90,15
2025-08,2539 Other Medical Practitioners,85,59
2025-08,2539 Other Medical Practitioners,100,1
2025-08,3411 Electricians,65,36
2025-08,3411 Electricians,75,12
2025-08,3411 Electricians,70,18
2025-08,3411 Electricians,80,6
2025-08,3411 Electricians,85,1
2025-08,3411 Electricians,100,1
2025-08,2525 Physiotherapists,80,52
2025-08,2525 Physiotherapists,95,2
2025-08,2525 Physiotherapists,90,9
2025-08,2525 Physiotherapists,85,34
2025-08,2512 Medical Imaging Professionals,80,19
2025-08,2512 Medical Imaging Professionals,95,3
2025-08,2512 Medical Imaging Professionals,90,9
2025-08,2512 Medical Imaging Professionals,85,12
2025-08,"4523 Sports Coaches, Instructors and Officials",95,1
2025-08,2527 Speech Professionals and Audiologists,80,20
2025-08,2527 Speech Professionals and Audiologists,90,6
2025-08,2527 Speech Professionals and Audiologists,85,18
2025-08,2524 Occupational Therapists,80,36
2025-08,2524 Occupational Therapists,95,1
2025-08,2524 Occupational Therapists,90,2
2025-08,2524 Occupational Therapists,85,12
2025-08,2346 Medical Laboratory Scientists,95,1
2025-08,2346 Medical Laboratory Scientists,90,3
2025-08,2346 Medical Laboratory Scientists,100,1
2025-08,2723 Psychologists,95,1
2025-08,2723 Psychologists,90,1
2025-08,2723 Psychologists,85,8
2025-08,2541 Midwives,80,12
2025-08,2541 Midwives,85,4
2025-08,3341 Plumbers,65,29
2025-08,3341 Plumbers,75,8
2025-08,3341 Plumbers,70,14
2025-08,3341 Plumbers,80,3
2025-08,3341 Plumbers,90,1
2025-08,3341 Plumbers,85,2
2025-08,3241 Panelbeaters,90,1
2025-08,3991 Boat Builders and Shipwrights,90,1
2025-08,2533 Internal Medicine Specialists,80,7
2025-08,2533 Internal Medicine Specialists,90,3
2025-08,2533 Internal Medicine Specialists,85,1
2025-08,3332 Plasterers,65,6
2025-08,3332 Plasterers,75,4
2025-08,3334 Wall and Floor Tilers,65,37
2025-08,3334 Wall and Floor Tilers,75,1
2025-08,3334 Wall and Floor Tilers,70,13
2025-08,3334 Wall and Floor Tilers,80,1
2025-08,3334 Wall and Floor Tilers,85,1
2025-08,2534 Psychiatrists,80,1
