AsAt,Score,n
10/2024,40,7
10/2024,45,30
10/2024,120,4
10/2024,115,2
10/2024,35,2
09/2024,65,6193
09/2024,75,9575
09/2024,70,10210
09/2024,80,9185
09/2024,95,2082
09/2024,90,4204
09/2024,85,6508
09/2024,55,526
09/2024,60,1583
09/2024,50,93
09/2024,110,6
09/2024,100,541
09/2024,105,90
09/2024,40,4
09/2024,45,21
09/2024,120,1
09/2024,115,3
09/2024,35,2
-,65,56937
-,75,92948
-,70,90795
-,80,91732
-,95,27780
-,90,50864
-,85,69694
-,55,8128
-,60,19613
-,50,3247
-,110,238
-,100,9304
-,105,2260
-,40,364
-,45,951
-,30,44
-,25,12
-,120,28
-,115,59
-,125,3
-,35,127
-,130,1
-,20,4
-,135,1
