AsAt,OccGroup,Score,n
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",80,653
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",95,95
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,409
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",85,639
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",55,58
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",60,150
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",50,24
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",100,18
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",105,1
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",40,1
08/2026,"2212 Auditors, Company Secretaries and Corporate Treasurers",45,5
08/2026,2345 Life Scientists,65,211
08/2026,2345 Life Scientists,75,255
08/2026,2345 Life Scientists,70,210
08/2026,2345 Life Scientists,80,184
08/2026,2345 Life Scientists,95,53
08/2026,2345 Life Scientists,90,159
08/2026,2345 Life Scientists,85,197
08/2026,2345 Life Scientists,55,51
08/2026,2345 Life Scientists,60,80
08/2026,2345 Life Scientists,50,9
08/2026,2345 Life Scientists,110,2
08/2026,2345 Life Scientists,100,13
08/2026,2345 Life Scientists,105,6
08/2026,2345 Life Scientists,45,11
08/2026,"2335 Industrial, Mechanical and Production Engineers",65,1438
08/2026,"2335 Industrial, Mechanical and Production Engineers",75,1615
08/2026,"2335 Industrial, Mechanical and Production Engineers",70,1463
08/2026,"2335 Industrial, Mechanical and Production Engineers",80,1249
08/2026,"2335 Industrial, Mechanical and Production Engineers",95,245
08/2026,"2335 Industrial, Mechanical and Production Engineers",90,691
08/2026,"2335 Industrial, Mechanical and Production Engineers",85,1174
08/2026,"2335 Industrial, Mechanical and Production Engineers",55,324
08/2026,"2335 Industrial, Mechanical and Production Engineers",60,648
08/2026,"2335 Industrial, Mechanical and Production Engineers",50,118
08/2026,"2335 Industrial, Mechanical and Production Engineers",100,52
08/2026,"2335 Industrial, Mechanical and Production Engineers",105,3
08/2026,"2335 Industrial, Mechanical and Production Engineers",40,12
08/2026,"2335 Industrial, Mechanical and Production Engineers",45,37
08/2026,"2335 Industrial, Mechanical and Production Engineers",30,2
08/2026,"2335 Industrial, Mechanical and Production Engineers",25,1
08/2026,"2335 Industrial, Mechanical and Production Engineers",35,4
08/2026,2339 Other Engineering Professionals,65,1380
08/2026,2339 Other Engineering Professionals,75,1397
08/2026,2339 Other Engineering Professionals,70,1447
08/2026,2339 Other Engineering Professionals,80,1254
08/2026,2339 Other Engineering Professionals,95,263
08/2026,2339 Other Engineering Professionals,90,639
08/2026,2339 Other Engineering Professionals,85,1156
08/2026,2339 Other Engineering Professionals,55,364
08/2026,2339 Other Engineering Professionals,60,603
08/2026,2339 Other Engineering Professionals,50,121
08/2026,2339 Other Engineering Professionals,100,84
08/2026,2339 Other Engineering Professionals,105,14
08/2026,2339 Other Engineering Professionals,40,7
08/2026,2339 Other Engineering Professionals,45,46
08/2026,2339 Other Engineering Professionals,30,4
08/2026,2339 Other Engineering Professionals,35,3
08/2026,2341 Agricultural and Forestry Scientists,65,350
08/2026,2341 Agricultural and Forestry Scientists,75,197
08/2026,2341 Agricultural and Forestry Scientists,70,248
08/2026,2341 Agricultural and Forestry Scientists,80,144
08/2026,2341 Agricultural and Forestry Scientists,95,15
08/2026,2341 Agricultural and Forestry Scientists,90,22
08/2026,2341 Agricultural and Forestry Scientists,85,50
08/2026,2341 Agricultural and Forestry Scientists,55,44
08/2026,2341 Agricultural and Forestry Scientists,60,93
08/2026,2341 Agricultural and Forestry Scientists,50,24
08/2026,2341 Agricultural and Forestry Scientists,100,4
08/2026,2341 Agricultural and Forestry Scientists,40,1
08/2026,2341 Agricultural and Forestry Scientists,45,7
08/2026,2341 Agricultural and Forestry Scientists,30,1
08/2026,2544 Registered Nurses,65,3324
08/2026,2544 Registered Nurses,75,3822
08/2026,2544 Registered Nurses,70,3851
08/2026,2544 Registered Nurses,80,1219
08/2026,2544 Registered Nurses,95,5
08/2026,2544 Registered Nurses,90,53
08/2026,2544 Registered Nurses,85,313
08/2026,2544 Registered Nurses,55,537
08/2026,2544 Registered Nurses,60,1040
08/2026,2544 Registered Nurses,50,186
08/2026,2544 Registered Nurses,110,1
08/2026,2544 Registered Nurses,100,2
08/2026,2544 Registered Nurses,105,1
08/2026,2544 Registered Nurses,40,26
08/2026,2544 Registered Nurses,45,60
08/2026,2544 Registered Nurses,30,1
08/2026,2544 Registered Nurses,120,1
08/2026,2544 Registered Nurses,35,11
08/2026,3513 Chefs,65,2440
08/2026,3513 Chefs,75,2019
08/2026,3513 Chefs,70,2435
08/2026,3513 Chefs,80,1128
08/2026,3513 Chefs,95,72
08/2026,3513 Chefs,90,266
08/2026,3513 Chefs,85,542
08/2026,3513 Chefs,55,549
08/2026,3513 Chefs,60,1244
08/2026,3513 Chefs,50,212
08/2026,3513 Chefs,100,8
08/2026,3513 Chefs,105,3
08/2026,3513 Chefs,40,8
08/2026,3513 Chefs,45,52
08/2026,3513 Chefs,30,1
08/2026,3513 Chefs,35,3
08/2026,2334 Electronics Engineers,65,454
08/2026,2334 Electronics Engineers,75,424
08/2026,2334 Electronics Engineers,70,414
08/2026,2334 Electronics Engineers,80,341
08/2026,2334 Electronics Engineers,95,302
08/2026,2334 Electronics Engineers,90,155
08/2026,2334 Electronics Engineers,85,294
08/2026,2334 Electronics Engineers,55,127
08/2026,2334 Electronics Engineers,60,206
08/2026,2334 Electronics Engineers,50,41
08/2026,2334 Electronics Engineers,100,5
08/2026,2334 Electronics Engineers,40,6
08/2026,2334 Electronics Engineers,45,10
08/2026,2334 Electronics Engineers,25,1
08/2026,2334 Electronics Engineers,35,1
08/2026,3232 Metal Fitters and Machinists,65,72
08/2026,3232 Metal Fitters and Machinists,75,42
08/2026,3232 Metal Fitters and Machinists,70,70
08/2026,3232 Metal Fitters and Machinists,80,15
08/2026,3232 Metal Fitters and Machinists,85,4
08/2026,3232 Metal Fitters and Machinists,55,37
08/2026,3232 Metal Fitters and Machinists,60,81
08/2026,3232 Metal Fitters and Machinists,50,49
08/2026,3232 Metal Fitters and Machinists,40,6
08/2026,3232 Metal Fitters and Machinists,45,11
08/2026,3232 Metal Fitters and Machinists,30,1
08/2026,3232 Metal Fitters and Machinists,35,2
08/2026,2631 Computer Network Professionals,65,412
08/2026,2631 Computer Network Professionals,75,639
08/2026,2631 Computer Network Professionals,70,487
08/2026,2631 Computer Network Professionals,80,548
08/2026,2631 Computer Network Professionals,95,246
08/2026,2631 Computer Network Professionals,90,489
08/2026,2631 Computer Network Professionals,85,512
08/2026,2631 Computer Network Professionals,55,82
08/2026,2631 Computer Network Professionals,60,141
08/2026,2631 Computer Network Professionals,50,26
08/2026,2631 Computer Network Professionals,100,129
08/2026,2631 Computer Network Professionals,105,6
08/2026,2631 Computer Network Professionals,40,4
08/2026,2631 Computer Network Professionals,45,13
08/2026,2631 Computer Network Professionals,30,2
08/2026,2631 Computer Network Professionals,35,2
08/2026,"2342 Chemists, and Food and Wine Scientists",65,281
08/2026,"2342 Chemists, and Food and Wine Scientists",75,275
08/2026,"2342 Chemists, and Food and Wine Scientists",70,225
08/2026,"2342 Chemists, and Food and Wine Scientists",80,211
08/2026,"2342 Chemists, and Food and Wine Scientists",95,15
08/2026,"2342 Chemists, and Food and Wine Scientists",90,47
08/2026,"2342 Chemists, and Food and Wine Scientists",85,153
08/2026,"2342 Chemists, and Food and Wine Scientists",55,46
08/2026,"2342 Chemists, and Food and Wine Scientists",60,80
08/2026,"2342 Chemists, and Food and Wine Scientists",50,17
08/2026,"2342 Chemists, and Food and Wine Scientists",100,2
08/2026,"2342 Chemists, and Food and Wine Scientists",40,3
08/2026,"2342 Chemists, and Food and Wine Scientists",45,4
08/2026,"2342 Chemists, and Food and Wine Scientists",25,1
08/2026,2713 Solicitors,65,117
08/2026,2713 Solicitors,75,174
08/2026,2713 Solicitors,70,120
08/2026,2713 Solicitors,80,117
08/2026,2713 Solicitors,95,3
08/2026,2713 Solicitors,90,26
08/2026,2713 Solicitors,85,77
08/2026,2713 Solicitors,55,12
08/2026,2713 Solicitors,60,29
08/2026,2713 Solicitors,50,2
08/2026,2713 Solicitors,100,1
08/2026,2713 Solicitors,45,2
08/2026,2331 Chemical and Materials Engineers,65,273
08/2026,2331 Chemical and Materials Engineers,75,328
08/2026,2331 Chemical and Materials Engineers,70,317
08/2026,2331 Chemical and Materials Engineers,80,340
08/2026,2331 Chemical and Materials Engineers,95,36
08/2026,2331 Chemical and Materials Engineers,90,119
08/2026,2331 Chemical and Materials Engineers,85,207
08/2026,2331 Chemical and Materials Engineers,55,56
08/2026,2331 Chemical and Materials Engineers,60,92
08/2026,2331 Chemical and Materials Engineers,50,22
08/2026,2331 Chemical and Materials Engineers,100,8
08/2026,2331 Chemical and Materials Engineers,105,1
08/2026,2331 Chemical and Materials Engineers,40,1
08/2026,2331 Chemical and Materials Engineers,45,9
08/2026,2331 Chemical and Materials Engineers,30,1
08/2026,3123 Electrical Engineering Draftspersons and Technicians,65,94
08/2026,3123 Electrical Engineering Draftspersons and Technicians,75,67
08/2026,3123 Electrical Engineering Draftspersons and Technicians,70,95
08/2026,3123 Electrical Engineering Draftspersons and Technicians,80,25
08/2026,3123 Electrical Engineering Draftspersons and Technicians,90,24
08/2026,3123 Electrical Engineering Draftspersons and Technicians,85,37
08/2026,3123 Electrical Engineering Draftspersons and Technicians,55,27
08/2026,3123 Electrical Engineering Draftspersons and Technicians,60,39
08/2026,3123 Electrical Engineering Draftspersons and Technicians,50,11
08/2026,3123 Electrical Engineering Draftspersons and Technicians,40,1
08/2026,3123 Electrical Engineering Draftspersons and Technicians,45,1
08/2026,2333 Electrical Engineers,65,723
08/2026,2333 Electrical Engineers,75,746
08/2026,2333 Electrical Engineers,70,747
08/2026,2333 Electrical Engineers,80,634
08/2026,2333 Electrical Engineers,95,102
08/2026,2333 Electrical Engineers,90,297
08/2026,2333 Electrical Engineers,85,459
08/2026,2333 Electrical Engineers,55,214
08/2026,2333 Electrical Engineers,60,314
08/2026,2333 Electrical Engineers,50,74
08/2026,2333 Electrical Engineers,100,24
08/2026,2333 Electrical Engineers,105,3
08/2026,2333 Electrical Engineers,40,7
08/2026,2333 Electrical Engineers,45,20
08/2026,2333 Electrical Engineers,120,1
08/2026,2333 Electrical Engineers,35,1
08/2026,2321 Architects and Landscape Architects,65,203
08/2026,2321 Architects and Landscape Architects,75,311
08/2026,2321 Architects and Landscape Architects,70,282
08/2026,2321 Architects and Landscape Architects,80,260
08/2026,2321 Architects and Landscape Architects,95,3
08/2026,2321 Architects and Landscape Architects,90,33
08/2026,2321 Architects and Landscape Architects,85,170
08/2026,2321 Architects and Landscape Architects,55,26
08/2026,2321 Architects and Landscape Architects,60,85
08/2026,2321 Architects and Landscape Architects,50,4
08/2026,2321 Architects and Landscape Architects,45,3
08/2026,2531 General Practitioners and Resident Medical officers,65,93
08/2026,2531 General Practitioners and Resident Medical officers,75,220
08/2026,2531 General Practitioners and Resident Medical officers,70,173
08/2026,2531 General Practitioners and Resident Medical officers,80,128
08/2026,2531 General Practitioners and Resident Medical officers,95,2
08/2026,2531 General Practitioners and Resident Medical officers,90,18
08/2026,2531 General Practitioners and Resident Medical officers,85,58
08/2026,2531 General Practitioners and Resident Medical officers,55,14
08/2026,2531 General Practitioners and Resident Medical officers,60,46
08/2026,2531 General Practitioners and Resident Medical officers,50,4
08/2026,2531 General Practitioners and Resident Medical officers,40,1
08/2026,2531 General Practitioners and Resident Medical officers,45,1
08/2026,2531 General Practitioners and Resident Medical officers,125,1
08/2026,2247 Management and Organisation Analysts,65,90
08/2026,2247 Management and Organisation Analysts,75,136
08/2026,2247 Management and Organisation Analysts,70,95
08/2026,2247 Management and Organisation Analysts,80,100
08/2026,2247 Management and Organisation Analysts,95,10
08/2026,2247 Management and Organisation Analysts,90,36
08/2026,2247 Management and Organisation Analysts,85,64
08/2026,2247 Management and Organisation Analysts,55,13
08/2026,2247 Management and Organisation Analysts,60,25
08/2026,2247 Management and Organisation Analysts,50,3
08/2026,2247 Management and Organisation Analysts,105,1
08/2026,2247 Management and Organisation Analysts,45,3
08/2026,2347 Veterinarians,65,22
08/2026,2347 Veterinarians,75,55
08/2026,2347 Veterinarians,70,29
08/2026,2347 Veterinarians,80,30
08/2026,2347 Veterinarians,95,1
08/2026,2347 Veterinarians,90,13
08/2026,2347 Veterinarians,85,32
08/2026,2347 Veterinarians,55,7
08/2026,2347 Veterinarians,60,8
08/2026,2414 Secondary School Teachers,65,617
08/2026,2414 Secondary School Teachers,75,657
08/2026,2414 Secondary School Teachers,70,665
08/2026,2414 Secondary School Teachers,80,257
08/2026,2414 Secondary School Teachers,95,3
08/2026,2414 Secondary School Teachers,90,23
08/2026,2414 Secondary School Teachers,85,70
08/2026,2414 Secondary School Teachers,55,91
08/2026,2414 Secondary School Teachers,60,218
08/2026,2414 Secondary School Teachers,50,33
08/2026,2414 Secondary School Teachers,100,1
08/2026,2414 Secondary School Teachers,40,3
08/2026,2414 Secondary School Teachers,45,9
08/2026,1341 Child Care Centre Managers,65,11
08/2026,1341 Child Care Centre Managers,75,6
08/2026,1341 Child Care Centre Managers,70,9
08/2026,1341 Child Care Centre Managers,95,1
08/2026,1341 Child Care Centre Managers,85,1
08/2026,1341 Child Care Centre Managers,55,2
08/2026,1341 Child Care Centre Managers,60,7
08/2026,1341 Child Care Centre Managers,50,8
08/2026,"2241 Actuaries, Mathematicians and Statisticians",65,83
08/2026,"2241 Actuaries, Mathematicians and Statisticians",75,162
08/2026,"2241 Actuaries, Mathematicians and Statisticians",70,103
08/2026,"2241 Actuaries, Mathematicians and Statisticians",80,167
08/2026,"2241 Actuaries, Mathematicians and Statisticians",95,31
08/2026,"2241 Actuaries, Mathematicians and Statisticians",90,115
08/2026,"2241 Actuaries, Mathematicians and Statisticians",85,170
08/2026,"2241 Actuaries, Mathematicians and Statisticians",55,11
08/2026,"2241 Actuaries, Mathematicians and Statisticians",60,34
08/2026,"2241 Actuaries, Mathematicians and Statisticians",50,1
08/2026,"2241 Actuaries, Mathematicians and Statisticians",100,5
08/2026,"2241 Actuaries, Mathematicians and Statisticians",105,3
08/2026,"2241 Actuaries, Mathematicians and Statisticians",45,3
08/2026,3331 Glaziers,65,5
08/2026,3331 Glaziers,75,8
08/2026,3331 Glaziers,70,1
08/2026,3331 Glaziers,80,1
08/2026,3331 Glaziers,55,1
08/2026,3331 Glaziers,60,1
08/2026,2421 University Lecturers and Tutors,65,431
08/2026,2421 University Lecturers and Tutors,75,380
08/2026,2421 University Lecturers and Tutors,70,436
08/2026,2421 University Lecturers and Tutors,80,287
08/2026,2421 University Lecturers and Tutors,95,100
08/2026,2421 University Lecturers and Tutors,90,212
08/2026,2421 University Lecturers and Tutors,85,253
08/2026,2421 University Lecturers and Tutors,55,74
08/2026,2421 University Lecturers and Tutors,60,176
08/2026,2421 University Lecturers and Tutors,50,37
08/2026,2421 University Lecturers and Tutors,110,1
08/2026,2421 University Lecturers and Tutors,100,51
08/2026,2421 University Lecturers and Tutors,105,12
08/2026,2421 University Lecturers and Tutors,40,2
08/2026,2421 University Lecturers and Tutors,45,6
08/2026,2633 Telecommunications Engineering Professionals,65,218
08/2026,2633 Telecommunications Engineering Professionals,75,290
08/2026,2633 Telecommunications Engineering Professionals,70,204
08/2026,2633 Telecommunications Engineering Professionals,80,215
08/2026,2633 Telecommunications Engineering Professionals,95,29
08/2026,2633 Telecommunications Engineering Professionals,90,109
08/2026,2633 Telecommunications Engineering Professionals,85,181
08/2026,2633 Telecommunications Engineering Professionals,55,70
08/2026,2633 Telecommunications Engineering Professionals,60,118
08/2026,2633 Telecommunications Engineering Professionals,50,24
08/2026,2633 Telecommunications Engineering Professionals,100,5
08/2026,2633 Telecommunications Engineering Professionals,40,5
08/2026,2633 Telecommunications Engineering Professionals,45,8
08/2026,2633 Telecommunications Engineering Professionals,35,1
08/2026,1332 Engineering Managers,65,75
08/2026,1332 Engineering Managers,75,56
08/2026,1332 Engineering Managers,70,69
08/2026,1332 Engineering Managers,80,21
08/2026,1332 Engineering Managers,90,1
08/2026,1332 Engineering Managers,85,6
08/2026,1332 Engineering Managers,55,30
08/2026,1332 Engineering Managers,60,26
08/2026,1332 Engineering Managers,50,2
08/2026,1332 Engineering Managers,40,2
08/2026,1332 Engineering Managers,45,4
08/2026,3122 Civil Engineering Draftspersons and Technicians,65,1583
08/2026,3122 Civil Engineering Draftspersons and Technicians,75,1411
08/2026,3122 Civil Engineering Draftspersons and Technicians,70,1727
08/2026,3122 Civil Engineering Draftspersons and Technicians,80,893
08/2026,3122 Civil Engineering Draftspersons and Technicians,95,26
08/2026,3122 Civil Engineering Draftspersons and Technicians,90,170
08/2026,3122 Civil Engineering Draftspersons and Technicians,85,635
08/2026,3122 Civil Engineering Draftspersons and Technicians,55,392
08/2026,3122 Civil Engineering Draftspersons and Technicians,60,709
08/2026,3122 Civil Engineering Draftspersons and Technicians,50,169
08/2026,3122 Civil Engineering Draftspersons and Technicians,100,2
08/2026,3122 Civil Engineering Draftspersons and Technicians,105,1
08/2026,3122 Civil Engineering Draftspersons and Technicians,40,28
08/2026,3122 Civil Engineering Draftspersons and Technicians,45,44
08/2026,3122 Civil Engineering Draftspersons and Technicians,25,1
08/2026,3122 Civil Engineering Draftspersons and Technicians,35,5
08/2026,1399 Other Specialist Managers,65,35
08/2026,1399 Other Specialist Managers,75,48
08/2026,1399 Other Specialist Managers,70,42
08/2026,1399 Other Specialist Managers,80,17
08/2026,1399 Other Specialist Managers,90,3
08/2026,1399 Other Specialist Managers,85,10
08/2026,1399 Other Specialist Managers,55,19
08/2026,1399 Other Specialist Managers,60,25
08/2026,1399 Other Specialist Managers,50,4
08/2026,1399 Other Specialist Managers,40,1
08/2026,1399 Other Specialist Managers,45,1
08/2026,2322 Cartographers and Surveyors,65,77
08/2026,2322 Cartographers and Surveyors,75,51
08/2026,2322 Cartographers and Surveyors,70,69
08/2026,2322 Cartographers and Surveyors,80,23
08/2026,2322 Cartographers and Surveyors,90,5
08/2026,2322 Cartographers and Surveyors,85,25
08/2026,2322 Cartographers and Surveyors,55,20
08/2026,2322 Cartographers and Surveyors,60,44
08/2026,2322 Cartographers and Surveyors,50,4
08/2026,2322 Cartographers and Surveyors,40,1
08/2026,3233 Precision Metal Trades Workers,65,3
08/2026,3233 Precision Metal Trades Workers,75,2
08/2026,3233 Precision Metal Trades Workers,70,3
08/2026,3233 Precision Metal Trades Workers,55,2
08/2026,3233 Precision Metal Trades Workers,60,1
08/2026,3233 Precision Metal Trades Workers,45,1
08/2026,2245 Land Economists and Valuers,65,20
08/2026,2245 Land Economists and Valuers,75,35
08/2026,2245 Land Economists and Valuers,70,15
08/2026,2245 Land Economists and Valuers,80,16
08/2026,2245 Land Economists and Valuers,90,1
08/2026,2245 Land Economists and Valuers,85,5
08/2026,2245 Land Economists and Valuers,55,2
08/2026,2245 Land Economists and Valuers,60,4
08/2026,2245 Land Economists and Valuers,50,1
08/2026,2245 Land Economists and Valuers,40,1
08/2026,2245 Land Economists and Valuers,45,1
08/2026,2245 Land Economists and Valuers,30,1
08/2026,2336 Mining Engineers,65,193
08/2026,2336 Mining Engineers,75,151
08/2026,2336 Mining Engineers,70,158
08/2026,2336 Mining Engineers,80,96
08/2026,2336 Mining Engineers,95,4
08/2026,2336 Mining Engineers,90,14
08/2026,2336 Mining Engineers,85,39
08/2026,2336 Mining Engineers,55,34
08/2026,2336 Mining Engineers,60,54
08/2026,2336 Mining Engineers,50,19
08/2026,2336 Mining Engineers,40,1
08/2026,2336 Mining Engineers,45,6
08/2026,2612 Multimedia Specialists and Web Developers,65,45
08/2026,2612 Multimedia Specialists and Web Developers,75,60
08/2026,2612 Multimedia Specialists and Web Developers,70,68
08/2026,2612 Multimedia Specialists and Web Developers,80,52
08/2026,2612 Multimedia Specialists and Web Developers,95,44
08/2026,2612 Multimedia Specialists and Web Developers,90,116
08/2026,2612 Multimedia Specialists and Web Developers,85,75
08/2026,2612 Multimedia Specialists and Web Developers,55,6
08/2026,2612 Multimedia Specialists and Web Developers,60,10
08/2026,2612 Multimedia Specialists and Web Developers,50,12
08/2026,2612 Multimedia Specialists and Web Developers,100,8
08/2026,2612 Multimedia Specialists and Web Developers,40,1
08/2026,3223 Structural Steel and Welding Trades Workers,65,209
08/2026,3223 Structural Steel and Welding Trades Workers,75,132
08/2026,3223 Structural Steel and Welding Trades Workers,70,164
08/2026,3223 Structural Steel and Welding Trades Workers,80,73
08/2026,3223 Structural Steel and Welding Trades Workers,90,7
08/2026,3223 Structural Steel and Welding Trades Workers,85,10
08/2026,3223 Structural Steel and Welding Trades Workers,55,42
08/2026,3223 Structural Steel and Welding Trades Workers,60,86
08/2026,3223 Structural Steel and Welding Trades Workers,50,17
08/2026,3223 Structural Steel and Welding Trades Workers,40,3
