AsAt,Score,n
03/2025,40,3
03/2025,45,18
03/2025,25,2
03/2025,120,12
03/2025,115,117
03/2025,125,4
03/2025,35,1
03/2025,130,3
03/2025,140,1
02/2025,65,9265
02/2025,75,25735
02/2025,70,21846
02/2025,80,37619
02/2025,95,15757
02/2025,90,27331
02/2025,85,31429
02/2025,55,212
02/2025,60,1083
02/2025,50,55
02/2025,110,908
02/2025,100,9256
02/2025,105,4270
02/2025,40,3
02/2025,45,11
02/2025,25,2
02/2025,120,13
02/2025,115,97
02/2025,125,3
02/2025,35,1
02/2025,130,3
02/2025,140,1
01/2025,65,8330
01/2025,75,22679
01/2025,70,19180
01/2025,80,33124
01/2025,95,14014
01/2025,90,23950
01/2025,85,27936
01/2025,55,158
01/2025,60,970
01/2025,50,48
01/2025,110,834
01/2025,100,8118
01/2025,105,3634
01/2025,40,2
01/2025,45,7
01/2025,25,2
01/2025,120,11
01/2025,115,83
01/2025,125,3
01/2025,35,1
01/2025,130,3
01/2025,140,1
12/2024,65,7125
12/2024,75,19887
12/2024,70,16712
12/2024,80,28779
12/2024,95,11954
12/2024,90,20261
12/2024,85,24023
12/2024,55,129
12/2024,60,750
12/2024,50,36
12/2024,110,527
12/2024,100,6942
12/2024,105,2843
12/2024,40,2
12/2024,45,6
12/2024,120,4
12/2024,115,59
12/2024,125,2
12/2024,35,1
12/2024,140,1
11/2024,65,5914
11/2024,75,16624
11/2024,70,13956
11/2024,80,23983
11/2024,95,10052
11/2024,90,16605
11/2024,85,19838
11/2024,55,102
11/2024,60,606
11/2024,50,30
11/2024,110,386
11/2024,100,5633
11/2024,105,2224
11/2024,40,2
11/2024,45,5
11/2024,120,3
11/2024,115,44
11/2024,125,2
11/2024,35,1
10/2024,65,4523
10/2024,75,12757
10/2024,70,10659
10/2024,80,18284
10/2024,95,7680
10/2024,90,12724
10/2024,85,14950
10/2024,55,51
10/2024,60,418
10/2024,50,11
10/2024,110,353
10/2024,100,4201
10/2024,105,1872
10/2024,40,1
10/2024,45,2
10/2024,120,4
10/2024,115,33
10/2024,125,3
10/2024,130,3
09/2024,65,2629
09/2024,75,7433
09/2024,70,6299
09/2024,80,10843
09/2024,95,4591
09/2024,90,7403
09/2024,85,8843
09/2024,55,37
09/2024,60,173
09/2024,50,9
09/2024,110,170
09/2024,100,2475
09/2024,105,1040
09/2024,40,1
09/2024,45,6
09/2024,115,18
09/2024,125,4
-,65,24879
-,75,66308
-,70,51653
-,80,91214
-,95,49494
-,90,74006
-,85,81768
-,55,3001
-,60,5681
-,50,1504
-,110,4342
-,100,31971
-,105,15478
-,40,66
-,45,265
-,30,4
-,25,16
-,120,89
-,115,930
-,125,39
-,35,31
-,130,12
-,135,2
-,140,1
-,145,1
