OccGroup,Score,Partner,n
3212 Motor Mechanics,90,5,7
3212 Motor Mechanics,90,10,54
3212 Motor Mechanics,85,0,3
3212 Motor Mechanics,85,5,17
3212 Motor Mechanics,85,10,120
3212 Motor Mechanics,55,0,61
3212 Motor Mechanics,55,5,53
3212 Motor Mechanics,55,10,42
3212 Motor Mechanics,60,0,57
3212 Motor Mechanics,60,5,75
3212 Motor Mechanics,60,10,236
3212 Motor Mechanics,50,0,37
3212 Motor Mechanics,50,5,6
3212 Motor Mechanics,50,10,7
3212 Motor Mechanics,100,10,2
3212 Motor Mechanics,40,0,2
3212 Motor Mechanics,40,5,1
3212 Motor Mechanics,45,0,13
3212 Motor Mechanics,45,5,1
3212 Motor Mechanics,45,10,1
3212 Motor Mechanics,30,0,1
3212 Motor Mechanics,125,10,1
3212 Motor Mechanics,35,0,2
2332 Civil Engineering Professionals,65,0,371
2332 Civil Engineering Professionals,65,5,344
2332 Civil Engineering Professionals,65,10,1209
2332 Civil Engineering Professionals,75,0,112
2332 Civil Engineering Professionals,75,5,413
2332 Civil Engineering Professionals,75,10,1476
2332 Civil Engineering Professionals,70,0,221
2332 Civil Engineering Professionals,70,5,557
2332 Civil Engineering Professionals,70,10,1289
2332 Civil Engineering Professionals,80,0,56
2332 Civil Engineering Professionals,80,5,268
2332 Civil Engineering Professionals,80,10,1298
2332 Civil Engineering Professionals,95,0,2
2332 Civil Engineering Professionals,95,5,18
2332 Civil Engineering Professionals,95,10,209
2332 Civil Engineering Professionals,90,0,6
2332 Civil Engineering Professionals,90,5,80
2332 Civil Engineering Professionals,90,10,587
2332 Civil Engineering Professionals,85,0,12
2332 Civil Engineering Professionals,85,5,202
2332 Civil Engineering Professionals,85,10,1051
2332 Civil Engineering Professionals,55,0,154
2332 Civil Engineering Professionals,55,5,86
2332 Civil Engineering Professionals,55,10,147
2332 Civil Engineering Professionals,60,0,144
2332 Civil Engineering Professionals,60,5,171
2332 Civil Engineering Professionals,60,10,359
2332 Civil Engineering Professionals,50,0,70
2332 Civil Engineering Professionals,50,5,23
2332 Civil Engineering Professionals,50,10,41
2332 Civil Engineering Professionals,110,10,3
2332 Civil Engineering Professionals,100,5,8
2332 Civil Engineering Professionals,100,10,42
2332 Civil Engineering Professionals,105,10,4
2332 Civil Engineering Professionals,40,0,5
2332 Civil Engineering Professionals,40,10,2
2332 Civil Engineering Professionals,45,0,25
2332 Civil Engineering Professionals,45,5,8
2332 Civil Engineering Professionals,45,10,8
2332 Civil Engineering Professionals,30,0,1
2332 Civil Engineering Professionals,25,0,1
2332 Civil Engineering Professionals,120,10,1
2332 Civil Engineering Professionals,35,0,2
2332 Civil Engineering Professionals,35,10,1
2411 Early Childhood (Pre-primary School) Teachers,65,0,517
2411 Early Childhood (Pre-primary School) Teachers,65,5,481
2411 Early Childhood (Pre-primary School) Teachers,65,10,868
2411 Early Childhood (Pre-primary School) Teachers,75,0,192
2411 Early Childhood (Pre-primary School) Teachers,75,5,464
2411 Early Childhood (Pre-primary School) Teachers,75,10,1823
2411 Early Childhood (Pre-primary School) Teachers,70,0,297
2411 Early Childhood (Pre-primary School) Teachers,70,5,587
2411 Early Childhood (Pre-primary School) Teachers,70,10,1798
2411 Early Childhood (Pre-primary School) Teachers,80,0,68
2411 Early Childhood (Pre-primary School) Teachers,80,5,473
2411 Early Childhood (Pre-primary School) Teachers,80,10,1473
2411 Early Childhood (Pre-primary School) Teachers,95,5,1
2411 Early Childhood (Pre-primary School) Teachers,95,10,10
2411 Early Childhood (Pre-primary School) Teachers,90,5,7
2411 Early Childhood (Pre-primary School) Teachers,90,10,367
2411 Early Childhood (Pre-primary School) Teachers,85,0,3
2411 Early Childhood (Pre-primary School) Teachers,85,5,166
2411 Early Childhood (Pre-primary School) Teachers,85,10,1829
2411 Early Childhood (Pre-primary School) Teachers,55,0,104
2411 Early Childhood (Pre-primary School) Teachers,55,5,78
2411 Early Childhood (Pre-primary School) Teachers,55,10,104
2411 Early Childhood (Pre-primary School) Teachers,60,0,266
2411 Early Childhood (Pre-primary School) Teachers,60,5,106
2411 Early Childhood (Pre-primary School) Teachers,60,10,432
2411 Early Childhood (Pre-primary School) Teachers,50,0,97
2411 Early Childhood (Pre-primary School) Teachers,50,5,18
2411 Early Childhood (Pre-primary School) Teachers,50,10,6
2411 Early Childhood (Pre-primary School) Teachers,40,0,2
2411 Early Childhood (Pre-primary School) Teachers,40,5,1
2411 Early Childhood (Pre-primary School) Teachers,40,10,2
2411 Early Childhood (Pre-primary School) Teachers,45,0,18
2411 Early Childhood (Pre-primary School) Teachers,45,5,1
2411 Early Childhood (Pre-primary School) Teachers,45,10,4
2411 Early Childhood (Pre-primary School) Teachers,30,0,1
2411 Early Childhood (Pre-primary School) Teachers,125,10,1
2411 Early Childhood (Pre-primary School) Teachers,35,0,1
2611 ICT Business and Systems Analysts,65,0,407
2611 ICT Business and Systems Analysts,65,5,284
2611 ICT Business and Systems Analysts,65,10,642
2611 ICT Business and Systems Analysts,75,0,236
2611 ICT Business and Systems Analysts,75,5,566
2611 ICT Business and Systems Analysts,75,10,1262
2611 ICT Business and Systems Analysts,70,0,317
2611 ICT Business and Systems Analysts,70,5,535
2611 ICT Business and Systems Analysts,70,10,803
2611 ICT Business and Systems Analysts,80,0,155
2611 ICT Business and Systems Analysts,80,5,445
2611 ICT Business and Systems Analysts,80,10,1401
2611 ICT Business and Systems Analysts,95,0,1
2611 ICT Business and Systems Analysts,95,5,143
2611 ICT Business and Systems Analysts,95,10,964
2611 ICT Business and Systems Analysts,90,0,21
2611 ICT Business and Systems Analysts,90,5,241
2611 ICT Business and Systems Analysts,90,10,1664
2611 ICT Business and Systems Analysts,85,0,97
2611 ICT Business and Systems Analysts,85,5,455
2611 ICT Business and Systems Analysts,85,10,1320
2611 ICT Business and Systems Analysts,55,0,112
2611 ICT Business and Systems Analysts,55,5,48
2611 ICT Business and Systems Analysts,55,10,36
2611 ICT Business and Systems Analysts,60,0,141
2611 ICT Business and Systems Analysts,60,5,146
2611 ICT Business and Systems Analysts,60,10,110
2611 ICT Business and Systems Analysts,50,0,28
2611 ICT Business and Systems Analysts,50,5,21
2611 ICT Business and Systems Analysts,50,10,11
2611 ICT Business and Systems Analysts,110,10,4
2611 ICT Business and Systems Analysts,100,5,12
2611 ICT Business and Systems Analysts,100,10,396
2611 ICT Business and Systems Analysts,105,10,22
2611 ICT Business and Systems Analysts,40,0,7
2611 ICT Business and Systems Analysts,40,5,1
2611 ICT Business and Systems Analysts,45,0,16
2611 ICT Business and Systems Analysts,45,5,7
2611 ICT Business and Systems Analysts,45,10,2
2611 ICT Business and Systems Analysts,30,5,1
2211 Accountants,65,0,556
2211 Accountants,65,5,425
2211 Accountants,65,10,472
2211 Accountants,75,0,209
2211 Accountants,75,5,435
2211 Accountants,75,10,1439
2211 Accountants,70,0,382
2211 Accountants,70,5,509
2211 Accountants,70,10,1170
2211 Accountants,80,0,85
2211 Accountants,80,5,390
2211 Accountants,80,10,1260
2211 Accountants,95,5,57
2211 Accountants,95,10,482
2211 Accountants,90,0,10
2211 Accountants,90,5,119
2211 Accountants,90,10,844
2211 Accountants,85,0,25
2211 Accountants,85,5,231
2211 Accountants,85,10,1249
2211 Accountants,55,0,78
2211 Accountants,55,5,45
2211 Accountants,55,10,33
2211 Accountants,60,0,221
2211 Accountants,60,5,111
2211 Accountants,60,10,76
2211 Accountants,50,0,22
2211 Accountants,50,5,9
2211 Accountants,50,10,35
2211 Accountants,110,10,2
2211 Accountants,100,5,2
2211 Accountants,100,10,174
2211 Accountants,105,10,11
2211 Accountants,40,0,2
2211 Accountants,40,5,1
2211 Accountants,45,0,8
2211 Accountants,45,5,3
2211 Accountants,45,10,2
2211 Accountants,115,10,1
2211 Accountants,35,0,3
2211 Accountants,35,10,1
2344 Geologists Geophysicists and Hydrogeologists,65,0,10
2344 Geologists Geophysicists and Hydrogeologists,65,5,8
2344 Geologists Geophysicists and Hydrogeologists,65,10,2
2344 Geologists Geophysicists and Hydrogeologists,75,5,11
2344 Geologists Geophysicists and Hydrogeologists,75,10,12
2344 Geologists Geophysicists and Hydrogeologists,70,0,3
2344 Geologists Geophysicists and Hydrogeologists,70,5,6
2344 Geologists Geophysicists and Hydrogeologists,70,10,10
2344 Geologists Geophysicists and Hydrogeologists,80,10,10
2344 Geologists Geophysicists and Hydrogeologists,90,0,1
2344 Geologists Geophysicists and Hydrogeologists,90,10,5
2344 Geologists Geophysicists and Hydrogeologists,85,10,3
2344 Geologists Geophysicists and Hydrogeologists,55,0,4
2344 Geologists Geophysicists and Hydrogeologists,55,5,3
2344 Geologists Geophysicists and Hydrogeologists,55,10,1
2344 Geologists Geophysicists and Hydrogeologists,60,0,3
2344 Geologists Geophysicists and Hydrogeologists,60,5,6
2344 Geologists Geophysicists and Hydrogeologists,60,10,3
"2621 Database and Systems Administrators, and ICT Security Specialists",65,0,102
"2621 Database and Systems Administrators, and ICT Security Specialists",65,5,64
"2621 Database and Systems Administrators, and ICT Security Specialists",65,10,181
"2621 Database and Systems Administrators, and ICT Security Specialists",75,0,68
"2621 Database and Systems Administrators, and ICT Security Specialists",75,5,120
"2621 Database and Systems Administrators, and ICT Security Specialists",75,10,332
"2621 Database and Systems Administrators, and ICT Security Specialists",70,0,81
"2621 Database and Systems Administrators, and ICT Security Specialists",70,5,144
"2621 Database and Systems Administrators, and ICT Security Specialists",70,10,194
"2621 Database and Systems Administrators, and ICT Security Specialists",80,0,46
"2621 Database and Systems Administrators, and ICT Security Specialists",80,5,98
"2621 Database and Systems Administrators, and ICT Security Specialists",80,10,367
"2621 Database and Systems Administrators, and ICT Security Specialists",95,5,29
"2621 Database and Systems Administrators, and ICT Security Specialists",95,10,182
"2621 Database and Systems Administrators, and ICT Security Specialists",90,0,6
"2621 Database and Systems Administrators, and ICT Security Specialists",90,5,34
"2621 Database and Systems Administrators, and ICT Security Specialists",90,10,362
"2621 Database and Systems Administrators, and ICT Security Specialists",85,0,14
"2621 Database and Systems Administrators, and ICT Security Specialists",85,5,132
"2621 Database and Systems Administrators, and ICT Security Specialists",85,10,346
"2621 Database and Systems Administrators, and ICT Security Specialists",55,0,25
"2621 Database and Systems Administrators, and ICT Security Specialists",55,5,18
"2621 Database and Systems Administrators, and ICT Security Specialists",55,10,15
"2621 Database and Systems Administrators, and ICT Security Specialists",60,0,41
"2621 Database and Systems Administrators, and ICT Security Specialists",60,5,30
"2621 Database and Systems Administrators, and ICT Security Specialists",60,10,22
"2621 Database and Systems Administrators, and ICT Security Specialists",50,0,10
"2621 Database and Systems Administrators, and ICT Security Specialists",50,5,7
"2621 Database and Systems Administrators, and ICT Security Specialists",50,10,2
"2621 Database and Systems Administrators, and ICT Security Specialists",110,10,1
"2621 Database and Systems Administrators, and ICT Security Specialists",100,5,2
"2621 Database and Systems Administrators, and ICT Security Specialists",100,10,70
"2621 Database and Systems Administrators, and ICT Security Specialists",105,10,5
"2621 Database and Systems Administrators, and ICT Security Specialists",40,0,1
"2621 Database and Systems Administrators, and ICT Security Specialists",45,0,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,0,198
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,5,178
"2212 Auditors, Company Secretaries and Corporate Treasurers",65,10,241
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,0,54
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,5,172
"2212 Auditors, Company Secretaries and Corporate Treasurers",75,10,477
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,0,86
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,5,201
"2212 Auditors, Company Secretaries and Corporate Treasurers",70,10,445
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,0,25
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,5,156
"2212 Auditors, Company Secretaries and Corporate Treasurers",80,10,472
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,5,5
"2212 Auditors, Company Secretaries and Corporate Treasurers",95,10,90
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,0,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,5,21
"2212 Auditors, Company Secretaries and Corporate Treasurers",90,10,387
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,0,6
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,5,60
"2212 Auditors, Company Secretaries and Corporate Treasurers",85,10,573
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,0,32
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,5,10
"2212 Auditors, Company Secretaries and Corporate Treasurers",55,10,16
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,0,56
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,5,65
"2212 Auditors, Company Secretaries and Corporate Treasurers",60,10,30
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,0,7
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,5,6
"2212 Auditors, Company Secretaries and Corporate Treasurers",50,10,11
"2212 Auditors, Company Secretaries and Corporate Treasurers",100,10,18
"2212 Auditors, Company Secretaries and Corporate Treasurers",105,10,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",40,5,1
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,0,4
"2212 Auditors, Company Secretaries and Corporate Treasurers",45,5,1
2345 Life Scientists,65,0,48
2345 Life Scientists,65,5,43
2345 Life Scientists,65,10,120
2345 Life Scientists,75,0,28
2345 Life Scientists,75,5,48
2345 Life Scientists,75,10,179
2345 Life Scientists,70,0,37
2345 Life Scientists,70,5,63
2345 Life Scientists,70,10,110
2345 Life Scientists,80,0,18
2345 Life Scientists,80,5,38
2345 Life Scientists,80,10,128
2345 Life Scientists,95,0,2
2345 Life Scientists,95,5,14
2345 Life Scientists,95,10,37
2345 Life Scientists,90,0,1
2345 Life Scientists,90,5,36
2345 Life Scientists,90,10,122
2345 Life Scientists,85,0,10
2345 Life Scientists,85,5,43
2345 Life Scientists,85,10,144
2345 Life Scientists,55,0,15
2345 Life Scientists,55,5,15
2345 Life Scientists,55,10,21
2345 Life Scientists,60,0,19
2345 Life Scientists,60,5,20
2345 Life Scientists,60,10,41
2345 Life Scientists,50,0,6
2345 Life Scientists,50,5,2
2345 Life Scientists,50,10,1
2345 Life Scientists,110,10,2
2345 Life Scientists,100,5,3
2345 Life Scientists,100,10,10
2345 Life Scientists,105,10,6
2345 Life Scientists,45,0,8
2345 Life Scientists,45,5,2
2345 Life Scientists,45,10,1
"2335 Industrial, Mechanical and Production Engineers",65,0,378
"2335 Industrial, Mechanical and Production Engineers",65,5,231
"2335 Industrial, Mechanical and Production Engineers",65,10,830
"2335 Industrial, Mechanical and Production Engineers",75,0,116
"2335 Industrial, Mechanical and Production Engineers",75,5,314
"2335 Industrial, Mechanical and Production Engineers",75,10,1186
"2335 Industrial, Mechanical and Production Engineers",70,0,142
"2335 Industrial, Mechanical and Production Engineers",70,5,462
"2335 Industrial, Mechanical and Production Engineers",70,10,859
"2335 Industrial, Mechanical and Production Engineers",80,0,51
"2335 Industrial, Mechanical and Production Engineers",80,5,281
"2335 Industrial, Mechanical and Production Engineers",80,10,918
"2335 Industrial, Mechanical and Production Engineers",95,0,3
"2335 Industrial, Mechanical and Production Engineers",95,5,20
"2335 Industrial, Mechanical and Production Engineers",95,10,222
"2335 Industrial, Mechanical and Production Engineers",90,0,13
"2335 Industrial, Mechanical and Production Engineers",90,5,83
"2335 Industrial, Mechanical and Production Engineers",90,10,595
"2335 Industrial, Mechanical and Production Engineers",85,0,17
"2335 Industrial, Mechanical and Production Engineers",85,5,241
"2335 Industrial, Mechanical and Production Engineers",85,10,916
"2335 Industrial, Mechanical and Production Engineers",55,0,146
"2335 Industrial, Mechanical and Production Engineers",55,5,44
"2335 Industrial, Mechanical and Production Engineers",55,10,134
"2335 Industrial, Mechanical and Production Engineers",60,0,123
"2335 Industrial, Mechanical and Production Engineers",60,5,222
"2335 Industrial, Mechanical and Production Engineers",60,10,303
"2335 Industrial, Mechanical and Production Engineers",50,0,61
"2335 Industrial, Mechanical and Production Engineers",50,5,31
"2335 Industrial, Mechanical and Production Engineers",50,10,26
"2335 Industrial, Mechanical and Production Engineers",100,5,8
"2335 Industrial, Mechanical and Production Engineers",100,10,44
"2335 Industrial, Mechanical and Production Engineers",105,10,3
"2335 Industrial, Mechanical and Production Engineers",40,0,8
"2335 Industrial, Mechanical and Production Engineers",40,5,1
"2335 Industrial, Mechanical and Production Engineers",40,10,3
"2335 Industrial, Mechanical and Production Engineers",45,0,30
"2335 Industrial, Mechanical and Production Engineers",45,5,5
"2335 Industrial, Mechanical and Production Engineers",45,10,2
"2335 Industrial, Mechanical and Production Engineers",30,0,2
"2335 Industrial, Mechanical and Production Engineers",25,0,1
"2335 Industrial, Mechanical and Production Engineers",35,0,3
"2335 Industrial, Mechanical and Production Engineers",35,5,1
2339 Other Engineering Professionals,65,0,258
2339 Other Engineering Professionals,65,5,270
2339 Other Engineering Professionals,65,10,854
2339 Other Engineering Professionals,75,0,90
2339 Other Engineering Professionals,75,5,293
2339 Other Engineering Professionals,75,10,1014
2339 Other Engineering Professionals,70,0,142
2339 Other Engineering Professionals,70,5,424
2339 Other Engineering Professionals,70,10,884
2339 Other Engineering Professionals,80,0,38
2339 Other Engineering Professionals,80,5,239
2339 Other Engineering Professionals,80,10,978
2339 Other Engineering Professionals,95,0,1
2339 Other Engineering Professionals,95,5,34
2339 Other Engineering Professionals,95,10,228
2339 Other Engineering Professionals,90,0,5
2339 Other Engineering Professionals,90,5,43
2339 Other Engineering Professionals,90,10,592
2339 Other Engineering Professionals,85,0,18
2339 Other Engineering Professionals,85,5,171
2339 Other Engineering Professionals,85,10,967
2339 Other Engineering Professionals,55,0,133
2339 Other Engineering Professionals,55,5,71
2339 Other Engineering Professionals,55,10,160
2339 Other Engineering Professionals,60,0,111
2339 Other Engineering Professionals,60,5,178
2339 Other Engineering Professionals,60,10,314
2339 Other Engineering Professionals,50,0,64
2339 Other Engineering Professionals,50,5,20
2339 Other Engineering Professionals,50,10,37
2339 Other Engineering Professionals,100,5,5
2339 Other Engineering Professionals,100,10,79
2339 Other Engineering Professionals,105,5,1
2339 Other Engineering Professionals,105,10,13
2339 Other Engineering Professionals,40,0,6
2339 Other Engineering Professionals,40,10,1
2339 Other Engineering Professionals,45,0,37
2339 Other Engineering Professionals,45,5,6
2339 Other Engineering Professionals,45,10,3
2339 Other Engineering Professionals,30,0,3
2339 Other Engineering Professionals,30,5,1
2339 Other Engineering Professionals,35,0,2
2339 Other Engineering Professionals,35,5,1
2341 Agricultural and Forestry Scientists,65,0,67
2341 Agricultural and Forestry Scientists,65,5,67
2341 Agricultural and Forestry Scientists,65,10,216
2341 Agricultural and Forestry Scientists,75,0,28
2341 Agricultural and Forestry Scientists,75,5,35
2341 Agricultural and Forestry Scientists,75,10,134
2341 Agricultural and Forestry Scientists,70,0,48
2341 Agricultural and Forestry Scientists,70,5,57
2341 Agricultural and Forestry Scientists,70,10,143
2341 Agricultural and Forestry Scientists,80,0,11
2341 Agricultural and Forestry Scientists,80,5,33
2341 Agricultural and Forestry Scientists,80,10,100
2341 Agricultural and Forestry Scientists,95,0,2
2341 Agricultural and Forestry Scientists,95,5,3
2341 Agricultural and Forestry Scientists,95,10,10
2341 Agricultural and Forestry Scientists,90,0,1
2341 Agricultural and Forestry Scientists,90,5,8
2341 Agricultural and Forestry Scientists,90,10,14
2341 Agricultural and Forestry Scientists,85,0,4
2341 Agricultural and Forestry Scientists,85,5,13
2341 Agricultural and Forestry Scientists,85,10,33
2341 Agricultural and Forestry Scientists,55,0,19
2341 Agricultural and Forestry Scientists,55,5,6
2341 Agricultural and Forestry Scientists,55,10,19
2341 Agricultural and Forestry Scientists,60,0,27
2341 Agricultural and Forestry Scientists,60,5,31
2341 Agricultural and Forestry Scientists,60,10,35
2341 Agricultural and Forestry Scientists,50,0,10
2341 Agricultural and Forestry Scientists,50,5,9
2341 Agricultural and Forestry Scientists,50,10,5
2341 Agricultural and Forestry Scientists,100,10,4
2341 Agricultural and Forestry Scientists,40,10,1
2341 Agricultural and Forestry Scientists,45,0,6
2341 Agricultural and Forestry Scientists,45,10,1
2341 Agricultural and Forestry Scientists,30,0,1
2544 Registered Nurses,65,0,1334
2544 Registered Nurses,65,5,726
2544 Registered Nurses,65,10,1267
2544 Registered Nurses,75,0,250
2544 Registered Nurses,75,5,965
2544 Registered Nurses,75,10,2612
2544 Registered Nurses,70,0,540
2544 Registered Nurses,70,5,1219
2544 Registered Nurses,70,10,2093
2544 Registered Nurses,80,0,78
2544 Registered Nurses,80,5,256
2544 Registered Nurses,80,10,885
2544 Registered Nurses,95,5,1
2544 Registered Nurses,95,10,4
2544 Registered Nurses,90,5,2
2544 Registered Nurses,90,10,51
2544 Registered Nurses,85,0,1
2544 Registered Nurses,85,5,62
2544 Registered Nurses,85,10,250
2544 Registered Nurses,55,0,330
2544 Registered Nurses,55,5,97
2544 Registered Nurses,55,10,111
2544 Registered Nurses,60,0,443
2544 Registered Nurses,60,5,272
2544 Registered Nurses,60,10,327
2544 Registered Nurses,50,0,125
2544 Registered Nurses,50,5,40
2544 Registered Nurses,50,10,21
2544 Registered Nurses,110,10,1
2544 Registered Nurses,100,10,2
2544 Registered Nurses,105,5,1
2544 Registered Nurses,40,0,23
2544 Registered Nurses,40,5,2
2544 Registered Nurses,40,10,1
2544 Registered Nurses,45,0,44
2544 Registered Nurses,45,5,10
2544 Registered Nurses,45,10,7
2544 Registered Nurses,30,0,1
2544 Registered Nurses,120,10,1
2544 Registered Nurses,35,0,8
2544 Registered Nurses,35,5,3
3513 Chefs,65,0,446
3513 Chefs,65,5,397
3513 Chefs,65,10,1600
3513 Chefs,75,0,174
3513 Chefs,75,5,353
3513 Chefs,75,10,1495
3513 Chefs,70,0,409
3513 Chefs,70,5,465
3513 Chefs,70,10,1565
3513 Chefs,80,0,69
3513 Chefs,80,5,170
3513 Chefs,80,10,893
3513 Chefs,95,5,6
3513 Chefs,95,10,66
3513 Chefs,90,0,1
3513 Chefs,90,5,48
3513 Chefs,90,10,217
3513 Chefs,85,0,18
3513 Chefs,85,5,119
3513 Chefs,85,10,405
3513 Chefs,55,0,322
3513 Chefs,55,5,84
3513 Chefs,55,10,144
3513 Chefs,60,0,358
3513 Chefs,60,5,257
3513 Chefs,60,10,629
3513 Chefs,50,0,177
3513 Chefs,50,5,14
3513 Chefs,50,10,21
3513 Chefs,100,10,8
3513 Chefs,105,10,3
3513 Chefs,40,0,5
3513 Chefs,40,10,3
3513 Chefs,45,0,35
3513 Chefs,45,5,8
3513 Chefs,45,10,9
3513 Chefs,30,10,1
3513 Chefs,35,0,3
2334 Electronics Engineers,65,0,96
2334 Electronics Engineers,65,5,85
2334 Electronics Engineers,65,10,274
2334 Electronics Engineers,75,0,27
2334 Electronics Engineers,75,5,101
2334 Electronics Engineers,75,10,296
2334 Electronics Engineers,70,0,64
2334 Electronics Engineers,70,5,121
2334 Electronics Engineers,70,10,229
2334 Electronics Engineers,80,0,16
2334 Electronics Engineers,80,5,92
2334 Electronics Engineers,80,10,233
2334 Electronics Engineers,95,0,1
2334 Electronics Engineers,95,5,14
2334 Electronics Engineers,95,10,287
2334 Electronics Engineers,90,0,1
2334 Electronics Engineers,90,5,12
2334 Electronics Engineers,90,10,142
2334 Electronics Engineers,85,0,3
2334 Electronics Engineers,85,5,62
2334 Electronics Engineers,85,10,230
2334 Electronics Engineers,55,0,69
2334 Electronics Engineers,55,5,20
2334 Electronics Engineers,55,10,38
2334 Electronics Engineers,60,0,48
2334 Electronics Engineers,60,5,57
2334 Electronics Engineers,60,10,101
2334 Electronics Engineers,50,0,23
2334 Electronics Engineers,50,5,6
2334 Electronics Engineers,50,10,12
2334 Electronics Engineers,100,10,5
2334 Electronics Engineers,40,0,4
2334 Electronics Engineers,40,10,2
2334 Electronics Engineers,45,0,5
2334 Electronics Engineers,45,5,5
2334 Electronics Engineers,25,10,1
2334 Electronics Engineers,35,10,1
3232 Metal Fitters and Machinists,65,0,16
3232 Metal Fitters and Machinists,65,5,22
3232 Metal Fitters and Machinists,65,10,34
3232 Metal Fitters and Machinists,75,0,4
3232 Metal Fitters and Machinists,75,5,6
3232 Metal Fitters and Machinists,75,10,32
3232 Metal Fitters and Machinists,70,0,10
3232 Metal Fitters and Machinists,70,5,16
3232 Metal Fitters and Machinists,70,10,44
3232 Metal Fitters and Machinists,80,0,2
3232 Metal Fitters and Machinists,80,5,6
3232 Metal Fitters and Machinists,80,10,7
3232 Metal Fitters and Machinists,85,0,1
3232 Metal Fitters and Machinists,85,10,3
3232 Metal Fitters and Machinists,55,0,8
3232 Metal Fitters and Machinists,55,5,16
3232 Metal Fitters and Machinists,55,10,13
3232 Metal Fitters and Machinists,60,0,17
3232 Metal Fitters and Machinists,60,5,25
3232 Metal Fitters and Machinists,60,10,40
3232 Metal Fitters and Machinists,50,0,35
3232 Metal Fitters and Machinists,50,5,6
3232 Metal Fitters and Machinists,50,10,8
3232 Metal Fitters and Machinists,40,0,4
3232 Metal Fitters and Machinists,40,10,2
3232 Metal Fitters and Machinists,45,0,10
3232 Metal Fitters and Machinists,45,5,1
3232 Metal Fitters and Machinists,30,0,1
3232 Metal Fitters and Machinists,35,0,2
